ticker,event_date,last_observed_session,event_type,entry_level,episode_start,weekly_rsi,adjusted_close
AAPL,2019-11-01,2019-11-01,EXTREME_PERSISTENCE,80,2019-10-25,80.32116576510013,61.42522049
AAPL,2020-01-31,2020-01-31,EXTREME_DECELERATION,80,2019-10-25,80.282616299972,74.53990173
AAPL,2020-02-28,2020-02-28,COOLING_EXIT,80,2019-10-25,50.21783753419987,65.99006653
AAPL,2020-07-10,2020-07-10,EXTREME_ENTRY,75,2020-07-10,76.00136411534481,92.87239838
AAPL,2020-07-17,2020-07-17,EXTREME_PERSISTENCE,75,2020-07-10,76.26754107109556,93.26695251
AAPL,2020-07-24,2020-07-24,COOLING_EXIT,75,2020-07-10,68.7826919608604,89.67242432
AAPL,2020-07-31,2020-07-31,EXTREME_ENTRY,75,2020-07-31,77.51647197951482,102.8839111
AAPL,2020-08-07,2020-08-07,EXTREME_PERSISTENCE,75,2020-07-31,79.77319266323642,107.7761841
AAPL,2020-08-14,2020-08-14,EXTREME_ESCALATION,80,2020-07-31,81.29454695666124,111.4572601
AAPL,2020-09-11,2020-09-11,EXTREME_DECELERATION,80,2020-07-31,66.29296561570794,108.6370316
AAPL,2020-09-11,2020-09-11,COOLING_EXIT,80,2020-07-31,66.29296561570794,108.6370316
AAPL,2021-12-10,2021-12-10,EXTREME_ENTRY,75,2021-12-10,78.19073104172043,175.4369659
AAPL,2021-12-17,2021-12-17,COOLING_EXIT,75,2021-12-10,67.96783642309322,167.3128052
AAPL,2023-06-23,2023-06-23,EXTREME_ENTRY,75,2023-06-23,75.40938077801276,184.0990601
AAPL,2023-06-30,2023-06-30,EXTREME_PERSISTENCE,75,2023-06-23,79.00265922855087,191.2882843
AAPL,2023-08-04,2023-08-04,COOLING_EXIT,75,2023-06-23,57.5686344573475,179.4739227
AAPL,2024-07-12,2024-07-12,EXTREME_ENTRY,75,2024-07-12,75.16518288024416,228.5601044
AAPL,2024-07-19,2024-07-19,COOLING_EXIT,75,2024-07-12,69.33008063366535,222.383606
ABBV,2017-06-23,2017-06-23,EXTREME_ENTRY,75,2017-06-23,75.48788826943617,49.61005783
ABBV,2017-07-07,2017-07-07,EXTREME_DECELERATION,75,2017-06-23,72.29310421206604,49.1934433
ABBV,2017-07-14,2017-07-14,EXTREME_PERSISTENCE,75,2017-06-23,75.5195976427652,50.37985611
ABBV,2017-07-28,2017-07-28,COOLING_EXIT,75,2017-06-23,60.15810199818975,48.53996277
ABBV,2017-09-08,2017-09-08,EXTREME_ENTRY,75,2017-09-08,80.22777912379354,58.80751038
ABBV,2017-09-15,2017-09-15,EXTREME_PERSISTENCE,75,2017-09-08,81.670751025469,60.20638275
ABBV,2018-01-19,2018-01-19,EXTREME_ESCALATION,80,2017-09-08,80.26301618676447,73.13095856
ABBV,2018-02-09,2018-02-09,EXTREME_DECELERATION,80,2017-09-08,68.23397085605816,77.78551483
ABBV,2018-02-09,2018-02-09,COOLING_EXIT,80,2017-09-08,68.23397085605816,77.78551483
ABBV,2019-11-15,2019-11-15,EXTREME_ENTRY,75,2019-11-15,75.62963049885872,67.50997162
ABBV,2019-11-22,2019-11-22,COOLING_EXIT,75,2019-11-15,68.90028608395788,65.54476166
ABBV,2021-12-24,2021-12-23,EXTREME_ENTRY,75,2021-12-24,77.3947663230398,112.1191406
ABBV,2021-12-31,2021-12-31,EXTREME_PERSISTENCE,75,2021-12-24,78.91643760146019,114.0651627
ABBV,2022-02-25,2022-02-25,EXTREME_ESCALATION,80,2021-12-24,81.92387365480342,127.2843781
ABBV,2022-04-22,2022-04-22,EXTREME_DECELERATION,80,2021-12-24,62.81968204675928,133.0445099
ABBV,2022-04-22,2022-04-22,COOLING_EXIT,80,2021-12-24,62.81968204675928,133.0445099
ABBV,2024-02-09,2024-02-09,EXTREME_ENTRY,75,2024-02-09,77.84725014443089,160.0337524
ABBV,2024-02-16,2024-02-16,EXTREME_PERSISTENCE,75,2024-02-09,79.6398054771933,163.1686096
ABBV,2024-03-01,2024-03-01,EXTREME_ESCALATION,80,2024-02-09,80.38326003465201,164.473999
ABBV,2024-03-15,2024-03-15,EXTREME_DECELERATION,80,2024-02-09,77.92537484083975,163.5271454
ABBV,2024-04-05,2024-04-05,COOLING_EXIT,80,2024-02-09,57.91431703622068,156.282959
ABBV,2025-10-03,2025-10-03,EXTREME_ENTRY,75,2025-10-03,75.43828083355986,226.8717804
ABBV,2025-10-31,2025-10-31,EXTREME_DECELERATION,75,2025-10-03,59.44679530761081,213.0038757
ABBV,2025-10-31,2025-10-31,COOLING_EXIT,75,2025-10-03,59.44679530761081,213.0038757
AMT,2014-08-01,2014-08-01,EXTREME_ENTRY,75,2014-08-01,75.40876893575796,70.494133
AMT,2014-08-08,2014-08-08,EXTREME_ESCALATION,80,2014-08-01,80.25294643456886,73.30343628
AMT,2014-08-08,2014-08-08,EXTREME_PERSISTENCE,80,2014-08-01,80.25294643456886,73.30343628
AMT,2014-09-12,2014-09-12,COOLING_EXIT,80,2014-08-01,65.64435416018802,71.73442841
AMT,2014-11-28,2014-11-28,EXTREME_ENTRY,75,2014-11-28,76.68028888803006,78.75450897
AMT,2014-12-05,2014-12-05,COOLING_EXIT,75,2014-11-28,62.31541280476189,75.40216827
AMT,2017-05-05,2017-05-05,EXTREME_ENTRY,75,2017-05-05,77.30691508827393,101.307785
AMT,2017-05-26,2017-05-26,EXTREME_PERSISTENCE,75,2017-05-05,75.2255049440164,103.2128296
AMT,2017-08-11,2017-08-11,EXTREME_DECELERATION,75,2017-05-05,73.5193830569507,108.1279678
AMT,2017-08-25,2017-08-25,EXTREME_ESCALATION,80,2017-05-05,80.73334765906533,114.1087189
AMT,2017-09-22,2017-09-22,COOLING_EXIT,80,2017-05-05,59.65457056647937,108.9981613
AMT,2019-03-08,2019-03-08,EXTREME_ENTRY,75,2019-03-08,75.41300875939392,148.2999268
AMT,2019-03-15,2019-03-15,EXTREME_PERSISTENCE,75,2019-03-08,79.44826700997646,154.3100128
AMT,2019-03-22,2019-03-22,EXTREME_ESCALATION,80,2019-03-08,81.52464887009027,158.1316071
AMT,2019-06-28,2019-06-28,COOLING_EXIT,80,2019-03-08,65.63497852119309,168.441864
AMT,2019-08-23,2019-08-23,EXTREME_ENTRY,75,2019-08-23,75.67335370185113,186.6660461
AMT,2019-08-30,2019-08-30,EXTREME_PERSISTENCE,75,2019-08-23,77.32818745189543,189.6485138
AMT,2019-09-13,2019-09-13,COOLING_EXIT,75,2019-08-23,57.720083429560006,177.4385986
AMT,2021-07-23,2021-07-23,EXTREME_ENTRY,75,2021-07-23,75.2412682122925,243.9897919
AMT,2021-08-06,2021-08-06,EXTREME_DECELERATION,75,2021-07-23,71.63899755044915,241.3040619
AMT,2021-08-20,2021-08-20,EXTREME_PERSISTENCE,75,2021-07-23,75.59065622446587,248.7453461
AMT,2021-08-27,2021-08-27,COOLING_EXIT,75,2021-07-23,69.19920005310084,244.1950226
AMT,2021-09-03,2021-09-03,EXTREME_ENTRY,75,2021-09-03,75.98541226719182,258.3164368
AMT,2021-09-10,2021-09-10,COOLING_EXIT,75,2021-09-03,68.03608531432548,251.3626862
AMZN,2013-11-29,2013-11-29,EXTREME_ENTRY,75,2013-11-29,76.43035679573897,19.68099976
AMZN,2013-12-13,2013-12-13,EXTREME_DECELERATION,75,2013-11-29,71.48556051912358,19.21199989
AMZN,2014-01-24,2014-01-24,COOLING_EXIT,75,2013-11-29,65.34385881353703,19.37999916
AMZN,2015-07-17,2015-07-17,EXTREME_ENTRY,75,2015-07-17,76.78474517097852,24.15049934
AMZN,2015-07-24,2015-07-24,EXTREME_ESCALATION,80,2015-07-17,82.43005888449783,26.47100067
AMZN,2015-07-24,2015-07-24,EXTREME_PERSISTENCE,80,2015-07-17,82.43005888449783,26.47100067
AMZN,2015-08-21,2015-08-21,COOLING_EXIT,80,2015-07-17,63.94488279566409,24.7234993
