ticker,universe_role,signal_date,HERD_STATE,ticker_year_ordinal,sparse_eligible,sale_date,outcome_end,sale_adjusted_open,base_absolute_available,base_absolute_share_delta_rate,base_absolute_time_to_reentry_sessions,base_constrained_available,base_constrained_share_delta_rate,base_constrained_time_to_reentry_sessions,base_days_at_or_above_minimum_delta,stress_absolute_available,stress_absolute_share_delta_rate,stress_absolute_time_to_reentry_sessions,stress_constrained_available,stress_constrained_share_delta_rate,stress_constrained_time_to_reentry_sessions,stress_days_at_or_above_minimum_delta
TPL,INDEPENDENT_CURRENT_CONSTITUENTS,2018-08-24,82.58928571428572,3,False,2018-08-27,2019-02-28,84.67879985787168,True,1.047871402313393,82,True,1.047871402313393,82.0,97,True,1.0396962639152663,82,True,1.0396962639152663,82.0,96
TPL,INDEPENDENT_CURRENT_CONSTITUENTS,2018-09-21,75.52910052910053,4,False,2018-09-24,2019-03-27,82.94831306208884,True,1.0060213238154372,63,True,1.0060213238154372,63.0,114,True,0.9980132516614637,63,True,0.9980132516614637,63.0,114
TPL,INDEPENDENT_CURRENT_CONSTITUENTS,2021-01-08,76.86011904761905,1,True,2021-01-11,2021-07-13,82.96212169156344,False,0.0,12,False,0.0,,0,False,0.0,12,False,0.0,,0
TPL,INDEPENDENT_CURRENT_CONSTITUENTS,2021-06-25,77.66203703703704,2,True,2021-06-28,2021-12-27,163.24307595804797,True,0.34722337201714737,69,True,0.34722337201714737,69.0,117,True,0.3418452327907342,69,True,0.3418452327907342,69.0,115
TPL,INDEPENDENT_CURRENT_CONSTITUENTS,2022-07-29,77.88525132275132,1,True,2022-08-01,2023-01-31,194.25199053566064,True,0.11479673592569917,10,True,0.11479673592569917,10.0,18,True,0.11034644788921555,10,True,0.11034644788921555,10.0,18
TPL,INDEPENDENT_CURRENT_CONSTITUENTS,2022-08-26,76.62863756613757,2,True,2022-08-29,2023-03-01,193.66357915755646,True,0.09868551808714487,20,True,0.09868551808714487,20.0,8,True,0.09429954631360804,20,True,0.09429954631360804,20.0,7
TPL,INDEPENDENT_CURRENT_CONSTITUENTS,2022-10-07,76.26488095238095,3,False,2022-10-10,2023-04-12,213.9037815809642,True,0.28101536269967387,108,False,0.0,,43,True,0.2759015270025855,108,False,0.0,,43
TPL,INDEPENDENT_CURRENT_CONSTITUENTS,2022-10-21,79.00132275132276,4,False,2022-10-24,2023-04-26,229.1150423833964,True,0.42959906599742426,126,False,0.0,,67,True,0.42389208156219116,126,False,0.0,,67
TPL,INDEPENDENT_CURRENT_CONSTITUENTS,2024-09-20,75.84325396825398,1,True,2024-09-23,2025-03-26,308.0330341221966,True,0.06524300026114926,6,True,0.05571834760929106,4.0,3,True,0.06099053160274992,6,True,0.05150390153059825,4.0,3
TPL,INDEPENDENT_CURRENT_CONSTITUENTS,2024-10-04,77.50496031746032,2,True,2024-10-07,2025-04-09,324.47115378988104,True,0.020582623719016757,2,False,0.0,,0,True,0.016508440063636387,2,False,0.0,,0
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2013-11-29,84.14793473599089,1,True,2013-12-02,2014-06-04,39.643484413986606,True,0.4154292537850022,126,True,0.389155856736914,123.0,98,True,0.4097788354875558,126,True,0.3836103222992715,123.0,98
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2015-02-06,77.67881299923827,1,True,2015-02-09,2015-08-10,28.187273030000004,True,0.2684385030618499,116,False,0.0,,57,True,0.26337487440805396,116,False,0.0,,56
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2016-03-04,76.18220899470899,1,True,2016-03-07,2016-09-02,29.112823715623577,True,0.029251670506454497,49,False,0.0,,0,True,0.025142879864919143,49,False,0.0,,0
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2016-04-01,80.2579365079365,2,True,2016-04-04,2016-09-30,30.62047319607142,True,0.13064943363404935,114,True,0.13064943363404935,114.0,49,True,0.1261358613514929,114,True,0.1261358613514929,114.0,47
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2016-04-15,78.5383597883598,3,False,2016-04-18,2016-10-14,29.38420109017074,True,0.08500055200495993,104,True,0.03884591731736875,20.0,29,True,0.0806692108549909,104,False,0.0,,26
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2016-05-20,76.71957671957672,4,False,2016-05-23,2016-11-18,29.44450992722888,True,0.08784522012734741,103,False,0.0,,45,True,0.08350252301256011,103,False,0.0,,45
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2016-07-08,77.43055555555556,5,False,2016-07-11,2017-01-09,31.774903850092304,True,0.19088190330206878,117,True,0.19088190330206878,117.0,106,True,0.18612788194881347,117,True,0.18612788194881347,117.0,106
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2017-03-31,81.87830687830689,1,True,2017-04-03,2017-10-02,32.269489005226035,True,0.04479405545924875,10,True,0.04479405545924875,10.0,18,True,0.04062321934557933,10,True,0.04062321934557933,10.0,15
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2017-05-05,80.38194444444444,2,True,2017-05-08,2017-11-03,35.619835598577446,True,0.15162912887876656,110,True,0.15162912887876656,110.0,58,True,0.1470318052864441,110,True,0.1470318052864441,110.0,58
