ticker,cik,gics_sector,cik_link_status
NVR,0000906163,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
O,0000726728,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
OKE,0001039684,Energy,UNIQUE_CIK_NAME_CANDIDATE
OMC,0000029989,Communication Services,UNIQUE_CIK_NAME_CANDIDATE
OXY,0000797468,Energy,UNIQUE_CIK_NAME_CANDIDATE
PCAR,0000075362,Industrials,UNIQUE_CIK_NAME_CANDIDATE
PHM,0000822416,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
PKG,0000075677,Materials,UNIQUE_CIK_NAME_CANDIDATE
PNW,0000764622,Utilities,UNIQUE_CIK_NAME_CANDIDATE
PRU,0001137774,Financials,UNIQUE_CIK_NAME_CANDIDATE
PSA,0001393311,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
PSKY,0002041610,Communication Services,UNIQUE_CIK_NAME_CANDIDATE
PWR,0001050915,Industrials,UNIQUE_CIK_NAME_CANDIDATE
REG,0000910606,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
REGN,0000872589,Health Care,UNIQUE_CIK_NAME_CANDIDATE
RJF,0000720005,Financials,UNIQUE_CIK_NAME_CANDIDATE
ROK,0001024478,Industrials,UNIQUE_CIK_NAME_CANDIDATE
ROL,0000084839,Industrials,UNIQUE_CIK_NAME_CANDIDATE
ROST,0000745732,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
SPG,0001063761,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
SRE,0001032208,Utilities,UNIQUE_CIK_NAME_CANDIDATE
STZ,0000016918,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
SW,0002005951,Materials,UNIQUE_CIK_NAME_CANDIDATE
SYY,0000096021,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
T,0000732717,Communication Services,UNIQUE_CIK_NAME_CANDIDATE
TAP,0000024545,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
TJX,0000109198,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
TRGP,0001389170,Energy,UNIQUE_CIK_NAME_CANDIDATE
TRV,0000086312,Financials,UNIQUE_CIK_NAME_CANDIDATE
TSN,0000100493,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
TTWO,0000946581,Communication Services,UNIQUE_CIK_NAME_CANDIDATE
TXT,0000217346,Industrials,UNIQUE_CIK_NAME_CANDIDATE
TYL,0000860731,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
UHS,0000352915,Health Care,UNIQUE_CIK_NAME_CANDIDATE
ULTA,0001403568,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
VLO,0001035002,Energy,UNIQUE_CIK_NAME_CANDIDATE
VMC,0001396009,Materials,UNIQUE_CIK_NAME_CANDIDATE
VRSN,0001014473,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
VZ,0000732712,Communication Services,UNIQUE_CIK_NAME_CANDIDATE
WAT,0001000697,Health Care,UNIQUE_CIK_NAME_CANDIDATE
WBD,0001437107,Communication Services,UNIQUE_CIK_NAME_CANDIDATE
WEC,0000783325,Utilities,UNIQUE_CIK_NAME_CANDIDATE
WMB,0000107263,Energy,UNIQUE_CIK_NAME_CANDIDATE
WY,0000106535,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
WYNN,0001174922,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
XEL,0000072903,Utilities,UNIQUE_CIK_NAME_CANDIDATE
YUM,0001041061,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
ZBH,0001136869,Health Care,UNIQUE_CIK_NAME_CANDIDATE
ZBRA,0000877212,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
