ticker,episode_id,signal_date,last_observed_session,source_regime,SECTOR_RS_DAMAGE_DELTA_4W,TREND_QUALITY_DELTA_4W,PARTICIPATION_WEAKENING_DELTA_4W,MARKET_STRESS_DELTA_4W,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,sector_etf
BSX,BSX-V61-003,2024-02-01,2024-02-01,HEALTHY_RUSH,-0.012297375391600696,0.3549528660100314,-0.23455959739760748,-0.060571899529636666,CONTINUATION,-0.0069422545842656724,0.21243438315110552,0.14933662999528474,True,True,1,118,2024-08-02,XLV
BSX,BSX-V61-004,2024-09-03,2024-09-03,HEALTHY_RUSH,-0.054791191781367266,-0.04193074130282404,-0.47428192367717625,0.013019035822919522,CONTINUATION,0.002834648283573271,0.3086024291132301,0.24229731153316925,True,True,2,109,2025-03-06,XLV
BSX,BSX-V61-005,2025-05-22,2025-05-22,HEALTHY_RUSH,-0.03904572845690191,-0.0794522358229226,-0.6291208035817569,-0.5110741024336631,TEMPORARY_PULLBACK,-0.09138758899521537,0.034832530143540597,-0.07559810076555018,False,True,98,73,2025-11-20,XLV
BX,BX-V61-001,2019-05-20,2019-05-20,HEALTHY_RUSH,0.0,0.3289484482096575,0.09474736640347092,0.051413631894318065,TEMPORARY_PULLBACK,-0.06796339841094645,0.3466429946008236,0.31803333711774107,True,True,8,116,2019-11-15,XLF
BX,BX-V61-002,2019-11-15,2019-11-15,HEALTHY_RUSH,-0.0375200184161153,-0.03172906145116383,-0.6697764034689225,-0.12450569868396105,LARGE_PULLBACK,-0.3072034231731997,0.23815288799341983,0.0237703509525653,False,True,86,58,2020-05-19,XLF
BX,BX-V61-003,2020-12-23,2020-12-23,HEALTHY_RUSH,-0.04410693227664386,0.4112566691571613,0.0980272054034673,-0.04032800634703093,TEMPORARY_PULLBACK,-0.0521138308216571,0.5667860463937857,0.5499576012165468,True,True,8,125,2021-06-25,XLF
BX,BX-V61-004,2024-09-24,2024-09-24,HEALTHY_RUSH,-0.04605155081830592,0.3340442630924353,-0.27351990955843297,0.02183522942294097,LARGE_PULLBACK,-0.12151616297765733,0.26992838668888486,-0.07023440597087216,False,False,116,43,2025-03-27,XLF
BXP,BXP-V61-001,2016-04-20,2016-04-20,NORMAL_RUSH,-0.036659779839830486,0.00034827420985716895,0.5343640530745981,-0.023587019690081867,UNRESOLVED,-0.03862333058667988,0.12178823430127306,-0.0018547962186392652,True,True,21,81,2016-10-18,XLRE
BXP,BXP-V61-002,2016-07-21,2016-07-21,NORMAL_RUSH,-0.016649806832875313,0.36411937415420703,-0.035977940428927546,0.1559145068510529,LARGE_PULLBACK,-0.1668406094311835,0.0439812638144661,-0.050234043183146726,False,False,74,17,2017-01-20,XLRE
BXP,BXP-V61-003,2019-03-04,2019-03-04,HEALTHY_RUSH,0.011267916785852261,0.14889677540586543,0.6704104728053601,-0.4459076546461835,UNRESOLVED,-0.03650135799535259,0.05648933664015621,-0.015025647085136429,False,True,114,76,2019-08-30,XLRE
BXP,BXP-V61-004,2019-11-26,2019-11-26,HEALTHY_RUSH,-0.04669920913106185,0.11754138881104104,-0.3318172394753368,-0.167475008219091,STRUCTURAL_BREAK,-0.4503539703898064,0.07261230950386754,-0.36820099143248985,False,False,115,55,2020-05-29,XLRE
BXP,BXP-V61-005,2020-01-29,2020-01-29,HEALTHY_RUSH,0.0017395576667340595,0.19791761683491604,-0.16872331899657034,-0.03737035809729271,STRUCTURAL_BREAK,-0.4711425699817601,0.032044186351062764,-0.35222600577422736,False,False,73,13,2020-07-29,XLRE
BXP,BXP-V61-006,2021-06-10,2021-06-10,HEALTHY_RUSH,-0.06185805869202232,0.34432077446269727,-0.385006022494455,-0.03525312832906685,LARGE_PULLBACK,-0.12689674687031272,0.010921803087582838,-0.026983402465254103,False,False,121,2,2021-12-08,XLRE
BXP,BXP-V61-007,2022-03-17,2022-03-17,HEALTHY_RUSH,0.010801973972003776,0.13682593286899591,-0.2992202020197351,0.05741449302014612,STRUCTURAL_BREAK,-0.3515382792327665,0.06228944924566715,-0.31888257260259856,False,False,115,8,2022-09-16,XLRE
BXP,BXP-V61-008,2024-09-12,2024-09-12,HEALTHY_RUSH,-0.04244719383719198,0.4877545328010626,-0.5649746895405264,0.013875662799319594,STRUCTURAL_BREAK,-0.16521102629115225,0.15534878801338037,-0.10426896726304413,False,False,124,26,2025-03-17,XLRE
C,C-V61-001,2016-12-12,2016-12-12,NORMAL_RUSH,-0.028142135163285786,0.23975475577874317,-0.3722497050478147,-0.04164776755470313,TEMPORARY_PULLBACK,-0.06498730118156482,0.09283830271917037,0.09283830271917037,True,True,27,126,2017-06-14,XLF
C,C-V61-002,2017-07-03,2017-07-03,HEALTHY_RUSH,-0.012679769209001712,0.4157913881497972,0.08587010738000894,0.015710961615013442,CONTINUATION,-0.03310849968730056,0.13961457105535025,0.09911501484935892,True,True,13,107,2018-01-02,XLF
C,C-V61-003,2017-10-02,2017-10-02,HEALTHY_RUSH,0.003418904544389534,0.06352420844395668,-0.49122197806646645,-0.011371717526393068,UNRESOLVED,-0.07770680451559397,0.08976052819583491,-0.05297563695784058,False,False,123,80,2018-04-04,XLF
C,C-V61-004,2018-02-01,2018-02-01,HEALTHY_RUSH,-0.03088734640548285,0.016136994886626344,-0.24843055261964087,0.0010744864085198338,LARGE_PULLBACK,-0.16620450995176372,-0.01559305939662814,-0.08493946564599064,False,False,101,16,2018-08-02,XLF
C,C-V61-005,2021-05-25,2021-05-25,HEALTHY_RUSH,-0.03264946545986591,0.06101005199688647,-0.46011289139462647,0.005135287491087742,STRUCTURAL_BREAK,-0.1578675671435168,0.03338499493562641,-0.11969346719106522,False,False,37,5,2021-11-22,XLF
C,C-V61-006,2024-03-27,2024-03-27,HEALTHY_RUSH,-0.038402775655757226,0.050921769491676594,-0.5309209386259831,0.0061414577058359066,TEMPORARY_PULLBACK,-0.09131484933383838,0.08681001323875348,0.0015141463208396821,True,True,13,76,2024-09-26,XLF
C,C-V61-007,2024-12-06,2024-12-06,HEALTHY_RUSH,-0.004055467906032506,0.37676974715777267,-0.41963316565939723,-0.08661009862621977,LARGE_PULLBACK,-0.18873828291060624,0.18109549920266055,0.10261766576864062,False,True,80,47,2025-06-11,XLF
