ticker,episode_id,signal_date,sector_etf,fold_id,path_label,damage_triggered,damage_execution_date,scheduled_execution_date,outcome_end,uplift_vs_buy_hold_base,uplift_vs_buy_hold_stress,triggered_trough_improvement_base,triggered_trough_improvement_stress,research_use,direction_label,operational_action_ratio
CAH,CAH-V61-002,2021-04-07,XLV,F02,TEMPORARY_PULLBACK,True,2021-05-07,2021-05-07,2021-10-05,0.00525883331137,0.00518896097768,0.00525883331137,0.00518896097768,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
HIG,HIG-V61-001,2021-04-07,XLF,F02,TEMPORARY_PULLBACK,True,2021-05-12,2021-05-07,2021-10-05,-0.00581022605377,-0.00588138525287,0.00304582887301,0.00297466967391,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
PHM,PHM-V61-006,2021-04-07,XLY,F02,TEMPORARY_PULLBACK,True,2021-06-11,2021-05-07,2021-10-05,0.00703531211435,0.00695909825982,0.00760817498309,0.00753196112856,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
SWK,SWK-V61-005,2021-04-07,XLI,F02,TEMPORARY_PULLBACK,True,2021-06-10,2021-05-07,2021-10-05,0.00756420455866,0.00748615750048,0.00819560038931,0.00811755333113,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
COR,COR-V61-002,2021-04-08,XLV,F02,TEMPORARY_PULLBACK,True,2021-05-17,2021-05-10,2021-10-06,-0.00163580953244,-0.0017116475578,0.000989041954234,0.000913203928873,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
TER,TER-V61-007,2021-04-08,XLK,F02,TEMPORARY_PULLBACK,True,2021-05-05,2021-05-10,2021-10-06,0.00586110711272,0.00579106902087,0.00650804141385,0.006438003322,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
L,L-V61-006,2021-04-09,XLF,F02,TEMPORARY_PULLBACK,True,2021-06-11,2021-05-11,2021-10-07,-0.000904645826939,-0.000983227820454,0.00398398424041,0.00390540224689,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
SJM,SJM-V61-004,2021-04-09,XLP,F02,TEMPORARY_PULLBACK,True,2021-06-21,2021-05-11,2021-10-07,0.00303023645501,0.00295327775103,0.00411019417646,0.00403323547247,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
SWKS,SWKS-V61-003,2021-04-09,XLK,F02,TEMPORARY_PULLBACK,True,2021-05-03,2021-05-11,2021-10-07,0.0049003266608,0.00482800112476,0.00558001933618,0.00550769380015,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
TXT,TXT-V61-005,2021-04-09,XLI,F02,RESUMED_UPTREND,True,2021-06-21,2021-05-11,2021-10-07,-0.00746846385244,-0.0075516071463,0.00574826184449,0.00566511855063,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
FDX,FDX-V61-006,2021-04-12,XLI,F02,TEMPORARY_PULLBACK,True,2021-06-10,2021-05-12,2021-10-08,0.0117821983357,0.0117064761686,0.0127450248227,0.0126693026555,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
TXN,TXN-V61-005,2021-04-12,XLK,F02,TEMPORARY_PULLBACK,True,2021-05-03,2021-05-12,2021-10-08,-0.00394805550325,-0.00401918202388,0.00120647688969,0.00113535036907,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
ADI,ADI-V61-007,2021-04-13,XLK,F02,RESUMED_UPTREND,True,2021-05-03,2021-05-13,2021-10-11,-0.00488604440509,-0.0049586129081,0.00247519197828,0.00240262347527,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
GLW,GLW-V61-007,2021-04-13,XLK,F02,TEMPORARY_PULLBACK,True,2021-06-08,2021-05-13,2021-10-11,0.00632158379652,0.00624974083093,0.00693983790203,0.00686799493643,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
