evaluation_id,event_id,accession_number,cik,filing_date,matched_items,primary_document_url,collection_status
STRUCTURAL-EVAL-0001193125-24-036201,SEC8K-0001193125-24-036201,0001193125-24-036201,0000858877,2024-02-14,2.05,https://www.sec.gov/Archives/edgar/data/858877/000119312524036201/d719981d8k.htm,PENDING
STRUCTURAL-EVAL-0001324424-24-000009,SEC8K-0001324424-24-000009,0001324424-24-000009,0001324424,2024-02-26,2.05,https://www.sec.gov/Archives/edgar/data/1324424/000132442424000009/expe-20240222.htm,PENDING
STRUCTURAL-EVAL-0000712515-24-000009,SEC8K-0000712515-24-000009,0000712515-24-000009,0000712515,2024-02-28,2.05,https://www.sec.gov/Archives/edgar/data/712515/000071251524000009/ea-20240227.htm,PENDING
STRUCTURAL-EVAL-0001193125-24-049404,SEC8K-0001193125-24-049404,0001193125-24-049404,0001744489,2024-02-28,2.06,https://www.sec.gov/Archives/edgar/data/1744489/000119312524049404/d800554d8k.htm,PENDING
STRUCTURAL-EVAL-0001628280-24-008055,SEC8K-0001628280-24-008055,0001628280-24-008055,0001175454,2024-02-29,4.02,https://www.sec.gov/Archives/edgar/data/1175454/000162828024008055/flt-20240226.htm,PENDING
STRUCTURAL-EVAL-0000065984-24-000018,SEC8K-0000065984-24-000018,0000065984-24-000018,0000065984,2024-03-12,2.06,https://www.sec.gov/Archives/edgar/data/65984/000006598424000018/etr-20240312.htm,PENDING
STRUCTURAL-EVAL-0001193125-24-068620,SEC8K-0001193125-24-068620,0001193125-24-068620,0000898293,2024-03-15,2.05,https://www.sec.gov/Archives/edgar/data/898293/000119312524068620/d807145d8ka.htm,PENDING
STRUCTURAL-EVAL-0000055785-24-000045,SEC8K-0000055785-24-000045,0000055785-24-000045,0000055785,2024-03-27,2.05,https://www.sec.gov/Archives/edgar/data/55785/000005578524000045/pre-20240325.htm,PENDING
STRUCTURAL-EVAL-0001628280-24-016440,SEC8K-0001628280-24-016440,0001628280-24-016440,0000946581,2024-04-16,2.05,https://www.sec.gov/Archives/edgar/data/946581/000162828024016440/ttwo-20240416.htm,PENDING
STRUCTURAL-EVAL-0000217346-24-000050,SEC8K-0000217346-24-000050,0000217346-24-000050,0000217346,2024-04-25,2.05,https://www.sec.gov/Archives/edgar/data/217346/000021734624000050/txt-20240425.htm,PENDING
STRUCTURAL-EVAL-0000866374-24-000017,SEC8K-0000866374-24-000017,0000866374-24-000017,0000866374,2024-05-01,2.05,https://www.sec.gov/Archives/edgar/data/866374/000086637424000017/flex-20240429.htm,PENDING
STRUCTURAL-EVAL-0001944048-24-000096,SEC8K-0001944048-24-000096,0001944048-24-000096,0001944048,2024-05-07,2.05,https://www.sec.gov/Archives/edgar/data/1944048/000194404824000096/kvue-20240506.htm,PENDING
STRUCTURAL-EVAL-0001757898-24-000005,SEC8K-0001757898-24-000005,0001757898-24-000005,0001757898,2024-05-08,2.05,https://www.sec.gov/Archives/edgar/data/1757898/000175789824000005/ste-20240507.htm,PENDING
STRUCTURAL-EVAL-0000078003-24-000113,SEC8K-0000078003-24-000113,0000078003-24-000113,0000078003,2024-05-22,2.05,https://www.sec.gov/Archives/edgar/data/78003/000007800324000113/pfe-20240522.htm,PENDING
STRUCTURAL-EVAL-0001051470-24-000174,SEC8K-0001051470-24-000174,0001051470-24-000174,0001051470,2024-06-11,2.05,https://www.sec.gov/Archives/edgar/data/1051470/000105147024000174/cci-20240611.htm,PENDING
STRUCTURAL-EVAL-0001193125-24-159578,SEC8K-0001193125-24-159578,0001193125-24-159578,0001048911,2024-06-12,2.05,https://www.sec.gov/Archives/edgar/data/1048911/000119312524159578/d811276d8k.htm,PENDING
STRUCTURAL-EVAL-0000352541-24-000072,SEC8K-0000352541-24-000072,0000352541-24-000072,0000352541,2024-06-24,2.06,https://www.sec.gov/Archives/edgar/data/352541/000035254124000072/lnt-20240620.htm,PENDING
STRUCTURAL-EVAL-0000896878-24-000030,SEC8K-0000896878-24-000030,0000896878-24-000030,0000896878,2024-07-10,2.05,https://www.sec.gov/Archives/edgar/data/896878/000089687824000030/intu-20240710.htm,PENDING
STRUCTURAL-EVAL-0001001250-24-000108,SEC8K-0001001250-24-000108,0001001250-24-000108,0001001250,2024-07-23,2.05,https://www.sec.gov/Archives/edgar/data/1001250/000100125024000108/el-20240201.htm,PENDING
STRUCTURAL-EVAL-0001558370-24-010319,SEC8K-0001558370-24-010319,0001558370-24-010319,0000031462,2024-07-30,2.05,https://www.sec.gov/Archives/edgar/data/31462/000155837024010319/ecl-20240730x8k.htm,PENDING
STRUCTURAL-EVAL-0001193125-24-200636,SEC8K-0001193125-24-200636,0001193125-24-200636,0000858877,2024-08-14,2.05,https://www.sec.gov/Archives/edgar/data/858877/000119312524200636/d878533d8k.htm,PENDING
STRUCTURAL-EVAL-0000037996-24-000150,SEC8K-0000037996-24-000150,0000037996-24-000150,0000037996,2024-08-21,2.06,https://www.sec.gov/Archives/edgar/data/37996/000003799624000150/f-20240819.htm,PENDING
STRUCTURAL-EVAL-0000016918-24-000172,SEC8K-0000016918-24-000172,0000016918-24-000172,0000016918,2024-09-03,2.06,https://www.sec.gov/Archives/edgar/data/16918/000001691824000172/stz-20240902.htm,PENDING
STRUCTURAL-EVAL-0001193125-24-215920,SEC8K-0001193125-24-215920,0001193125-24-215920,0000072331,2024-09-09,2.04,https://www.sec.gov/Archives/edgar/data/72331/000119312524215920/d851082d8k.htm,PENDING
STRUCTURAL-EVAL-0001193125-24-226107,SEC8K-0001193125-24-226107,0001193125-24-226107,0000798354,2024-09-25,2.06,https://www.sec.gov/Archives/edgar/data/798354/000119312524226107/d895222d8k.htm,PENDING
