atomicTransactionIdV1,accessionNumber,transactionDateMatch,transactionCodeMatch,transactionSharesMatch,transactionPricePerShareMatch,acquiredDisposedCodeMatch,sharesOwnedFollowingTransactionMatch,directOrIndirectOwnershipMatch,isDerivativeMatch,exactMatch,bulkCandidateFound
c2679a1787781b0898cea5646ab45a57ccbe0a5d9f07c27b105e9d9e3e5b62c7,0001225208-14-024749,True,True,True,True,True,True,True,True,True,True
439351cf60e64e2c375bf9ef27f5ad79ff5122132b3520c30f89dd2c2494747e,0000320187-18-000121,True,True,True,True,True,True,True,True,True,True
61d3c3eafb0cd695a75d7895f0d4587541e44e4aa196e1e6a2b4c88be6afdf36,0000320187-14-000007,True,True,True,True,True,True,True,True,True,True
268109b980259d146f872becdaad9074a2b2d3058abdd2c16065c9644f489291,0001127602-19-026064,True,True,True,True,True,True,True,True,True,True
6852be584944935f8dc81390e0b7d4af58183ed7f678e50175e334e4cb35e8ad,0001127602-20-021647,True,True,True,True,True,True,True,True,True,True
675dcbd15b6118327d4fbaea12334b9f87effff169342eb76e346f01e0ea4133,0000320187-25-000127,True,True,True,True,True,True,True,True,True,True
44a720c6141fa004d46891a1618aa36ee49cfb19d742869a06d6abd66e7cb7c7,0000320193-21-000019,True,True,True,True,True,True,True,True,True,True
be1f041741508b27de1187130d599488282276f21e3169b0f173a0fc2388592e,0001767094-25-000009,True,True,True,True,True,True,True,True,True,True
1b5ce1dee60b64ddf93051d25e58dd03ff6df156d1436a49f6ea9188cd77e0f8,0001628280-17-003834,True,True,True,True,True,True,True,True,True,True
77c60d88794b7289c962b2d7aea90b95ebb3b18e1787b0c440f220c2de94a014,0000320193-17-000021,True,True,True,True,True,True,True,True,True,True
290653914479d4363b95c82eedc7915d056d67b5f38519264eb4f19fbcd2f1b8,0001181431-12-024432,True,True,True,True,True,True,True,True,True,True
20483e3047fbb21f1dc20e4cb9d2329706de239b72dec7bc7513869315886955,0000354950-25-000209,True,True,True,True,True,True,True,True,True,True
2a046977d6bb3ec8582e59d9b964804a8cfd610e868ce3e1d79e1ff57f8158b4,0000354950-22-000044,True,True,True,True,True,True,True,True,True,True
bb73f98d8d0594deece3c1b2451ac2fb7a87db1b4030f4a7aed1b9ea8e8db9c3,0001209191-15-019855,True,True,True,True,True,True,True,True,True,True
d10734d5e23636ee1c4d98a39fc43ef52643fa24a21585edf038bb233ac1878f,0001209191-17-047750,True,True,True,True,True,True,True,True,True,True
21a7421fb6ceea511ff2ce70f3717395112d50036334756b5c17ee1c764ee125,0000354950-24-000081,True,True,True,True,True,True,True,True,True,True
295a3e0b33b63d0b4b6c4ec29086dce3a6795ac69594a9cfae32dc337be75d66,0001209191-21-013888,True,True,True,True,True,True,True,True,True,True
d8cd49eb4b5454504dda601cf358dd55c55ca443850344ca08eff436a5372459,0001209191-22-009859,True,True,True,True,True,True,True,True,True,True
