ticker,episode_id,signal_date,last_observed_session,source_regime,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,selector,sector,era,v61_episode_id,price_episode_id
CAT,CAT-V61-001,2016-08-04,2016-08-04,NORMAL_RUSH,CONTINUATION,-0.0188333368489495,0.2314103439183166,0.1603796506421924,True,True,27,121,2017-02-03,V61_RUSH,industrials,2016-2019,,
CAT,CAT-V61-002,2016-10-04,2016-10-04,NORMAL_RUSH,TEMPORARY_PULLBACK,-0.06495292810481623,0.15098753063888593,0.09542617877082371,True,True,21,92,2017-04-05,V61_RUSH,industrials,2016-2019,,
CAT,CAT-V61-003,2016-12-02,2016-12-02,NORMAL_RUSH,CONTINUATION,-0.031444917898190705,0.1321897773275933,0.11722913473369156,True,True,65,124,2017-06-06,V61_RUSH,industrials,2016-2019,,
CAT,CAT-V61-004,2017-05-05,2017-05-05,HEALTHY_RUSH,CONTINUATION,-0.0035127013393784212,0.40574424805614484,0.3877453730708862,True,True,2,119,2017-11-02,V61_RUSH,industrials,2016-2019,,
CAT,CAT-V61-005,2020-10-29,2020-10-29,HEALTHY_RUSH,CONTINUATION,0.0036206151776352336,0.5190627288013154,0.48975777972170165,True,True,4,106,2021-05-03,V61_RUSH,industrials,2020-2022,,
CAT,CAT-V61-006,2022-12-01,2022-12-01,HEALTHY_RUSH,LARGE_PULLBACK,-0.1181068074877566,0.1277593523695144,-0.04644105682671562,False,False,123,38,2023-06-05,V61_RUSH,industrials,2020-2022,,
CAT,CAT-V61-007,2023-08-02,2023-08-02,HEALTHY_RUSH,LARGE_PULLBACK,-0.20986884056861665,0.08047683692010299,0.08047683692010299,True,True,63,126,2024-02-01,V61_RUSH,industrials,2023-2026,,
CAT,CAT-V61-008,2024-02-20,2024-02-20,HEALTHY_RUSH,CONTINUATION,0.010837141839852293,0.20896260463801064,0.10267926492186286,True,True,1,32,2024-08-20,V61_RUSH,industrials,2023-2026,,
CAT,CAT-V61-009,2024-09-23,2024-09-23,HEALTHY_RUSH,LARGE_PULLBACK,-0.11327399417555772,0.12718633326892226,-0.0743040901848615,False,False,110,32,2025-03-26,V61_RUSH,industrials,2023-2026,,
CAT,CAT-V61-010,2025-07-30,2025-07-30,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.06065134198776678,0.5403856171243289,0.5403856171243289,True,True,12,126,2026-01-29,V61_RUSH,industrials,2023-2026,,
COP,COP-V61-001,2016-12-21,2016-12-21,NORMAL_RUSH,STRUCTURAL_BREAK,-0.1541814923047261,0.002330903282499852,-0.11961826146129628,False,False,115,3,2017-06-23,V61_RUSH,energy,2016-2019,,
COP,COP-V61-002,2017-12-21,2017-12-21,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.06523708913379545,0.2749505323756112,0.19339398881911363,True,True,33,100,2018-06-25,V61_RUSH,energy,2016-2019,,
COP,COP-V61-003,2021-03-17,2021-03-17,HEALTHY_RUSH,LARGE_PULLBACK,-0.14393810454858735,0.11506754708501643,0.05998003144345354,True,True,23,74,2021-09-15,V61_RUSH,energy,2020-2022,,
COP,COP-V61-004,2021-06-16,2021-06-16,HEALTHY_RUSH,LARGE_PULLBACK,-0.13559703041927906,0.2697358117403279,0.17206369994912185,True,True,45,92,2021-12-14,V61_RUSH,energy,2020-2022,,
COP,COP-V61-005,2021-10-14,2021-10-14,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.06550946570665028,0.4758481784090387,0.39584965371513925,True,True,46,112,2022-04-14,V61_RUSH,energy,2020-2022,,
COP,COP-V61-006,2022-08-29,2022-08-29,HEALTHY_RUSH,LARGE_PULLBACK,-0.12925409526346332,0.2068454264140962,-0.03588971350104908,True,True,20,49,2023-03-01,V61_RUSH,energy,2020-2022,,
COP,COP-V61-007,2022-10-27,2022-10-27,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.24379056099868224,0.06554022092415956,-0.17348947007851756,False,False,96,7,2023-05-01,V61_RUSH,energy,2020-2022,,
COP,COP-V61-008,2024-04-17,2024-04-17,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.19188324508071608,0.014883579681709724,-0.16937178227116245,False,False,112,7,2024-10-16,V61_RUSH,energy,2023-2026,,
COST,COST-V61-001,2018-02-02,2018-02-02,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.0648201670114339,0.16903152926237852,0.16903152926237852,True,True,4,126,2018-08-03,V61_RUSH,consumer_staples,2016-2019,,
COST,COST-V61-002,2018-06-21,2018-06-21,HEALTHY_RUSH,UNRESOLVED,-0.056538810720092925,0.16601396004640545,-0.056538810720092925,False,False,126,56,2018-12-20,V61_RUSH,consumer_staples,2016-2019,,
COST,COST-V61-003,2019-05-21,2019-05-21,HEALTHY_RUSH,CONTINUATION,-0.04141164742097425,0.22654198070999998,0.22384983223018984,True,True,7,119,2019-11-18,V61_RUSH,consumer_staples,2016-2019,,
COST,COST-V61-004,2020-01-21,2020-01-21,HEALTHY_RUSH,LARGE_PULLBACK,-0.10476891276641964,0.051658397742955664,0.05082513564551361,True,True,36,121,2020-07-21,V61_RUSH,consumer_staples,2020-2022,,
COST,COST-V61-005,2020-10-09,2020-10-09,HEALTHY_RUSH,LARGE_PULLBACK,-0.13164180607519327,0.07853580145569738,0.01834528183111006,False,True,101,36,2021-04-13,V61_RUSH,consumer_staples,2020-2022,,
COST,COST-V61-006,2021-07-22,2021-07-22,HEALTHY_RUSH,CONTINUATION,0.011208713511319024,0.3645507757553812,0.16038633813892655,True,True,4,111,2022-01-20,V61_RUSH,consumer_staples,2020-2022,,
COST,COST-V61-007,2022-04-07,2022-04-07,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.31402434807080826,-0.007433436576287589,-0.22749598795379933,False,False,30,8,2022-10-07,V61_RUSH,consumer_staples,2020-2022,,
COST,COST-V61-008,2024-02-01,2024-02-01,HEALTHY_RUSH,CONTINUATION,0.0005678821259160749,0.2608922992939917,0.17046871580361422,True,True,43,108,2024-08-02,V61_RUSH,consumer_staples,2023-2026,,
COST,COST-V61-009,2024-06-03,2024-06-03,HEALTHY_RUSH,CONTINUATION,-0.015230202831575945,0.19904021102436498,0.19904021102436498,True,True,43,126,2024-12-02,V61_RUSH,consumer_staples,2023-2026,,
COST,COST-V61-010,2024-09-03,2024-09-03,HEALTHY_RUSH,CONTINUATION,-0.005668149667257372,0.2286810299390729,0.1713579732898427,True,True,24,112,2025-03-06,V61_RUSH,consumer_staples,2023-2026,,
COST,COST-V61-011,2024-12-02,2024-12-02,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.08553435576916935,0.10569198798662471,0.0392258951335851,False,True,68,49,2025-06-05,V61_RUSH,consumer_staples,2023-2026,,
COST,COST-V61-012,2025-02-20,2025-02-20,HEALTHY_RUSH,LARGE_PULLBACK,-0.139356246265271,0.022609472598128955,-0.06043642227691637,True,True,15,70,2025-08-21,V61_RUSH,consumer_staples,2023-2026,,
CRM,CRM-V61-001,2017-11-29,2017-11-29,HEALTHY_RUSH,CONTINUATION,-0.03554510024699198,0.26175989210989536,0.26069760254859653,True,True,3,112,2018-06-01,V61_RUSH,technology,2016-2019,,
CRM,CRM-V61-002,2018-01-31,2018-01-31,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.08673511485709562,0.3069086424203682,0.20867337475609538,True,True,6,121,2018-08-01,V61_RUSH,technology,2016-2019,,
CRM,CRM-V61-003,2018-06-01,2018-06-01,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.07546746675383298,0.2291603334157597,0.07048732383076683,False,True,120,82,2018-11-29,V61_RUSH,technology,2016-2019,,
CRM,CRM-V61-004,2020-02-10,2020-02-10,HEALTHY_RUSH,LARGE_PULLBACK,-0.34274531478176196,0.09872031487465938,0.04251280168278537,True,True,24,124,2020-08-10,V61_RUSH,technology,2020-2022,,
CRM,CRM-V61-005,2020-09-01,2020-09-01,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.2699378095713274,-0.01621322698283878,-0.2699378095713274,False,False,126,1,2021-03-04,V61_RUSH,technology,2020-2022,,
CRM,CRM-V61-006,2021-10-29,2021-10-29,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.4324802066379606,0.03426861211130827,-0.4074877067894287,False,False,122,6,2022-05-02,V61_RUSH,technology,2020-2022,,
CRM,CRM-V61-007,2024-03-06,2024-03-06,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.2813813790257753,0.016535175133329805,-0.18746049942031606,False,False,59,11,2024-09-05,V61_RUSH,technology,2023-2026,,
CRM,CRM-V61-008,2024-12-10,2024-12-10,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.3208496558030045,0.03308499390351205,-0.25720637645234734,False,False,88,31,2025-06-13,V61_RUSH,technology,2023-2026,,
CVX,CVX-V61-001,2016-05-12,2016-05-12,NORMAL_RUSH,UNRESOLVED,-0.022981658321174048,0.0764198660663229,0.0764198660663229,True,True,90,126,2016-11-09,V61_RUSH,energy,2016-2019,,
CVX,CVX-V61-002,2016-11-09,2016-11-09,NORMAL_RUSH,CONTINUATION,-0.012624287719217642,0.11444671032528797,0.0037646816885565926,False,True,109,30,2017-05-12,V61_RUSH,energy,2016-2019,,
CVX,CVX-V61-003,2017-10-10,2017-10-10,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.06416880892943289,0.13510645498109564,0.02309881576592865,False,True,91,65,2018-04-12,V61_RUSH,energy,2016-2019,,
CVX,CVX-V61-004,2017-12-08,2017-12-08,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.08150711740434058,0.11407613877010592,0.0795882870269613,False,True,49,23,2018-06-12,V61_RUSH,energy,2016-2019,,
CVX,CVX-V61-005,2018-05-15,2018-05-15,HEALTHY_RUSH,LARGE_PULLBACK,-0.14495682751038597,0.006542744052214555,-0.07855013757925255,False,False,116,2,2018-11-12,V61_RUSH,energy,2016-2019,,
CVX,CVX-V61-006,2021-11-08,2021-11-08,HEALTHY_RUSH,CONTINUATION,-0.01690463455118485,0.5436088190296391,0.42723259524737833,True,True,9,110,2022-05-10,V61_RUSH,energy,2020-2022,,
CVX,CVX-V61-007,2022-08-23,2022-08-23,HEALTHY_RUSH,LARGE_PULLBACK,-0.1298226355676375,0.168236339185597,0.016267432566671847,True,True,23,107,2023-02-23,V61_RUSH,energy,2020-2022,,
CVX,CVX-V61-008,2022-11-21,2022-11-21,HEALTHY_RUSH,STRUCTURAL_BREAK,-0.15202667854044594,0.036139620447643184,-0.11601211072170581,False,False,79,44,2023-05-24,V61_RUSH,energy,2020-2022,,
CVX,CVX-V61-009,2023-01-24,2023-01-24,HEALTHY_RUSH,LARGE_PULLBACK,-0.15147094029085062,0.038489123272975156,-0.09107906360258966,False,False,88,2,2023-07-26,V61_RUSH,energy,2023-2026,,
DIS,DIS-V61-001,2019-06-14,2019-06-14,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.08970262206234436,0.07715560305042413,0.049594616129297275,True,True,77,115,2019-12-12,V61_RUSH,communication,2016-2019,,
DIS,DIS-V61-002,2020-12-23,2020-12-23,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.06061658766285327,0.1634110145162606,0.027657715024739904,True,True,22,49,2021-06-25,V61_RUSH,communication,2020-2022,,
DUK,DUK-V61-001,2016-03-14,2016-03-14,NORMAL_RUSH,CONTINUATION,-0.017756527018775836,0.1341301259992871,0.04127476387326756,True,True,27,79,2016-09-12,V61_RUSH,utilities_real_estate,2016-2019,,
DUK,DUK-V61-002,2017-03-28,2017-03-28,HEALTHY_RUSH,CONTINUATION,-0.011093988926271225,0.08744516459129348,0.04411499413472719,True,True,3,115,2017-09-26,V61_RUSH,utilities_real_estate,2016-2019,,
DUK,DUK-V61-003,2017-05-26,2017-05-26,HEALTHY_RUSH,CONTINUATION,-0.022216777766190243,0.08184646155330366,0.06487425379017053,True,True,30,119,2017-11-24,V61_RUSH,utilities_real_estate,2016-2019,,
DUK,DUK-V61-004,2017-10-25,2017-10-25,HEALTHY_RUSH,LARGE_PULLBACK,-0.14464392528832082,0.038062912940022064,-0.06246286717855909,False,False,72,14,2018-04-27,V61_RUSH,utilities_real_estate,2016-2019,,
DUK,DUK-V61-005,2018-12-06,2018-12-06,HEALTHY_RUSH,TEMPORARY_PULLBACK,-0.06868529898447484,0.02958931125512332,-0.01886294426935131,True,True,25,74,2019-06-10,V61_RUSH,utilities_real_estate,2016-2019,,
DUK,DUK-V61-006,2019-02-07,2019-02-07,HEALTHY_RUSH,UNRESOLVED,-0.023700353236091765,0.033616476463481426,0.019447286258184926,False,True,77,32,2019-08-08,V61_RUSH,utilities_real_estate,2016-2019,,
DUK,DUK-V61-007,2019-09-11,2019-09-11,HEALTHY_RUSH,LARGE_PULLBACK,-0.13069046892076686,0.10640359832479773,-0.13069046892076686,False,False,126,112,2020-03-12,V61_RUSH,utilities_real_estate,2016-2019,,
