ticker,cik,accession_number,form,filing_date,accepted_at,items,primary_document,archive_dir,index_json_url,classification_status
RL,0001037038,0000950142-17-000715,8-K,2017-04-04,2017-04-04T12:30:41.000Z,7.01,eh1700480_8k.htm,https://www.sec.gov/Archives/edgar/data/1037038/000095014217000715,https://www.sec.gov/Archives/edgar/data/1037038/000095014217000715/index.json,NOT_CLASSIFIED
GL,0000320335,0000320335-17-000014,8-K,2017-04-19,2017-04-19T20:34:13.000Z,2.02,a8-kxq12017.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033517000014,https://www.sec.gov/Archives/edgar/data/320335/000032033517000014/index.json,NOT_CLASSIFIED
FITB,0000035527,0001193125-17-135580,8-K,2017-04-25,2017-04-25T10:30:38.000Z,"2.02,7.01",d367520d8k.htm,https://www.sec.gov/Archives/edgar/data/35527/000119312517135580,https://www.sec.gov/Archives/edgar/data/35527/000119312517135580/index.json,NOT_CLASSIFIED
AVY,0000008818,0001104659-17-026110,8-K,2017-04-26,2017-04-26T10:45:31.000Z,2.02,a17-11818_18k.htm,https://www.sec.gov/Archives/edgar/data/8818/000110465917026110,https://www.sec.gov/Archives/edgar/data/8818/000110465917026110/index.json,NOT_CLASSIFIED
AEP,0000004904,0000004904-17-000026,8-K,2017-04-27,2017-04-27T11:25:34.000Z,2.02,a1q20178-kpressrelease.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490417000026,https://www.sec.gov/Archives/edgar/data/4904/000000490417000026/index.json,NOT_CLASSIFIED
FTNT,0001262039,0001262039-17-000013,8-K,2017-04-27,2017-04-27T20:18:28.000Z,2.02,ftntq1-2017form8k.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203917000013,https://www.sec.gov/Archives/edgar/data/1262039/000126203917000013/index.json,NOT_CLASSIFIED
TPR,0001116132,0001157523-17-001331,8-K,2017-05-02,2017-05-02T10:45:19.000Z,2.02,a51550619.htm,https://www.sec.gov/Archives/edgar/data/1116132/000115752317001331,https://www.sec.gov/Archives/edgar/data/1116132/000115752317001331/index.json,NOT_CLASSIFIED
XYL,0001524472,0001524472-17-000020,8-K,2017-05-02,2017-05-02T11:14:59.000Z,2.02,xyl05220178k.htm,https://www.sec.gov/Archives/edgar/data/1524472/000152447217000020,https://www.sec.gov/Archives/edgar/data/1524472/000152447217000020/index.json,NOT_CLASSIFIED
AIZ,0001267238,0001193125-17-154053,8-K,2017-05-02,2017-05-02T20:29:04.000Z,2.02,d372245d8k.htm,https://www.sec.gov/Archives/edgar/data/1267238/000119312517154053,https://www.sec.gov/Archives/edgar/data/1267238/000119312517154053/index.json,NOT_CLASSIFIED
LH,0000920148,0000920148-17-000053,8-K,2017-05-03,2017-05-03T12:55:33.000Z,7.01,form8-kpr5317am.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014817000053,https://www.sec.gov/Archives/edgar/data/920148/000092014817000053/index.json,NOT_CLASSIFIED
FRT,0000034903,0000034903-17-000013,8-K,2017-05-03,2017-05-03T20:09:59.000Z,2.02,frt-03312017x8kdoc.htm,https://www.sec.gov/Archives/edgar/data/34903/000003490317000013,https://www.sec.gov/Archives/edgar/data/34903/000003490317000013/index.json,NOT_CLASSIFIED
ATO,0000731802,0000731802-17-000018,8-K,2017-05-03,2017-05-03T21:06:09.000Z,2.02,ato201705038-k.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180217000018,https://www.sec.gov/Archives/edgar/data/731802/000073180217000018/index.json,NOT_CLASSIFIED
LH,0000920148,0000920148-17-000055,8-K,2017-05-04,2017-05-04T12:58:05.000Z,7.01,form8-k5417am.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014817000055,https://www.sec.gov/Archives/edgar/data/920148/000092014817000055/index.json,NOT_CLASSIFIED
FITB,0000035527,0001193125-17-165190,8-K,2017-05-10,2017-05-10T13:16:32.000Z,7.01,d396790d8k.htm,https://www.sec.gov/Archives/edgar/data/35527/000119312517165190,https://www.sec.gov/Archives/edgar/data/35527/000119312517165190/index.json,NOT_CLASSIFIED
RL,0001037038,0000950142-17-001057,8-K,2017-05-17,2017-05-17T12:15:19.000Z,7.01,eh1700645_8k.htm,https://www.sec.gov/Archives/edgar/data/1037038/000095014217001057,https://www.sec.gov/Archives/edgar/data/1037038/000095014217001057/index.json,NOT_CLASSIFIED
RL,0001037038,0000950142-17-001059,8-K,2017-05-18,2017-05-18T12:08:40.000Z,2.02,eh1700646_8k.htm,https://www.sec.gov/Archives/edgar/data/1037038/000095014217001059,https://www.sec.gov/Archives/edgar/data/1037038/000095014217001059/index.json,NOT_CLASSIFIED
MDT,0001613103,0001613103-17-000013,8-K,2017-05-25,2017-05-25T10:50:21.000Z,2.02,fy17q4earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000013,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000013/index.json,NOT_CLASSIFIED
HRL,0000048465,0001104659-17-035001,8-K,2017-05-25,2017-05-25T11:48:01.000Z,2.02,a17-14154_18k.htm,https://www.sec.gov/Archives/edgar/data/48465/000110465917035001,https://www.sec.gov/Archives/edgar/data/48465/000110465917035001/index.json,NOT_CLASSIFIED
DLTR,0000935703,0000935703-17-000024,8-K,2017-05-25,2017-05-25T11:56:28.000Z,"2.02,7.01",a8kq1-17earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570317000024,https://www.sec.gov/Archives/edgar/data/935703/000093570317000024/index.json,NOT_CLASSIFIED
FDX,0001048911,0001193125-17-208195,8-K,2017-06-20,2017-06-20T20:15:58.000Z,2.02,d397829d8k.htm,https://www.sec.gov/Archives/edgar/data/1048911/000119312517208195,https://www.sec.gov/Archives/edgar/data/1048911/000119312517208195/index.json,NOT_CLASSIFIED
MKC,0000063754,0000063754-17-000036,8-K,2017-06-29,2017-06-29T12:08:49.000Z,2.02,mkc-8xkx6x29x17.htm,https://www.sec.gov/Archives/edgar/data/63754/000006375417000036,https://www.sec.gov/Archives/edgar/data/63754/000006375417000036/index.json,NOT_CLASSIFIED
LH,0000920148,0000920148-17-000067,8-K,2017-07-03,2017-07-03T12:52:33.000Z,7.01,form8-kzerocoupon7317.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014817000067,https://www.sec.gov/Archives/edgar/data/920148/000092014817000067/index.json,NOT_CLASSIFIED
PPG,0000079879,0000079879-17-000068,8-K,2017-07-12,2017-07-12T21:13:39.000Z,2.02,form8-k2017discontinuedope.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987917000068,https://www.sec.gov/Archives/edgar/data/79879/000007987917000068/index.json,NOT_CLASSIFIED
MKC,0000063754,0000063754-17-000045,8-K,2017-07-19,2017-07-19T11:24:09.000Z,7.01,mkc-8xkx7x19x2017.htm,https://www.sec.gov/Archives/edgar/data/63754/000006375417000045,https://www.sec.gov/Archives/edgar/data/63754/000006375417000045/index.json,NOT_CLASSIFIED
PPG,0000079879,0000079879-17-000070,8-K,2017-07-20,2017-07-20T16:24:43.000Z,2.02,a2q2017earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987917000070,https://www.sec.gov/Archives/edgar/data/79879/000007987917000070/index.json,NOT_CLASSIFIED
FITB,0000035527,0001193125-17-232353,8-K,2017-07-21,2017-07-21T10:31:08.000Z,"2.02,7.01",d430629d8k.htm,https://www.sec.gov/Archives/edgar/data/35527/000119312517232353,https://www.sec.gov/Archives/edgar/data/35527/000119312517232353/index.json,NOT_CLASSIFIED
AVY,0000008818,0001104659-17-046637,8-K,2017-07-25,2017-07-25T10:45:44.000Z,2.02,a17-13273_38k.htm,https://www.sec.gov/Archives/edgar/data/8818/000110465917046637,https://www.sec.gov/Archives/edgar/data/8818/000110465917046637/index.json,NOT_CLASSIFIED
CMG,0001058090,0001058090-17-000031,8-K,2017-07-25,2017-07-25T20:10:29.000Z,2.02,cmg-20170630x8k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809017000031,https://www.sec.gov/Archives/edgar/data/1058090/000105809017000031/index.json,NOT_CLASSIFIED
LH,0000920148,0000920148-17-000077,8-K,2017-07-26,2017-07-26T11:04:59.000Z,7.01,form8-kerppt72617.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014817000077,https://www.sec.gov/Archives/edgar/data/920148/000092014817000077/index.json,NOT_CLASSIFIED
GL,0000320335,0000320335-17-000027,8-K,2017-07-26,2017-07-26T20:18:33.000Z,2.02,a8-kxq22017.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033517000027,https://www.sec.gov/Archives/edgar/data/320335/000032033517000027/index.json,NOT_CLASSIFIED
FTNT,0001262039,0001262039-17-000025,8-K,2017-07-26,2017-07-26T20:20:34.000Z,2.02,ftntq2-2017form8k.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203917000025,https://www.sec.gov/Archives/edgar/data/1262039/000126203917000025/index.json,NOT_CLASSIFIED
AEP,0000004904,0000004904-17-000040,8-K,2017-07-27,2017-07-27T11:38:24.000Z,2.02,a2q20178-kpressrelease.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490417000040,https://www.sec.gov/Archives/edgar/data/4904/000000490417000040/index.json,NOT_CLASSIFIED
SBAC,0001034054,0001193125-17-242391,8-K,2017-07-31,2017-07-31T20:17:58.000Z,2.02,d432645d8k.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312517242391,https://www.sec.gov/Archives/edgar/data/1034054/000119312517242391/index.json,NOT_CLASSIFIED
AES,0000874761,0000874761-17-000049,8-K,2017-07-31,2017-07-31T20:48:29.000Z,7.01,spowerandaltomaipooption1_.htm,https://www.sec.gov/Archives/edgar/data/874761/000087476117000049,https://www.sec.gov/Archives/edgar/data/874761/000087476117000049/index.json,NOT_CLASSIFIED
EXR,0001289490,0001628280-17-007762,8-K,2017-08-01,2017-08-01T20:28:21.000Z,2.02,exr-06302017x8k.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828017007762,https://www.sec.gov/Archives/edgar/data/1289490/000162828017007762/index.json,NOT_CLASSIFIED
AIZ,0001267238,0001628280-17-007768,8-K,2017-08-01,2017-08-01T20:35:41.000Z,2.02,aiz-20176308xk.htm,https://www.sec.gov/Archives/edgar/data/1267238/000162828017007768,https://www.sec.gov/Archives/edgar/data/1267238/000162828017007768/index.json,NOT_CLASSIFIED
ATO,0000731802,0000731802-17-000031,8-K,2017-08-02,2017-08-02T21:06:34.000Z,2.02,ato201708028-k.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180217000031,https://www.sec.gov/Archives/edgar/data/731802/000073180217000031/index.json,NOT_CLASSIFIED
