signal_date,ticker,guard_state,deterioration_flags,horizon_months,outcome_end,forward_return,forward_trough_return,fold_id
2020-02-29,TSLA,PASS,MARGIN_DIRECTION,12,2021-02-28,4.056213692487224,-0.45924338853713675,F02
2020-02-29,UNP,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,12,2021-02-28,0.3146744712880094,-0.2864025139162446,F02
2020-02-29,UNP,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,6,2020-08-31,0.21700787729886972,-0.2864025139162446,F02
2021-07-31,UNP,PASS,OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,6,2022-01-31,0.1286827648450315,-0.09964443733224437,F02
2020-02-29,TSLA,PASS,MARGIN_DIRECTION,6,2020-08-31,2.7299962458456264,-0.45924338853713675,F02
2020-02-29,GE,PASS,REVENUE_DIRECTION|LEVERAGE_DIRECTION,6,2020-08-31,-0.415826153739946,-0.4949032556245516,F02
2020-10-31,GE,PASS,REVENUE_DIRECTION,6,2021-04-30,0.7711262260094571,0.013476924114047772,F02
2021-07-31,GE,PASS,OPERATING_CASH_FLOW_DIRECTION,6,2022-01-31,-0.08652250774474601,-0.13641202956543586,F02
2020-02-29,CVX,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,6,2020-08-31,-0.07445976025760503,-0.41911297853757257,F02
2020-02-29,FCX,PASS,MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION,6,2020-08-31,0.5672688814259863,-0.4668675536931899,F02
2020-11-30,FCX,PASS,OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,6,2021-05-31,0.8304919657169756,0.010688386589578824,F02
2020-04-30,AAPL,VETO,MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,12,2021-04-30,0.8036626367585897,-0.016099484928776664,F02
2020-04-30,AAPL,VETO,MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,6,2020-10-31,0.488787996880651,-0.016099484928776664,F02
2020-04-30,SO,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,6,2020-10-31,0.03673118433722378,-0.09179854710540947,F02
2021-02-28,SO,PASS,REVENUE_DIRECTION|LEVERAGE_DIRECTION,6,2021-08-31,0.18247994576840454,0.01216513362185756,F02
2020-04-30,SO,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION|LEVERAGE_DIRECTION,12,2021-04-30,0.21897278819724875,-0.09179854710540947,F02
2020-05-31,CAT,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,12,2021-05-31,1.0542725892905382,0.003079891574675697,F02
2020-05-31,COP,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|OPERATING_CASH_FLOW_DIRECTION,12,2021-05-31,0.3743995824462054,-0.306128741111392,F02
2020-05-31,MCD,VETO,REVENUE_DIRECTION|MARGIN_DIRECTION|LEVERAGE_DIRECTION,6,2020-11-30,0.18082902758126074,-0.0353156174177186,F02
