policy_id,fold_id,ticker,signal_date,observed_session,action,ratio,business_gate,business_month_end,reason
HERD_GIVEBACK_S1,F04,AAPL,2020-06-05,2020-06-05,REENTRY_BLOCKED,0.0,VETO,2020-05-31,BUSINESS_SAFETY_VETO
HERD_GIVEBACK_S1,F04,AAPL,2020-06-12,2020-06-12,REENTRY_BLOCKED,0.0,VETO,2020-05-31,BUSINESS_SAFETY_VETO
HERD_GIVEBACK_S1,F04,AAPL,2020-06-19,2020-06-19,REENTRY_BLOCKED,0.0,VETO,2020-05-31,BUSINESS_SAFETY_VETO
HERD_GIVEBACK_S1,F04,AAPL,2020-06-26,2020-06-26,REENTRY_BLOCKED,0.0,VETO,2020-05-31,BUSINESS_SAFETY_VETO
HERD_GIVEBACK_S1,F04,AAPL,2020-07-02,2020-07-02,REENTRY_BLOCKED,0.0,VETO,2020-06-30,BUSINESS_SAFETY_VETO
HERD_GIVEBACK_S1,F04,AAPL,2020-07-10,2020-07-10,REENTRY_BLOCKED,0.0,VETO,2020-06-30,BUSINESS_SAFETY_VETO
GIVEBACK_BASELINE,F04,ABBV,2020-03-13,2020-03-13,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,ABBV,2020-05-08,2020-05-08,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F04,ABBV,2020-03-13,2020-03-13,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,CRM,2020-02-28,2020-02-28,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,CRM,2020-04-24,2020-04-24,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,CRM,2020-06-26,2020-06-26,BUY,1.0,PASS,2020-05-31,RECOVERING_WITH_PASS_SAFETY_GATE
GIVEBACK_BASELINE,F04,LLY,2020-02-28,2020-02-28,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,LLY,2020-06-12,2020-06-12,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,LLY,2020-04-24,2020-04-24,BUY,1.0,PASS,2020-03-31,RECOVERING_WITH_PASS_SAFETY_GATE
HERD_GIVEBACK_S1,F04,LLY,2020-03-20,2020-03-20,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,MSFT,2020-02-28,2020-02-28,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,MSFT,2020-06-26,2020-06-26,BUY,1.0,PASS,2020-05-31,RECOVERING_WITH_PASS_SAFETY_GATE
HERD_GIVEBACK_S1,F04,MSFT,2020-03-13,2020-03-13,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F04,MSFT,2020-06-26,2020-06-26,BUY,1.0,PASS,2020-05-31,RECOVERING_WITH_PASS_SAFETY_GATE
GIVEBACK_BASELINE,F04,NEE,2020-03-13,2020-03-13,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,NEE,2020-05-08,2020-05-08,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,NEE,2020-07-24,2020-07-24,BUY,1.0,PASS,2020-06-30,RECOVERING_WITH_PASS_SAFETY_GATE
HERD_GIVEBACK_S1,F04,NEE,2020-03-20,2020-03-20,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F04,NEE,2020-07-24,2020-07-24,BUY,1.0,PASS,2020-06-30,RECOVERING_WITH_PASS_SAFETY_GATE
GIVEBACK_BASELINE,F04,NEM,2020-03-13,2020-03-13,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,NEM,2020-05-29,2020-05-29,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F04,NEM,2020-03-20,2020-03-20,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,NFLX,2020-07-24,2020-07-24,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,NVDA,2020-03-13,2020-03-13,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F04,NVDA,2020-03-13,2020-03-13,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,TSLA,2020-02-28,2020-02-28,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F04,TSLA,2020-04-24,2020-04-24,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F04,TSLA,2020-03-20,2020-03-20,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,BA,2021-01-15,2021-01-15,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,BA,2021-04-23,2021-04-23,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F05,BA,2021-05-21,2021-05-21,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F05,BA,2021-07-23,2021-07-23,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,BAC,2021-01-29,2021-01-29,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,BAC,2021-07-16,2021-07-16,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F05,BAC,2021-07-16,2021-07-16,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,CAT,2021-06-18,2021-06-18,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F05,CAT,2021-06-18,2021-06-18,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,COP,2021-03-19,2021-03-19,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,COP,2021-07-16,2021-07-16,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F05,COP,2021-04-23,2021-04-23,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,CRM,2020-09-11,2020-09-11,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,CRM,2020-12-04,2020-12-04,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,CRM,2021-01-29,2021-01-29,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,CRM,2021-03-26,2021-03-26,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F05,CRM,2020-12-18,2020-12-18,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
HERD_GIVEBACK_S1,F05,CRM,2021-02-19,2021-02-19,BUY,1.0,PASS,2021-01-31,RECOVERING_WITH_PASS_SAFETY_GATE
GIVEBACK_BASELINE,F05,CVX,2021-07-16,2021-07-16,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
GIVEBACK_BASELINE,F05,DIS,2021-05-14,2021-05-14,SELL,0.05,,,LOCKED_GIVEBACK_EVENT
