queue_id,priority,event_id,cik,accession_number,filing_date,matched_items,prior_identity_status,primary_document_url,source_sha256,source_bytes,extracted_symbols,extraction_status,adjudication_status
IDENTITY-0000769397-20-000002,P1_TEN_YEAR_WINDOW,SEC8K-0000769397-20-000002,0000769397,0000769397-20-000002,2020-02-03,2.04,UNMAPPED,https://www.sec.gov/Archives/edgar/data/769397/000076939720000002/a8-kxfebruary2020item1.htm,d3512ed3c9ae37f7ad2266ce711a2d5ebaf2c2944b90f1b77954825f1a36012d,45436,ADSK|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-20-035710,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-20-035710,0000010456,0001193125-20-035710,2020-02-13,4.02,UNMAPPED,https://www.sec.gov/Archives/edgar/data/10456/000119312520035710/d835972d8k.htm,d34bcd846033a9d3a6c47a1d7bbe2c3fe1f2fe0b5f1bee9b6656df5d8a8f4b9c,58597,,NO_CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001467858-20-000050,P1_TEN_YEAR_WINDOW,SEC8K-0001467858-20-000050,0001467858,0001467858-20-000050,2020-02-18,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1467858/000146785820000050/a8-k.htm,6117316d31a182350ae1a39d25686fbfe8fe4da9650b87f55b6a0276fdc68f3f,44186,GM|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001104659-20-023531,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-20-023531,0001091667,0001104659-20-023531,2020-02-21,2.04,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1091667/000110465920023531/tm206421-3_8k.htm,8ae6a52a391897491c3b18277c4986976aece6d26b42652033c00576baab3442,67727,CHTR|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001324424-20-000012,P1_TEN_YEAR_WINDOW,SEC8K-0001324424-20-000012,0001324424,0001324424-20-000012,2020-02-25,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1324424/000132442420000012/form8-k22520.htm,2f093fce96bfd1a68c5b25d429a4d9f758349538f43dc1521aab1be88ba38ea0,48568,EXPE|EXPE22|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001051470-20-000068,P1_TEN_YEAR_WINDOW,SEC8K-0001051470-20-000068,0001051470,0001051470-20-000068,2020-02-26,4.02,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1051470/000105147020000068/q420198-kixbrl.htm,547cb9dd4b083375f4f19fb5ddaf9a98ec7cf87b2b3edf7a2341f4ed20d1887e,57415,CCI|CCI.PRA|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001104659-20-037363,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-20-037363,0001091667,0001104659-20-037363,2020-03-23,2.04,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1091667/000110465920037363/tm209733d3_8k.htm,61dbc222b4258f121db170762fb70bd6cb1ebacd7dff42145833535bc421a5bc,68360,CHTR|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-20-102713,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-20-102713,0001097864,0001193125-20-102713,2020-04-09,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1097864/000119312520102713/d916635d8k.htm,4cc123e763b13f6b9ef8eb27c0b236db6c53e7d56e58687ca9fdfd04e3539024,28092,ON,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0000950103-20-007337,P1_TEN_YEAR_WINDOW,SEC8K-0000950103-20-007337,0001701605,0000950103-20-007337,2020-04-13,2.05|2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1701605/000095010320007337/dp126012_8k.htm,661844c0690a314eda2f3aaec4bf9042e8ec42a92fc7d1aa1ef6673d42abde20,33066,BKR|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-20-111531,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-20-111531,0001666700,0001193125-20-111531,2020-04-20,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1666700/000119312520111531/d917730d8k.htm,7e2d1cddbd9c4df471b7fd89cf49346c6665d0d174de00408cda03a9e2267807,46576,DD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001564590-20-018916,P1_TEN_YEAR_WINDOW,SEC8K-0001564590-20-018916,0000075677,0001564590-20-018916,2020-04-28,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/75677/000156459020018916/pkg-8k_20200427.htm,b018851e43e569d7719a47cbb966e7f01888672fafb2397e785c569248e756f1,38205,PKG|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001157523-20-000608,P1_TEN_YEAR_WINDOW,SEC8K-0001157523-20-000608,0001116132,0001157523-20-000608,2020-04-30,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1116132/000115752320000608/a52212347.htm,bac8f8d12fa13d65e5923e26a9cecf430659d41b8b7b2c379738bf7ce94649b5,35491,TD|TPR,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001683168-20-001539,P1_TEN_YEAR_WINDOW,SEC8K-0001683168-20-001539,0000027904,0001683168-20-001539,2020-05-14,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/27904/000168316820001539/delta_i8k.htm,83e18e9cda95854e2a5f9f7cc6bfa6e58fdafd9349bfe8a452e99c52909dc1f5,28923,DAL|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001552781-20-000362,P1_TEN_YEAR_WINDOW,SEC8K-0001552781-20-000362,0001543151,0001552781-20-000362,2020-05-18,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1543151/000155278120000362/e20337_uber-8k.htm,b52ad7e2cab06fdaeb4009093729cae1f4818613ceaaed5b33f6b613878ef001,31280,TD|UBER,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-20-157932,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-20-157932,0001137789,0001193125-20-157932,2020-06-02,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1137789/000119312520157932/d894089d8k.htm,3f57091a53f2c268995efd187fd99d7b9ed312b1c06cf219273f98e0e2923b69,28829,STX,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001524472-20-000031,P1_TEN_YEAR_WINDOW,SEC8K-0001524472-20-000031,0001524472,0001524472-20-000031,2020-06-03,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1524472/000152447220000031/xyl06022020form8-k.htm,0833036cf63d3f2ab498d9f08b9432a51c44963f6f89dc3cb22a16f7d14850a5,59807,TD|XYL|XYL23,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0000079879-20-000032,P1_TEN_YEAR_WINDOW,SEC8K-0000079879-20-000032,0000079879,0000079879-20-000032,2020-06-08,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/79879/000007987920000032/form8-kjune2020restruc.htm,2e8ff6fba95e53f822e72b94fa4275da2091b97ba9b9ea565275f4e17445c00b,58790,PPG|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-20-170138,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-20-170138,0000087347,0001193125-20-170138,2020-06-16,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/87347/000119312520170138/d944136d8k.htm,38f3356ee0b33896786ea45a6a4ddc69c3be381d1749ecf0be27690bbc2f90a7,27119,SLB,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001140361-20-014081,P1_TEN_YEAR_WINDOW,SEC8K-0001140361-20-014081,0001283699,0001140361-20-014081,2020-06-17,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1283699/000114036120014081/nc10012662x1_8k.htm,830c73495dbca2b4346d79a445f57eb372fa38c2f73c113882b1e44c2971c55e,72819,TMUS,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001552781-20-000398,P1_TEN_YEAR_WINDOW,SEC8K-0001552781-20-000398,0000217346,0001552781-20-000398,2020-06-18,2.05|2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/217346/000155278120000398/e20404_txt-8k.htm,b4c41b354fc24ccd1437520d15503ccd333c325ddb5edfc0fe9ae4a6972a75c3,21331,TD|TXT,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-20-174218,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-20-174218,0001048911,0001193125-20-174218,2020-06-19,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1048911/000119312520174218/d949507d8k.htm,53105b36ff3160243f9e31142b7784d06fc7da017a4071db7b2a5c76541b09ba,45980,FDX,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0000874761-20-000044,P1_TEN_YEAR_WINDOW,SEC8K-0000874761-20-000044,0000874761,0000874761-20-000044,2020-06-23,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/874761/000087476120000044/a8-kjune2020.htm,6fe2c65717546b238968232aa7c0b7064a722534089a1f83e8793b59ed95e707,52526,AES|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-20-177094,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-20-177094,0001609711,0001193125-20-177094,2020-06-24,2.05|2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1609711/000119312520177094/d934654d8k.htm,f55c3594308b8fd39dafb17a38e305b4caf7389c5c79aa7e0e79462cb9e81e33,33981,GDDY,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001104659-20-077745,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-20-077745,0000895126,0001104659-20-077745,2020-06-29,2.04,UNMAPPED,https://www.sec.gov/Archives/edgar/data/895126/000110465920077745/tm2023599-1_8k.htm,eb053a373f371c6b3e9d075498af34ac07f175042e5b7150a9def15dd41dab48,68071,CHK|TD,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001104659-20-080869,P1_TEN_YEAR_WINDOW,SEC8K-0001104659-20-080869,0001326160,0001104659-20-080869,2020-07-06,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1326160/000110465920080869/tm2024036-1_8k.htm,2144538ce5058aa7ae5060a6d3de76566b6f7fba452a1202c3c22bda7c243e5b,36686,DUK|DUKB|DUKH,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
IDENTITY-0001193125-20-187846,P1_TEN_YEAR_WINDOW,SEC8K-0001193125-20-187846,0000715957,0001193125-20-187846,2020-07-06,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/715957/000119312520187846/d936820d8k.htm,235ccc0e8f851475aefba78fd64ff26bdc3884c7dca091e278ceeb66327f61df,32968,D|DCUE|DRUA,CANDIDATE_FOUND,PENDING_SOURCE_REVIEW
