ticker,asset_type,cik,cik_mapping_status,fold_id,as_of,available_fact_rows,available_accessions,available_concepts,status
HD,EQUITY,0000354950,UNIQUE_CURRENT_CIK,F02,2020-02-03,9903,33,355,PIT_FACTS_READY
HD,EQUITY,0000354950,UNIQUE_CURRENT_CIK,F03,2022-02-03,12541,41,378,PIT_FACTS_READY
HD,EQUITY,0000354950,UNIQUE_CURRENT_CIK,F04,2024-02-05,15105,49,385,PIT_FACTS_READY
HON,EQUITY,0000773840,UNIQUE_CURRENT_CIK,F01,2018-02-01,10670,24,425,PIT_FACTS_READY
HON,EQUITY,0000773840,UNIQUE_CURRENT_CIK,F02,2020-02-03,14161,32,480,PIT_FACTS_READY
HON,EQUITY,0000773840,UNIQUE_CURRENT_CIK,F03,2022-02-03,17632,40,508,PIT_FACTS_READY
HON,EQUITY,0000773840,UNIQUE_CURRENT_CIK,F04,2024-02-05,21107,48,529,PIT_FACTS_READY
IWM,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
IWM,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
IWM,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
IWM,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
JNJ,EQUITY,0000200406,UNIQUE_CURRENT_CIK,F01,2018-02-01,9585,24,380,PIT_FACTS_READY
JNJ,EQUITY,0000200406,UNIQUE_CURRENT_CIK,F02,2020-02-03,12949,32,445,PIT_FACTS_READY
JNJ,EQUITY,0000200406,UNIQUE_CURRENT_CIK,F03,2022-02-03,16321,40,459,PIT_FACTS_READY
JNJ,EQUITY,0000200406,UNIQUE_CURRENT_CIK,F04,2024-02-05,19679,48,521,PIT_FACTS_READY
JPM,EQUITY,0000019617,UNIQUE_CURRENT_CIK,F01,2018-02-01,16866,25,558,PIT_FACTS_READY
JPM,EQUITY,0000019617,UNIQUE_CURRENT_CIK,F02,2020-02-03,22517,33,628,PIT_FACTS_READY
JPM,EQUITY,0000019617,UNIQUE_CURRENT_CIK,F03,2022-02-03,28380,41,694,PIT_FACTS_READY
JPM,EQUITY,0000019617,UNIQUE_CURRENT_CIK,F04,2024-02-05,34520,49,743,PIT_FACTS_READY
KO,EQUITY,0000021344,UNIQUE_CURRENT_CIK,F01,2018-02-01,11596,26,481,PIT_FACTS_READY
KO,EQUITY,0000021344,UNIQUE_CURRENT_CIK,F02,2020-02-03,15976,35,560,PIT_FACTS_READY
KO,EQUITY,0000021344,UNIQUE_CURRENT_CIK,F03,2022-02-03,19427,43,598,PIT_FACTS_READY
KO,EQUITY,0000021344,UNIQUE_CURRENT_CIK,F04,2024-02-05,23950,51,651,PIT_FACTS_READY
LIN,EQUITY,0001707925,UNIQUE_CURRENT_CIK,F01,2018-02-01,57,1,32,PIT_FACTS_READY
LIN,EQUITY,0001707925,UNIQUE_CURRENT_CIK,F02,2020-02-03,2346,7,393,PIT_FACTS_READY
LIN,EQUITY,0001707925,UNIQUE_CURRENT_CIK,F03,2022-02-03,6215,15,432,PIT_FACTS_READY
LIN,EQUITY,0001707925,UNIQUE_CURRENT_CIK,F04,2024-02-05,9714,23,449,PIT_FACTS_READY
LLY,EQUITY,0000059478,UNIQUE_CURRENT_CIK,F01,2018-02-01,8669,24,405,PIT_FACTS_READY
LLY,EQUITY,0000059478,UNIQUE_CURRENT_CIK,F02,2020-02-03,12228,33,465,PIT_FACTS_READY
LLY,EQUITY,0000059478,UNIQUE_CURRENT_CIK,F03,2022-02-03,14994,41,486,PIT_FACTS_READY
LLY,EQUITY,0000059478,UNIQUE_CURRENT_CIK,F04,2024-02-05,17496,49,495,PIT_FACTS_READY
MA,EQUITY,0001141391,UNIQUE_CURRENT_CIK,F01,2018-02-01,9321,24,395,PIT_FACTS_READY
MA,EQUITY,0001141391,UNIQUE_CURRENT_CIK,F02,2020-02-03,12785,32,452,PIT_FACTS_READY
MA,EQUITY,0001141391,UNIQUE_CURRENT_CIK,F03,2022-02-03,16207,40,500,PIT_FACTS_READY
MA,EQUITY,0001141391,UNIQUE_CURRENT_CIK,F04,2024-02-05,19598,48,518,PIT_FACTS_READY
MCD,EQUITY,0000063908,UNIQUE_CURRENT_CIK,F01,2018-02-01,8068,24,260,PIT_FACTS_READY
MCD,EQUITY,0000063908,UNIQUE_CURRENT_CIK,F02,2020-02-03,11017,32,282,PIT_FACTS_READY
MCD,EQUITY,0000063908,UNIQUE_CURRENT_CIK,F03,2022-02-03,13907,40,311,PIT_FACTS_READY
MCD,EQUITY,0000063908,UNIQUE_CURRENT_CIK,F04,2024-02-05,16827,48,346,PIT_FACTS_READY
META,EQUITY,0001326801,UNIQUE_CURRENT_CIK,F01,2018-02-01,6168,22,283,PIT_FACTS_READY
META,EQUITY,0001326801,UNIQUE_CURRENT_CIK,F02,2020-02-03,9003,31,354,PIT_FACTS_READY
META,EQUITY,0001326801,UNIQUE_CURRENT_CIK,F03,2022-02-03,11182,38,369,PIT_FACTS_READY
META,EQUITY,0001326801,UNIQUE_CURRENT_CIK,F04,2024-02-05,14571,47,414,PIT_FACTS_READY
MRK,EQUITY,0000310158,UNIQUE_CURRENT_CIK,F01,2018-02-01,10477,24,507,PIT_FACTS_READY
MRK,EQUITY,0000310158,UNIQUE_CURRENT_CIK,F02,2020-02-03,14062,32,572,PIT_FACTS_READY
MRK,EQUITY,0000310158,UNIQUE_CURRENT_CIK,F03,2022-02-03,17759,40,638,PIT_FACTS_READY
MRK,EQUITY,0000310158,UNIQUE_CURRENT_CIK,F04,2024-02-05,21552,48,661,PIT_FACTS_READY
MSFT,EQUITY,0000789019,UNIQUE_CURRENT_CIK,F01,2018-02-01,12662,27,422,PIT_FACTS_READY
MSFT,EQUITY,0000789019,UNIQUE_CURRENT_CIK,F02,2020-02-03,16477,35,467,PIT_FACTS_READY
MSFT,EQUITY,0000789019,UNIQUE_CURRENT_CIK,F03,2022-02-03,20209,43,476,PIT_FACTS_READY
MSFT,EQUITY,0000789019,UNIQUE_CURRENT_CIK,F04,2024-02-05,23900,51,482,PIT_FACTS_READY
NEE,EQUITY,0000753308,UNIQUE_CURRENT_CIK,F01,2018-02-01,9699,24,326,PIT_FACTS_READY
NEE,EQUITY,0000753308,UNIQUE_CURRENT_CIK,F02,2020-02-03,13140,32,377,PIT_FACTS_READY
NEE,EQUITY,0000753308,UNIQUE_CURRENT_CIK,F03,2022-02-03,16557,40,403,PIT_FACTS_READY
NEE,EQUITY,0000753308,UNIQUE_CURRENT_CIK,F04,2024-02-05,19750,48,411,PIT_FACTS_READY
NEM,EQUITY,0001164727,UNIQUE_CURRENT_CIK,F01,2018-02-01,13671,25,552,PIT_FACTS_READY
NEM,EQUITY,0001164727,UNIQUE_CURRENT_CIK,F02,2020-02-03,18697,34,650,PIT_FACTS_READY
NEM,EQUITY,0001164727,UNIQUE_CURRENT_CIK,F03,2022-02-03,23166,42,705,PIT_FACTS_READY
NEM,EQUITY,0001164727,UNIQUE_CURRENT_CIK,F04,2024-02-05,27954,52,727,PIT_FACTS_READY
