ticker,episode_id,signal_date,last_observed_session,sector_etf,damage_date,damage_wait_sessions,damage_triggered,damage_execution_date,damage_execution_price,scheduled_execution_date,scheduled_execution_price,uplift_vs_buy_hold_base,uplift_vs_scheduled_base,triggered_trough_improvement_base,outcome_end,uplift_vs_buy_hold_stress,uplift_vs_scheduled_stress,triggered_trough_improvement_stress,fold_id
EME,EME-V61-001,2016-08-08,2016-08-08,XLI,2016-09-14,26.0,True,2016-09-15,52.97854480978728,2016-09-08,56.10511370102625,-0.012490419120827045,-0.00287484345412925,5.97099597924311e-05,2017-02-07,-0.01256359861668832,-0.0028705247108329335,-1.3469536068733134e-05,F01
EME,EME-V61-002,2017-11-15,2017-11-15,XLI,2018-01-30,50.0,True,2018-01-31,79.40258161954046,2017-12-18,79.035930747057,0.0033989484446103058,0.00024603791509814066,0.005315262616533478,2018-05-18,0.003318904749665008,0.0002456683038085661,0.005235218921588181,F01
EME,EME-V61-003,2020-12-24,2020-12-24,XLI,2021-01-27,21.0,True,2021-01-28,88.47049955347507,2021-01-28,88.47049955347507,-0.01774714711499814,0.0,0.0009038429618785093,2021-06-28,-0.017820519164337023,0.0,0.000830470912539516,F02
EME,EME-V61-004,2021-03-29,2021-03-29,XLI,,,False,,,2021-04-29,119.41422081856994,0.0,-0.00027199626297114143,,2021-09-27,0.0,-0.00018926588411605216,,F02
EME,EME-V61-005,2021-11-24,2021-11-24,XLI,2021-12-20,17.0,True,2021-12-21,117.50829180568066,2021-12-28,125.66530382598461,0.005031205463145061,-0.0032139550957411833,0.006885610622510918,2022-05-26,0.004961651736323569,-0.0032091269208353035,0.006816056895689426,F02
EME,EME-V61-006,2022-11-22,2022-11-22,XLI,2023-01-04,28.0,True,2023-01-05,143.02185321968614,2022-12-23,147.3867670134347,-0.007609039878107904,-0.001422382176915482,0.0006083261678472285,2023-05-25,-0.007679054092786908,-0.0014202453984824004,0.0005383119531681135,F03
EME,EME-V61-007,2023-05-25,2023-05-25,XLI,,,False,,,2023-06-28,178.9476044998386,0.0,0.01097257866265866,,2023-11-24,0.0,0.011053368902967264,,F03
EME,EME-V61-008,2023-11-24,2023-11-24,XLI,2024-01-03,26.0,True,2024-01-04,209.35171420120642,2023-12-27,215.68154587949667,-0.042475010329558804,-0.001468923383657561,-3.603129733276145e-05,2024-05-28,-0.042547994166916014,-0.0014667166885393712,-0.00010901513468986046,F03
EME,EME-V61-009,2025-07-02,2025-07-02,XLI,,,False,,,2025-08-04,630.1498583142612,0.0,-0.0017021265092256321,,2025-12-31,0.0,-0.001614684140443634,,F04
EMR,EMR-V61-001,2016-07-19,2016-07-19,XLI,2016-09-06,34.0,True,2016-09-07,41.308201759445645,2016-08-18,43.021509174521086,-0.0047353425818681405,-0.0019488096027768798,0.0027496171995612384,2017-01-18,-0.0048059277731344885,-0.001945881996964216,0.0026790320082950014,F01
EMR,EMR-V61-002,2016-12-14,2016-12-14,XLI,2017-03-14,60.0,True,2017-03-15,47.33636122302111,2017-01-18,44.776246756444245,-0.0018423074654418947,0.0028626148356178938,0.0034094012080470026,2017-06-16,-0.0019218210979417005,0.002858314462805378,0.003329887575547086,F01
EMR,EMR-V61-003,2017-10-10,2017-10-10,XLI,2017-11-07,20.0,True,2017-11-08,51.21960864943574,2017-11-09,50.4640014351633,-0.004955097886605531,0.0007320957642855674,0.0027129549604240077,2018-04-12,-0.005029648503941386,0.0007309959709491665,0.002638404343088263,F01
EMR,EMR-V61-004,2017-12-08,2017-12-08,XLI,2018-02-05,38.0,True,2018-02-06,54.63805355800581,2018-01-11,59.70045790117091,-0.0057188070490712395,-0.0046361498384897,0.00015024447469058622,2018-06-12,-0.005793976095859188,-0.00462918516672417,7.507542790263777e-05,F01
EMR,EMR-V61-005,2018-06-12,2018-06-12,XLI,2018-06-19,5.0,True,2018-06-20,58.94791590865151,2018-07-13,58.30023252054974,0.005280040285549625,0.0005319112439142737,0.005280040285549625,2018-12-11,0.005207314560841003,0.0005311121784501438,0.005207314560841003,F01
EMR,EMR-V61-006,2018-08-10,2018-08-10,XLI,2018-10-10,42.0,True,2018-10-11,61.10286856822005,2018-09-12,63.694088156213745,0.003013280152247888,-0.0021093161085478096,0.011648677588536271,2019-02-12,0.0029385592270864125,-0.00210614738129411,0.011573956663374796,F01
EMR,EMR-V61-007,2019-11-19,2019-11-19,XLI,2020-01-27,45.0,True,2020-01-28,64.31773016834897,2019-12-20,66.74740433926998,0.0114850558041939,-0.00190759176539812,0.024341306864664625,2020-05-21,0.011409196072667549,-0.0019047260792206533,0.024265447133138163,F02
EMR,EMR-V61-008,2020-12-10,2020-12-10,XLI,,,False,,,2021-01-13,75.27856207053193,0.0,0.008874566367764958,,2021-06-14,0.0,0.008952165922544664,,F02
EMR,EMR-V61-009,2023-08-31,2023-08-31,XLI,2023-10-19,34.0,True,2023-10-20,88.39347743419476,2023-10-03,90.65874335846472,-0.009150572887468122,-0.001209372235800421,0.0040614224703328095,2024-03-04,-0.009221466027276914,-0.0012075554522716914,0.0039905293305241285,F03
EMR,EMR-V61-010,2024-03-08,2024-03-08,XLI,2024-04-30,36.0,True,2024-05-01,103.4698102768784,2024-04-10,108.39649362868215,0.0030981206453130072,-0.0023206208116423044,0.003735179454626314,2024-09-09,0.0030249045817989373,-0.002317134651184105,0.003661963391112244,F04
EMR,EMR-V61-011,2024-12-05,2024-12-05,XLI,2025-01-02,18.0,True,2025-01-03,119.61156822657162,2025-01-08,117.55316866945284,-0.0021078839526387227,0.0007911508227022024,0.010468517878493566,2025-06-10,-0.0021769470383533607,0.0007899623137046508,0.010399454792778928,F04
EMR,EMR-V61-012,2025-02-07,2025-02-07,XLI,2025-02-21,9.0,True,2025-02-24,119.54951651838576,2025-03-12,110.17404073408228,-0.004317875851447495,0.0038578772215103196,0.011182016467379596,2025-08-11,-0.004391776134092584,0.003852081712414579,0.011108116184734285,F04
EMR,EMR-V61-013,2025-07-09,2025-07-09,XLI,2025-08-06,20.0,True,2025-08-07,133.57714779783285,2025-08-08,131.07780410828508,-0.002783851037335028,0.0009070777712554268,0.0038624252752149646,2026-01-07,-0.0028566782853514106,0.0009057151106075523,0.003789598027198693,F04
EQIX,EQIX-V61-001,2016-05-12,2016-05-12,XLRE,2016-08-03,57.0,True,2016-08-04,307.35421974495995,2016-06-14,304.1724426539056,0.0032951315444367246,0.0005594524192260586,0.004642961343584107,2016-11-09,0.0032139465480829355,0.0005586119799383393,0.0045617763472303174,F01
EQIX,EQIX-V61-002,2017-05-03,2017-05-03,XLRE,2017-06-29,40.0,True,2017-06-30,356.7290625337305,2017-06-05,372.27422255186883,-0.005000690468185187,-0.0021904707441167126,0.0005951767113661077,2017-10-31,-0.005076203853876304,-0.002187180102037445,0.0005196633256748795,F01
EQIX,EQIX-V61-003,2020-07-07,2020-07-07,XLRE,2020-09-04,43.0,True,2020-09-08,666.0251143591692,2020-08-06,703.0669261679066,0.003374675404615335,-0.0028732967292358635,0.004292198341190212,2021-01-05,0.003297064623728918,-0.0028689803095123256,0.004214587560303795,F02
EQR,EQR-V61-001,2018-12-13,2018-12-13,XLRE,,,False,,,2019-01-16,51.48778769253765,0.0,0.007951525019578964,,2019-06-17,0.0,0.008025316377240799,,F01
EQR,EQR-V61-002,2019-02-14,2019-02-14,XLRE,,,False,,,2019-03-19,55.69240934436165,0.0,0.005874260742434911,,2019-08-15,0.0,0.005950071040474736,,F02
EQR,EQR-V61-003,2020-02-20,2020-02-20,XLRE,2020-03-20,21.0,True,2020-03-23,43.30970587211326,2020-03-23,43.30970587211326,0.0003067094689512828,0.0,0.0022311481463003213,2020-08-19,0.00025823237975075575,0.0,0.0021826710570999053,F02
EQR,EQR-V61-004,2021-04-09,2021-04-09,XLRE,,,False,,,2021-05-11,60.48771046764148,0.0,0.007560123329290791,,2021-10-07,0.0,0.00763771784186118,,F02
EQR,EQR-V61-005,2022-04-07,2022-04-07,XLRE,2022-04-28,14.0,True,2022-04-29,71.97039741071107,2022-05-10,62.03188124592511,0.011979580790497102,0.006448953982783112,0.011979580790497102,2022-10-07,0.011909424790367162,0.0064392660198645535,0.011909424790367162,F03
EQR,EQR-V61-006,2024-07-02,2024-07-02,XLRE,,,False,,,2024-08-02,64.9850014745648,0.0,0.0014272815676212858,,2024-12-31,0.0,0.0015048658881893218,,F04
EQT,EQT-V61-001,2021-02-11,2021-02-11,XLE,2021-04-12,40.0,True,2021-04-13,15.710907141634767,2021-03-16,17.270787506313,-0.005779045579342279,-0.004953932042607745,-1.5533215181773308e-05,2021-08-12,-0.005854001027469025,-0.004946489981452196,-9.04886633085189e-05,F02
EQT,EQT-V61-002,2021-05-13,2021-05-13,XLE,2021-06-18,25.0,True,2021-06-21,18.111443388856593,2021-06-15,21.03505796833533,-0.0006928590991884809,-0.00775896020453315,0.007872188558201598,2021-11-10,-0.0007650661584395202,-0.007747304280339873,0.007799981498950559,F02
