hypothesis_id,fold_id,ticker,event_date,control_date,event_target_hit,control_target_hit,pair_difference,trailing_return_gap
WRSI_EXTREME_ENTRY_PULLBACK,F04,MA,2020-01-17,2020-01-10,True,True,0,0.061389261702563536
WRSI_EXTREME_ENTRY_PULLBACK,F04,MSFT,2019-12-13,2019-11-15,False,False,0,0.00032696186201519595
WRSI_EXTREME_ENTRY_PULLBACK,F04,MSFT,2020-07-10,2020-07-03,True,False,1,0.024138297829516375
WRSI_EXTREME_ENTRY_PULLBACK,F04,NEE,2019-08-09,2019-08-02,False,False,0,0.006091436429435548
WRSI_EXTREME_ENTRY_PULLBACK,F04,NEM,2020-02-21,2020-01-31,True,True,0,0.037477660257430934
WRSI_EXTREME_ENTRY_PULLBACK,F04,NFLX,2020-07-10,2020-05-15,True,True,0,0.12814849279778406
WRSI_EXTREME_ENTRY_PULLBACK,F04,NVDA,2020-01-17,2020-01-03,True,True,0,0.0066256596202154405
WRSI_EXTREME_ENTRY_PULLBACK,F04,NVDA,2020-07-10,2019-12-20,False,True,-1,0.13745005218990602
WRSI_EXTREME_ENTRY_PULLBACK,F04,PLD,2019-10-18,2019-09-27,False,False,0,0.026143486240030267
WRSI_EXTREME_ENTRY_PULLBACK,F04,SHW,2019-11-01,2019-10-25,False,False,0,0.01248988064886003
WRSI_EXTREME_ENTRY_PULLBACK,F04,SO,2019-08-30,2019-08-16,False,False,0,0.018430933315599418
WRSI_EXTREME_ENTRY_PULLBACK,F04,SO,2020-01-24,2019-08-09,True,False,1,0.055864635570952004
WRSI_EXTREME_ENTRY_PULLBACK,F04,TMUS,2020-02-21,2020-02-14,True,True,0,0.04793315660164832
WRSI_EXTREME_ENTRY_PULLBACK,F04,TSLA,2019-12-27,2019-12-20,False,False,0,0.09784739383469554
WRSI_EXTREME_ENTRY_PULLBACK,F04,V,2020-01-17,2020-01-10,True,True,0,0.06772460189026153
WRSI_EXTREME_ENTRY_PULLBACK,F04,V,2020-02-14,2019-09-06,True,True,0,0.08072912716998171
WRSI_EXTREME_ENTRY_PULLBACK,F05,AMT,2021-07-23,2021-07-16,True,True,0,0.01072019203829
WRSI_EXTREME_ENTRY_PULLBACK,F05,AVGO,2021-01-08,2021-01-01,False,False,0,0.007263557799459752
WRSI_EXTREME_ENTRY_PULLBACK,F05,BAC,2021-04-02,2021-03-26,False,False,0,0.01568826776197474
WRSI_EXTREME_ENTRY_PULLBACK,F05,CAT,2021-02-26,2021-02-19,False,False,0,0.013486400186462522
WRSI_EXTREME_ENTRY_PULLBACK,F05,COST,2021-07-30,2020-10-09,False,False,0,0.010334865237871416
WRSI_EXTREME_ENTRY_PULLBACK,F05,GOOGL,2021-04-30,2021-04-16,False,False,0,0.00016077049764984253
WRSI_EXTREME_ENTRY_PULLBACK,F05,GOOGL,2021-07-02,2021-04-23,False,False,0,0.020932767224222326
WRSI_EXTREME_ENTRY_PULLBACK,F05,GS,2021-01-08,2020-12-25,True,False,1,0.05784680584622004
WRSI_EXTREME_ENTRY_PULLBACK,F05,JPM,2021-03-12,2021-02-19,False,False,0,0.024403865426594784
WRSI_EXTREME_ENTRY_PULLBACK,F05,LLY,2021-01-29,2021-01-22,True,True,0,0.09262249554317226
WRSI_EXTREME_ENTRY_PULLBACK,F05,MSFT,2021-07-23,2021-07-09,False,False,0,0.01653538086117967
