event_id,cik,accession_number,form,filing_date,matched_items,blocker,evidence_route,same_cik_anchor_count,earliest_same_cik_anchor_date,latest_same_cik_anchor_date,filing_index_url,primary_document_url
SEC8K-0001193125-04-209343,0001097864,0001193125-04-209343,8-K,2004-12-08,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,6,2020-04-09,2025-11-17,https://www.sec.gov/Archives/edgar/data/1097864/000119312504209343/0001193125-04-209343-index.html,https://www.sec.gov/Archives/edgar/data/1097864/000119312504209343/d8k.htm
SEC8K-0000831259-04-000041,0000831259,0000831259-04-000041,8-K,2004-12-08,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/831259/000083125904000041/0000831259-04-000041-index.html,https://www.sec.gov/Archives/edgar/data/831259/000083125904000041/fcxitem205form8k12804.htm
SEC8K-0000021076-04-000117,0000021076,0000021076-04-000117,8-K,2004-12-16,2.04,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/21076/000002107604000117/0000021076-04-000117-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107604000117/f8k1216.htm
SEC8K-0000940944-04-000189,0000940944,0000940944-04-000189,8-K,2004-12-17,4.02,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/940944/000094094404000189/0000940944-04-000189-index.html,https://www.sec.gov/Archives/edgar/data/940944/000094094404000189/form8k121604.txt
SEC8K-0001193125-05-002412,0001101239,0001193125-05-002412,8-K,2005-01-06,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1101239/000119312505002412/0001193125-05-002412-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312505002412/d8k.htm
SEC8K-0000950124-05-000156,0000789570,0000950124-05-000156,8-K,2005-01-11,2.04,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/789570/000095012405000156/0000950124-05-000156-index.html,https://www.sec.gov/Archives/edgar/data/789570/000095012405000156/p70083e8vk.htm
SEC8K-0000016918-05-000004,0000016918,0000016918-05-000004,8-K,2005-01-14,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,1,2024-09-03,2024-09-03,https://www.sec.gov/Archives/edgar/data/16918/000001691805000004/0000016918-05-000004-index.html,https://www.sec.gov/Archives/edgar/data/16918/000001691805000004/body8k.htm
SEC8K-0000950144-05-000384,0000027904,0000950144-05-000384,8-K/A,2005-01-20,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,2,2020-05-14,2020-09-25,https://www.sec.gov/Archives/edgar/data/27904/000095014405000384/0000950144-05-000384-index.html,https://www.sec.gov/Archives/edgar/data/27904/000095014405000384/g92820e8vkza.txt
SEC8K-0001091667-05-000015,0001091667,0001091667-05-000015,8-K,2005-02-11,2.04,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,6,2019-10-07,2020-10-16,https://www.sec.gov/Archives/edgar/data/1091667/000109166705000015/0001091667-05-000015-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166705000015/body8k.htm
SEC8K-0001193125-05-038774,0001053507,0001193125-05-038774,8-K,2005-02-28,4.02,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1053507/000119312505038774/0001193125-05-038774-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312505038774/d8k.htm
SEC8K-0001193125-05-059721,0000076334,0001193125-05-059721,8-K,2005-03-24,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/76334/000119312505059721/0001193125-05-059721-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312505059721/d8k.htm
SEC8K-0000893750-05-000182,0000086312,0000893750-05-000182,8-K,2005-03-30,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/86312/000089375005000182/0000893750-05-000182-index.html,https://www.sec.gov/Archives/edgar/data/86312/000089375005000182/form_8k.txt
SEC8K-0000950134-05-006957,0001069202,0000950134-05-006957,8-K,2005-04-06,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1069202/000095013405006957/0000950134-05-006957-index.html,https://www.sec.gov/Archives/edgar/data/1069202/000095013405006957/d24136e8vk.htm
SEC8K-0000016918-05-000024,0000016918,0000016918-05-000024,8-K/A,2005-04-13,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,1,2024-09-03,2024-09-03,https://www.sec.gov/Archives/edgar/data/16918/000001691805000024/0000016918-05-000024-index.html,https://www.sec.gov/Archives/edgar/data/16918/000001691805000024/form8k-a041305.htm
SEC8K-0000950153-05-000910,0000789570,0000950153-05-000910,8-K,2005-04-28,2.04,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/789570/000095015305000910/0000950153-05-000910-index.html,https://www.sec.gov/Archives/edgar/data/789570/000095015305000910/p70520e8vk.htm
SEC8K-0000950134-05-008390,0000860731,0000950134-05-008390,8-K,2005-04-28,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/860731/000095013405008390/0000950134-05-008390-index.html,https://www.sec.gov/Archives/edgar/data/860731/000095013405008390/d24791e8vk.htm
SEC8K-0000060086-05-000031,0000060086,0000060086-05-000031,8-K,2005-05-03,4.02,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/60086/000006008605000031/0000060086-05-000031-index.html,https://www.sec.gov/Archives/edgar/data/60086/000006008605000031/k_bodynpg.htm
SEC8K-0000047217-05-000103,0000047217,0000047217-05-000103,8-K,2005-05-17,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,4,2019-10-04,2025-11-25,https://www.sec.gov/Archives/edgar/data/47217/000004721705000103/0000047217-05-000103-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721705000103/form8-k_q205.htm
SEC8K-0000897101-05-001255,0000040704,0000897101-05-001255,8-K,2005-05-20,2.05|2.06,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,4,2021-05-06,2025-10-01,https://www.sec.gov/Archives/edgar/data/40704/000089710105001255/0000897101-05-001255-index.html,https://www.sec.gov/Archives/edgar/data/40704/000089710105001255/gis052344_8k.htm
SEC8K-0001299933-05-002702,0000882184,0001299933-05-002702,8-K,2005-06-03,2.04,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/882184/000129993305002702/0001299933-05-002702-index.html,https://www.sec.gov/Archives/edgar/data/882184/000129993305002702/htm_5105.htm
SEC8K-0000950129-05-006224,0000823768,0000950129-05-006224,8-K,2005-06-15,2.06,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,1,2020-07-15,2020-07-15,https://www.sec.gov/Archives/edgar/data/823768/000095012905006224/0000950129-05-006224-index.html,https://www.sec.gov/Archives/edgar/data/823768/000095012905006224/h26270e8vk.htm
SEC8K-0001193125-05-134270,0001164727,0001193125-05-134270,8-K,2005-06-29,2.06,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1164727/000119312505134270/0001193125-05-134270-index.html,https://www.sec.gov/Archives/edgar/data/1164727/000119312505134270/d8k.htm
SEC8K-0001193125-05-134729,0001097864,0001193125-05-134729,8-K,2005-06-29,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,6,2020-04-09,2025-11-17,https://www.sec.gov/Archives/edgar/data/1097864/000119312505134729/0001193125-05-134729-index.html,https://www.sec.gov/Archives/edgar/data/1097864/000119312505134729/d8k.htm
SEC8K-0001193125-05-140236,0000076334,0001193125-05-140236,8-K,2005-07-11,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/76334/000119312505140236/0001193125-05-140236-index.html,https://www.sec.gov/Archives/edgar/data/76334/000119312505140236/d8k.htm
SEC8K-0001104659-05-032855,0000047217,0001104659-05-032855,8-K,2005-07-19,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,4,2019-10-04,2025-11-25,https://www.sec.gov/Archives/edgar/data/47217/000110465905032855/0001104659-05-032855-index.html,https://www.sec.gov/Archives/edgar/data/47217/000110465905032855/a05-12386_18k.htm
SEC8K-0000047111-05-000199,0000047111,0000047111-05-000199,8-K,2005-07-21,2.05|2.06,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,1,2024-02-08,2024-02-08,https://www.sec.gov/Archives/edgar/data/47111/000004711105000199/0000047111-05-000199-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711105000199/form8k_july212005.htm
SEC8K-0001193125-05-146056,0000896159,0001193125-05-146056,8-K,2005-07-21,4.02,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/896159/000119312505146056/0001193125-05-146056-index.html,https://www.sec.gov/Archives/edgar/data/896159/000119312505146056/d8k.htm
SEC8K-0000055785-05-000141,0000055785,0000055785-05-000141,8-K,2005-07-22,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,1,2024-03-27,2024-03-27,https://www.sec.gov/Archives/edgar/data/55785/000005578505000141/0000055785-05-000141-index.html,https://www.sec.gov/Archives/edgar/data/55785/000005578505000141/kc_8k-2q05.htm
SEC8K-0000950124-05-004526,0000936340,0000950124-05-004526,8-K,2005-07-29,2.06,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/936340/000095012405004526/0000950124-05-004526-index.html,https://www.sec.gov/Archives/edgar/data/936340/000095012405004526/k97106e8vk.htm
SEC8K-0001193125-05-168663,0001090872,0001193125-05-168663,8-K,2005-08-15,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1090872/000119312505168663/0001193125-05-168663-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000119312505168663/d8k.htm
SEC8K-0001193125-05-174742,0001090872,0001193125-05-174742,8-K,2005-08-25,2.04,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1090872/000119312505174742/0001193125-05-174742-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000119312505174742/d8k.htm
SEC8K-0000950134-05-017306,0001069202,0000950134-05-017306,8-K,2005-09-07,2.04,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1069202/000095013405017306/0000950134-05-017306-index.html,https://www.sec.gov/Archives/edgar/data/1069202/000095013405017306/d28655e8vk.htm
SEC8K-0000950123-05-011496,0000872589,0000950123-05-011496,8-K,2005-09-26,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/872589/000095012305011496/0000950123-05-011496-index.html,https://www.sec.gov/Archives/edgar/data/872589/000095012305011496/y13089e8vk.htm
SEC8K-0000950137-05-012037,0000068505,0000950137-05-012037,8-K,2005-10-04,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/68505/000095013705012037/0000950137-05-012037-index.html,https://www.sec.gov/Archives/edgar/data/68505/000095013705012037/c98887e8vk.htm
SEC8K-0000950129-05-009711,0000823768,0000950129-05-009711,8-K,2005-10-06,2.06,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,1,2020-07-15,2020-07-15,https://www.sec.gov/Archives/edgar/data/823768/000095012905009711/0000950129-05-009711-index.html,https://www.sec.gov/Archives/edgar/data/823768/000095012905009711/h29244e8vk.htm
SEC8K-0001157523-05-009028,0000006281,0001157523-05-009028,8-K,2005-10-20,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/6281/000115752305009028/0001157523-05-009028-index.html,https://www.sec.gov/Archives/edgar/data/6281/000115752305009028/a5000605.txt
SEC8K-0001193125-05-207825,0001039684,0001193125-05-207825,8-K,2005-10-25,2.06,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1039684/000119312505207825/0001193125-05-207825-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000119312505207825/d8k.htm
SEC8K-0001193125-05-209954,0000002488,0001193125-05-209954,8-K,2005-10-27,2.04,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/2488/000119312505209954/0001193125-05-209954-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312505209954/d8k.htm
SEC8K-0001104659-05-059604,0000796343,0001104659-05-059604,8-K,2005-12-07,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/796343/000110465905059604/0001104659-05-059604-index.html,https://www.sec.gov/Archives/edgar/data/796343/000110465905059604/a05-21249_18k.htm
SEC8K-0001193125-05-247654,0001101239,0001193125-05-247654,8-K,2005-12-22,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1101239/000119312505247654/0001193125-05-247654-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312505247654/d8k.htm
SEC8K-0001104659-05-062656,0000033213,0001104659-05-062656,8-K,2005-12-27,2.06,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,2,2019-09-12,2024-10-01,https://www.sec.gov/Archives/edgar/data/33213/000110465905062656/0001104659-05-062656-index.html,https://www.sec.gov/Archives/edgar/data/33213/000110465905062656/a05-22330_18k.htm
SEC8K-0001193125-06-002690,0001280452,0001193125-06-002690,8-K,2006-01-06,4.02,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,1,2026-02-27,2026-02-27,https://www.sec.gov/Archives/edgar/data/1280452/000119312506002690/0001193125-06-002690-index.html,https://www.sec.gov/Archives/edgar/data/1280452/000119312506002690/d8k.htm
SEC8K-0001193125-06-004871,0000943819,0001193125-06-004871,8-K,2006-01-11,2.04,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/943819/000119312506004871/0001193125-06-004871-index.html,https://www.sec.gov/Archives/edgar/data/943819/000119312506004871/d8k.htm
SEC8K-0001193125-06-005587,0000002488,0001193125-06-005587,8-K,2006-01-12,2.04,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/2488/000119312506005587/0001193125-06-005587-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312506005587/d8k.htm
SEC8K-0000004904-06-000012,0000004904,0000004904-06-000012,8-K,2006-01-17,2.06,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,2,2023-12-20,2024-01-11,https://www.sec.gov/Archives/edgar/data/4904/000000490406000012/0000004904-06-000012-index.html,https://www.sec.gov/Archives/edgar/data/4904/000000490406000012/tcc8ktrueup.htm
SEC8K-0001104659-06-002458,0001090872,0001104659-06-002458,8-K,2006-01-17,4.02,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1090872/000110465906002458/0001104659-06-002458-index.html,https://www.sec.gov/Archives/edgar/data/1090872/000110465906002458/a06-2461_18k.htm
SEC8K-0000055785-06-000040,0000055785,0000055785-06-000040,8-K,2006-01-24,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,1,2024-03-27,2024-03-27,https://www.sec.gov/Archives/edgar/data/55785/000005578506000040/0000055785-06-000040-index.html,https://www.sec.gov/Archives/edgar/data/55785/000005578506000040/kc_8k-4q05shell.htm
SEC8K-0000950134-06-002645,0001069202,0000950134-06-002645,8-K,2006-02-13,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1069202/000095013406002645/0000950134-06-002645-index.html,https://www.sec.gov/Archives/edgar/data/1069202/000095013406002645/d32849e8vk.htm
SEC8K-0001299933-06-000984,0000882184,0001299933-06-000984,8-K,2006-02-14,2.04,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/882184/000129993306000984/0001299933-06-000984-index.html,https://www.sec.gov/Archives/edgar/data/882184/000129993306000984/htm_10217.htm
SEC8K-0001193125-06-032719,0001341439,0001193125-06-032719,8-K,2006-02-15,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1341439/000119312506032719/0001193125-06-032719-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312506032719/d8k.htm
SEC8K-0000060086-06-000018,0000060086,0000060086-06-000018,8-K,2006-02-16,4.02,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/60086/000006008606000018/0000060086-06-000018-index.html,https://www.sec.gov/Archives/edgar/data/60086/000006008606000018/k_bodynopgs.htm
SEC8K-0000950134-06-003425,0001069202,0000950134-06-003425,8-K,2006-02-21,4.02,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/1069202/000095013406003425/0000950134-06-003425-index.html,https://www.sec.gov/Archives/edgar/data/1069202/000095013406003425/d33261e8vk.htm
SEC8K-0000016918-06-000011,0000016918,0000016918-06-000011,8-K,2006-02-23,2.05,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_SAME_CIK_ANCHOR_REVIEW,1,2024-09-03,2024-09-03,https://www.sec.gov/Archives/edgar/data/16918/000001691806000011/0000016918-06-000011-index.html,https://www.sec.gov/Archives/edgar/data/16918/000001691806000011/form8k021606-2.htm
SEC8K-0000060086-06-000022,0000060086,0000060086-06-000022,8-K,2006-03-08,4.02,FORM_8K_COVER_PREDATES_REQUIRED_TRADING_SYMBOL_FIELD,PRE_SYMBOL_FIELD_HISTORICAL_MASTER_REQUIRED,0,,,https://www.sec.gov/Archives/edgar/data/60086/000006008606000022/0000060086-06-000022-index.html,https://www.sec.gov/Archives/edgar/data/60086/000006008606000022/body_8k.htm
