atomic_fact_id,ticker,cik,accession_number,accepted_at,source_url,source_sha256,source_path,source_kind,block_path,sentence_index,sentence_sha256,topic,topic_matches,cue_families,cue_matches,negated_cue_present,comparison_present
f553a5f7c73d526432a695e2de752f603b8ad112984a771649acb844d1b2635a,GS,0000886982,0001193125-22-195706,2022-07-18T11:31:44.000Z,https://www.sec.gov/Archives/edgar/data/886982/000119312522195706/d322190dex991.htm,cc278cebff93183f81434056bc416c6b239bf61e81b12fac87f4bb242cbfc0d9,raw/cc278cebff93183f81434056bc416c6b239bf61e81b12fac87f4bb242cbfc0d9.gz,HTML_P,p:366,2,9fae7984a0bc095c96ad11ea426c627d9fa6c7f9967792163b08afcd22211009,MANAGEMENT_UNCERTAINTY,"[""volatility""]","[""UNCERTAINTY""]","[{""family"":""UNCERTAINTY"",""value"":""volatility"",""start"":274,""end"":284,""negated"":false}]",False,False
39aa55738807567ee6bf7ca0a5f4cdbd331bac8b529a70aa18ffeb85d7583678,PLD,0001045609,0001564590-22-025889,2022-07-18T12:06:01.000Z,https://www.sec.gov/Archives/edgar/data/1045609/000156459022025889/pld-ex992_6.htm,9c0f888a29c2bb6cff81d7912d44a776f945ba7737fce78f98f42abeb391423b,raw/9c0f888a29c2bb6cff81d7912d44a776f945ba7737fce78f98f42abeb391423b.gz,HTML_P,p:84,2,d59405e9e17762518d53ffef09efd85957e98f43e6b961547af1d6358321cf6d,LIQUIDITY_OR_FINANCING,"[""liquidity""]","[""STABILITY""]","[{""family"":""STABILITY"",""value"":""maintained"",""start"":16,""end"":26,""negated"":false}]",False,False
51b378761ceefe2ed2e2cff82f3bd0951f7a279e6355469034ee53c30c68d426,PLD,0001045609,0001564590-22-025889,2022-07-18T12:06:01.000Z,https://www.sec.gov/Archives/edgar/data/1045609/000156459022025889/pld-ex992_6.htm,9c0f888a29c2bb6cff81d7912d44a776f945ba7737fce78f98f42abeb391423b,raw/9c0f888a29c2bb6cff81d7912d44a776f945ba7737fce78f98f42abeb391423b.gz,HTML_P,p:89,0,e44d72b7d5ec5e236a738be85a0b959922c06dbfde2dabb84a6ed1126c3ac794,LIQUIDITY_OR_FINANCING,"[""liquidity""]","[""UNCERTAINTY""]","[{""family"":""UNCERTAINTY"",""value"":""uncertain"",""start"":22,""end"":31,""negated"":false}]",False,True
990939dcacd81851f045caa5fed90faf8deffb27d11365757f155b55648766e7,PLD,0001045609,0001564590-22-025889,2022-07-18T12:06:01.000Z,https://www.sec.gov/Archives/edgar/data/1045609/000156459022025889/pld-ex992_6.htm,9c0f888a29c2bb6cff81d7912d44a776f945ba7737fce78f98f42abeb391423b,raw/9c0f888a29c2bb6cff81d7912d44a776f945ba7737fce78f98f42abeb391423b.gz,HTML_P,p:14,0,0167fbe06a64b29e355aa8b1581992f75683c090991ec89e6a60e4259d33a6d5,DEMAND,"[""demand""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""growth"",""start"":124,""end"":130,""negated"":false}]",False,False
d1c41f23be1ad94a535c5eec2145e63c321b011cd94b6baace267cf258820cdf,PLD,0001045609,0001564590-22-025889,2022-07-18T12:06:01.000Z,https://www.sec.gov/Archives/edgar/data/1045609/000156459022025889/pld-ex992_6.htm,9c0f888a29c2bb6cff81d7912d44a776f945ba7737fce78f98f42abeb391423b,raw/9c0f888a29c2bb6cff81d7912d44a776f945ba7737fce78f98f42abeb391423b.gz,HTML_P,p:14,2,75d8d56fc8bbf1ecd0b5ddaa1253eac14915da916746beb964ce91091bc26a1b,DEMAND,"[""demand""]","[""EXPECTATION""]","[{""family"":""EXPECTATION"",""value"":""expect"",""start"":141,""end"":147,""negated"":false}]",False,False
312cf34af2066a8aeb46d4be77f4687095ee35e9339d2e699a84b0cd910f0bea,GS,0000886982,0001193125-22-264131,2022-10-18T11:29:47.000Z,https://www.sec.gov/Archives/edgar/data/886982/000119312522264131/d377385dex991.htm,f253fca659de280fb3779c0a4cb7abe7fa0fbed07742f82be0fc1c13e60f14bb,raw/f253fca659de280fb3779c0a4cb7abe7fa0fbed07742f82be0fc1c13e60f14bb.gz,HTML_P,p:364,2,9fae7984a0bc095c96ad11ea426c627d9fa6c7f9967792163b08afcd22211009,MANAGEMENT_UNCERTAINTY,"[""volatility""]","[""UNCERTAINTY""]","[{""family"":""UNCERTAINTY"",""value"":""volatility"",""start"":274,""end"":284,""negated"":false}]",False,False
b8ec4f8b359adaaaddb8ab407b54ba8bd291309d9174b194810c5c3f44dd3053,PLD,0001045609,0001564590-22-034581,2022-10-19T12:07:09.000Z,https://www.sec.gov/Archives/edgar/data/1045609/000156459022034581/pld-ex992_7.htm,ea9745fb7a017fbcb604d201214fbe1fc727be115cd53b64293914756c74aa01,raw/ea9745fb7a017fbcb604d201214fbe1fc727be115cd53b64293914756c74aa01.gz,HTML_P,p:91,0,8c72d3d27129e801bd740434329a9e6908aae7730c065cad7e4ee6804c6aca18,LIQUIDITY_OR_FINANCING,"[""liquidity""]","[""STABILITY""]","[{""family"":""STABILITY"",""value"":""maintained"",""start"":16,""end"":26,""negated"":false}]",False,False
044013396e10dbe8531dc2b7db7b37640335a157bd12e3938844d93f1bf350de,SLB,0000087347,0001193125-22-266331,2022-10-21T11:11:32.000Z,https://www.sec.gov/Archives/edgar/data/87347/000119312522266331/d387926dex99.htm,e619421a53125e7553aab30fb9c595446391efcce15e21ae3ac57374faff2345,raw/e619421a53125e7553aab30fb9c595446391efcce15e21ae3ac57374faff2345.gz,HTML_P,p:143,0,7ee2fa770104c5ed00ce7de5afbc572c630ed99caac326baf5d056aeb86242d5,LIQUIDITY_OR_FINANCING,"[""free cash flow""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""increased"",""start"":115,""end"":124,""negated"":false},{""family"":""EXPANSION"",""value"":""expanded"",""start"":162,""end"":170,""negated"":false}]",False,True
090e493ffb49b7b58e6fcd87b089611a45a838e2d632ff7a44f8ada19ad2242b,SLB,0000087347,0001193125-22-266331,2022-10-21T11:11:32.000Z,https://www.sec.gov/Archives/edgar/data/87347/000119312522266331/d387926dex99.htm,e619421a53125e7553aab30fb9c595446391efcce15e21ae3ac57374faff2345,raw/e619421a53125e7553aab30fb9c595446391efcce15e21ae3ac57374faff2345.gz,HTML_P,p:880,0,230883b38b802402b828c223e1349ef1132e7d5081e2de4827be0240970d47e4,CAPITAL_SPENDING,"[""capex""]","[""EXPECTATION""]","[{""family"":""EXPECTATION"",""value"":""expected"",""start"":110,""end"":118,""negated"":false}]",False,False
0bba7422d472768d0a21a6cc5971d883042b2b192dfd089a0fc6be246edb1a2e,SLB,0000087347,0001193125-22-266331,2022-10-21T11:11:32.000Z,https://www.sec.gov/Archives/edgar/data/87347/000119312522266331/d387926dex99.htm,e619421a53125e7553aab30fb9c595446391efcce15e21ae3ac57374faff2345,raw/e619421a53125e7553aab30fb9c595446391efcce15e21ae3ac57374faff2345.gz,HTML_P,p:321,0,547d6b87b041012468fb2a59d507db5da8858d91a82804fa0f52d8fa2f8c5e46,MARGIN,"[""margin"",""operating margin"",""profitability""]","[""EXPANSION""]","[{""family"":""EXPANSION"",""value"":""expanded"",""start"":49,""end"":57,""negated"":false},{""family"":""EXPANSION"",""value"":""improved"",""start"":87,""end"":95,""negated"":false}]",False,True
