ticker,cik,metric,fiscal_period,accounting_basis,metric_subtype,unit,current_accession,accepted_at,fold_id,direction,midpoint_delta_ratio,sector_etf,price_snapshot,execution_session,outcome_session,stock_return_126d,sector_return_126d,sector_residual_return_126d,spy_return_126d,spy_residual_return_126d,forward_max_drawdown_126d
MRK,0000310158,EPS,FY2022,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-22-111729,2022-10-27T10:38:10+00:00,F03,LOWER,-0.0395622895623,XLV,yf-long14-actions-sector-20260721,2022-10-28,2023-05-01,0.176426697885,0.0335233602667,0.142903337618,0.103038052103,0.0733886457817,-0.1036225771
MRK,0000310158,EPS,FY2022,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-22-051588,2022-04-28T10:35:40+00:00,F03,NON_LOWER,0.0145934676859,XLV,yf-long14-actions-sector-20260721,2022-04-29,2022-10-27,0.143322069132,-0.00487019310502,0.148192262237,-0.0953772649595,0.238699334092,-0.102659513622
MRK,0000310158,EPS,FY2022,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-22-083410,2022-07-28T10:36:26+00:00,F03,NON_LOWER,0,XLV,yf-long14-actions-sector-20260721,2022-07-29,2023-01-27,0.187092892768,0.0133846151414,0.173708277627,0.00401634488867,0.183076547879,-0.0823757241983
MRK,0000310158,EPS,FY2022,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001104659-22-111729,2022-10-27T10:38:10+00:00,F03,NON_LOWER,0.00616438356164,XLV,yf-long14-actions-sector-20260721,2022-10-28,2023-05-01,0.176426697885,0.0335233602667,0.142903337618,0.103038052103,0.0733886457817,-0.1036225771
QCOM,0000804328,EPS,FY2014,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001234452-14-000152,2014-04-23T20:06:31+00:00,F01,NON_LOWER,0.00902934537246,XLK,yf-independent-current-sp500-20260721,2014-04-24,2014-10-21,-0.0217979441039,0.0680562782226,-0.0898542223264,0.0400352267954,-0.0618331708993,-0.128662127746
QCOM,0000804328,EPS,FY2014,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001234452-14-000236,2014-07-23T20:06:18+00:00,F01,NON_LOWER,0.0391498881432,XLK,yf-independent-current-sp500-20260721,2014-07-24,2015-01-22,-0.0627515309982,0.0484724603685,-0.111223991367,0.0471572810798,-0.109908812078,-0.117819571247
QCOM,0000804328,EPS,FY2014,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001234452-14-000152,2014-04-23T20:06:31+00:00,F01,NON_LOWER,0.00980392156863,XLK,yf-independent-current-sp500-20260721,2014-04-24,2014-10-21,-0.0217979441039,0.0680562782226,-0.0898542223264,0.0400352267954,-0.0618331708993,-0.128662127746
QCOM,0000804328,EPS,FY2014,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001234452-14-000236,2014-07-23T20:06:18+00:00,F01,NON_LOWER,0.026213592233,XLK,yf-independent-current-sp500-20260721,2014-07-24,2015-01-22,-0.0627515309982,0.0484724603685,-0.111223991367,0.0471572810798,-0.109908812078,-0.117819571247
QCOM,0000804328,EPS,FY2015,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001234452-15-000031,2015-02-09T21:12:58+00:00,F01,LOWER,-0.183035714286,XLK,yf-independent-current-sp500-20260721,2015-02-10,2015-08-10,-0.0742724402548,0.0442489176404,-0.118521357895,0.0323428528732,-0.106615293128,-0.14636821652
QCOM,0000804328,EPS,FY2015,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001234452-15-000132,2015-04-22T20:15:16+00:00,F01,LOWER,-0.0491803278689,XLK,yf-independent-current-sp500-20260721,2015-04-23,2015-10-20,-0.110470495586,-0.00213303597158,-0.108337459615,-0.0237495024335,-0.0867209931528,-0.250795494796
QCOM,0000804328,EPS,FY2015,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001234452-15-000206,2015-07-22T20:08:02+00:00,F01,LOWER,-0.0876436781609,XLK,yf-independent-current-sp500-20260721,2015-07-23,2016-01-21,-0.234220596973,-0.0732389062057,-0.160981690767,-0.107562070745,-0.126658526228,-0.275768737102
QCOM,0000804328,EPS,FY2015,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001234452-15-000031,2015-02-09T21:12:58+00:00,F01,LOWER,-0.0480769230769,XLK,yf-independent-current-sp500-20260721,2015-02-10,2015-08-10,-0.0742724402548,0.0442489176404,-0.118521357895,0.0323428528732,-0.106615293128,-0.14636821652
QCOM,0000804328,EPS,FY2015,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001234452-15-000132,2015-04-22T20:15:16+00:00,F01,LOWER,-0.030303030303,XLK,yf-independent-current-sp500-20260721,2015-04-23,2015-10-20,-0.110470495586,-0.00213303597158,-0.108337459615,-0.0237495024335,-0.0867209931528,-0.250795494796
QCOM,0000804328,EPS,FY2015,NON_GAAP,NOT_APPLICABLE,USD_PER_SHARE,0001234452-15-000206,2015-07-22T20:08:02+00:00,F01,LOWER,-0.0416666666667,XLK,yf-independent-current-sp500-20260721,2015-07-23,2016-01-21,-0.234220596973,-0.0732389062057,-0.160981690767,-0.107562070745,-0.126658526228,-0.275768737102
CDNS,0000813672,EPS,FY2021,GAAP,NOT_APPLICABLE,USD_PER_SHARE,0000813672-21-000036,2021-10-25T20:06:08+00:00,F03,NON_LOWER,0.0917431192661,XLK,yf-independent-current-sp500-20260721,2021-10-26,2022-04-26,-0.112867422878,-0.122853840357,0.00998641747843,-0.0838602271065,-0.0290071957717,-0.295851806964
