policy_id,fold_id,ticker,one_way_cost_bps,activated,executed_sell_count,executed_reentry_count,completed_cycle_count,positive_completed_cycle_count,completed_cycle_share_delta,completed_cycle_ticker,open_sale_count,open_sale_cash,unmatched_buy_cost,cagr,excess_cagr,max_drawdown,mdd_improvement,sortino,calmar,upside_capture,downside_capture,average_exposure,turnover,terminal_wealth_delta,terminal_share_delta,final_equity,buy_hold_final_equity,keep_cash_terminal_wealth_delta,keep_cash_final_equity
GIVEBACK_BASELINE,F08,AAPL,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.1480220305156632,0.0,-0.16606652202190353,0.0,1.1462944759925788,0.8913417870950514,1.0,1.0,1.0,1.022681190864132,0.0,0.0,11480.220305156634,11480.220305156634,0.0,11480.220305156634
HERD_GIVEBACK_S1,F08,AAPL,10,False,0,0,0,0,0.0,False,0,0.0,0.0,0.15261641124058944,0.0,-0.16606652202190308,0.0,1.171176939313481,0.9190076927152141,1.0,1.0,1.0000000000000002,1.0206409291367224,0.0,0.0,11526.164112405892,11526.164112405892,0.0,11526.164112405892
HERD_GIVEBACK_S1,F08,AAPL,25,False,0,0,0,0,0.0,False,0,0.0,0.0,0.15089029181032565,0.0,-0.16606652202190308,0.0,1.1620729840517465,0.9086135481925984,1.0,1.0,1.0000000000000002,1.021406027284501,0.0,0.0,11508.902918103257,11508.902918103257,0.0,11508.902918103257
HERD_GIVEBACK_S1,F08,AAPL,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.1480220305156632,0.0,-0.16606652202190353,0.0,1.1462944759925788,0.8913417870950514,1.0,1.0,1.0,1.022681190864132,0.0,0.0,11480.220305156634,11480.220305156634,0.0,11480.220305156634
GIVEBACK_BASELINE,F08,ABBV,10,False,0,0,0,0,0.0,False,0,0.0,0.0,0.3185215062484945,0.0,-0.14203419354985314,0.0,2.051030233374269,2.2425691890642896,1.0,1.0,1.0000000000000002,0.9116944595298813,0.0,0.0,13185.215062484924,13185.215062484924,0.0,13185.215062484924
GIVEBACK_BASELINE,F08,ABBV,25,False,0,0,0,0,0.0,False,0,0.0,0.0,0.3165469329481636,0.0,-0.14203419354985392,0.0,2.0433422978974027,2.228667090907626,1.0,1.0,1.0,0.9123778886599632,0.0,0.0,13165.469329481646,13165.469329481646,0.0,13165.469329481646
GIVEBACK_BASELINE,F08,ABBV,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.3132658203718812,0.0,-0.1420341935498537,0.0,2.0293702367105753,2.2055662269939638,1.0,1.0,1.0,0.9135169372101004,0.0,0.0,13132.65820371881,13132.65820371881,0.0,13132.65820371881
HERD_GIVEBACK_S1,F08,ABBV,10,False,0,0,0,0,0.0,False,0,0.0,0.0,0.3185215062484945,0.0,-0.14203419354985314,0.0,2.051030233374269,2.2425691890642896,1.0,1.0,1.0000000000000002,0.9116944595298813,0.0,0.0,13185.215062484924,13185.215062484924,0.0,13185.215062484924
HERD_GIVEBACK_S1,F08,ABBV,25,False,0,0,0,0,0.0,False,0,0.0,0.0,0.3165469329481636,0.0,-0.14203419354985392,0.0,2.0433422978974027,2.228667090907626,1.0,1.0,1.0,0.9123778886599632,0.0,0.0,13165.469329481646,13165.469329481646,0.0,13165.469329481646
HERD_GIVEBACK_S1,F08,ABBV,50,False,0,0,0,0,0.0,False,0,0.0,0.0,0.3132658203718812,0.0,-0.1420341935498537,0.0,2.0293702367105753,2.2055662269939638,1.0,1.0,1.0,0.9135169372101004,0.0,0.0,13132.65820371881,13132.65820371881,0.0,13132.65820371881
