ticker,cik,accession_number,form,filing_date,accepted_at,items,primary_document,archive_dir,index_json_url,classification_status
CPT,0000906345,0000906345-24-000039,8-K,2024-10-31,2024-10-31T20:41:55.000Z,2.02,cpt-20241031.htm,https://www.sec.gov/Archives/edgar/data/906345/000090634524000039,https://www.sec.gov/Archives/edgar/data/906345/000090634524000039/index.json,NOT_CLASSIFIED
AXON,0001069183,0001069183-24-000055,8-K,2024-11-07,2024-11-07T21:45:38.000Z,2.02,axon-20241107.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918324000055,https://www.sec.gov/Archives/edgar/data/1069183/000106918324000055/index.json,NOT_CLASSIFIED
MPWR,0001280452,0001437749-24-034352,8-K,2024-11-12,2024-11-12T14:00:37.000Z,7.01,mpwr20241112_8k.htm,https://www.sec.gov/Archives/edgar/data/1280452/000143774924034352,https://www.sec.gov/Archives/edgar/data/1280452/000143774924034352/index.json,NOT_CLASSIFIED
WSM,0000719955,0001628280-24-048597,8-K,2024-11-20,2024-11-20T13:05:22.000Z,2.02,wsm-20241120.htm,https://www.sec.gov/Archives/edgar/data/719955/000162828024048597,https://www.sec.gov/Archives/edgar/data/719955/000162828024048597/index.json,NOT_CLASSIFIED
MRVL,0001835632,0001835632-24-000193,8-K,2024-12-02,2024-12-02T13:44:44.000Z,7.01,mrvl-20241202.htm,https://www.sec.gov/Archives/edgar/data/1835632/000183563224000193,https://www.sec.gov/Archives/edgar/data/1835632/000183563224000193/index.json,NOT_CLASSIFIED
MRVL,0001835632,0001835632-24-000197,8-K,2024-12-03,2024-12-03T21:06:41.000Z,2.02,mrvl-20241203.htm,https://www.sec.gov/Archives/edgar/data/1835632/000183563224000197,https://www.sec.gov/Archives/edgar/data/1835632/000183563224000197/index.json,NOT_CLASSIFIED
ON,0001097864,0001193125-24-273895,8-K,2024-12-10,2024-12-10T11:05:32.000Z,7.01,d904673d8k.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312524273895,https://www.sec.gov/Archives/edgar/data/1097864/000119312524273895/index.json,NOT_CLASSIFIED
NDSN,0000072331,0000072331-24-000169,8-K,2024-12-11,2024-12-11T21:36:04.000Z,"2.02,7.01",ndsn-20241211.htm,https://www.sec.gov/Archives/edgar/data/72331/000007233124000169,https://www.sec.gov/Archives/edgar/data/72331/000007233124000169/index.json,NOT_CLASSIFIED
CIEN,0000936395,0000936395-24-000037,8-K,2024-12-12,2024-12-12T12:05:00.000Z,"2.02,7.01",a8-k2024q4earningsresults.htm,https://www.sec.gov/Archives/edgar/data/936395/000093639524000037,https://www.sec.gov/Archives/edgar/data/936395/000093639524000037/index.json,NOT_CLASSIFIED
STLD,0001022671,0001104659-24-129216,8-K,2024-12-17,2024-12-17T14:08:16.000Z,7.01,tm2431193d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1022671/000110465924129216,https://www.sec.gov/Archives/edgar/data/1022671/000110465924129216/index.json,NOT_CLASSIFIED
EME,0000105634,0000105634-24-000042,8-K,2024-12-19,2024-12-19T17:31:03.000Z,7.01,eme-20241218.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563424000042,https://www.sec.gov/Archives/edgar/data/105634/000010563424000042/index.json,NOT_CLASSIFIED
KKR,0001404912,0001140361-25-001073,8-K,2025-01-14,2025-01-14T22:00:40.000Z,7.01,ef20041633_form8k.htm,https://www.sec.gov/Archives/edgar/data/1404912/000114036125001073,https://www.sec.gov/Archives/edgar/data/1404912/000114036125001073/index.json,NOT_CLASSIFIED
IBKR,0001381197,0001381197-25-000027,8-K,2025-01-21,2025-01-21T21:02:07.000Z,2.02,ibkr_8k-20241231.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119725000027,https://www.sec.gov/Archives/edgar/data/1381197/000138119725000027/index.json,NOT_CLASSIFIED
STLD,0001022671,0001104659-25-005488,8-K,2025-01-23,2025-01-23T14:56:35.000Z,2.02,tm254167d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1022671/000110465925005488,https://www.sec.gov/Archives/edgar/data/1022671/000110465925005488/index.json,NOT_CLASSIFIED
