accession_number,cik,filing_date,prior_extraction_status,extraction_method,candidate_symbols,source_sha256,review_role,development_regression_status
0000065984-16-000736,0000065984,2016-12-08,NO_CANDIDATE_FOUND,NONE,,e105055019758388757467ba6418322d7db817f779baf4676cc4122c3789ec06,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000079879-16-000121,0000079879,2016-12-09,NO_CANDIDATE_FOUND,NONE,,11df385d958c989e0e96f60d6ef6876883c2585f3da58956b2a01aeeb917286b,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-16-792063,0001109357,2016-12-13,NO_CANDIDATE_FOUND,NONE,,e05eeb909b2fa7bc61a58d67812edfd46330e70e03e982f0490b995678fbb4e5,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001558370-16-010540,0001164727,2016-12-13,NO_CANDIDATE_FOUND,NONE,,4fb9697b6e0e90a3e91fe862321e9f2f90968b037a1bbce9af3bfbb67b424e6f,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000065984-17-000002,0000065984,2017-01-09,NO_CANDIDATE_FOUND,NONE,,2356ddbc522c2e90407d280e8620ac11a4366c4a2d279d4c77047ea74e0fc8c4,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001031296-17-000006,0001031296,2017-01-19,NO_CANDIDATE_FOUND,NONE,,9e4e1e93dea9096cc3e10db810ef6c95a8a37015c825c5de483a500a634cfc1e,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-17-024491,0001120193,2017-01-31,NO_CANDIDATE_FOUND,NONE,,ae56f8829d242b19d63e4b840ccefc96a4b6e0913eb25eff372b7ab9e9d4980f,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001628280-17-000641,0000048898,2017-01-31,NO_CANDIDATE_FOUND,NONE,,131f476b68741cf6b2701386df2b022eeefc55bf1c6d6028f1302662cf34c4ff,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000202058-17-000006,0000202058,2017-02-01,NO_CANDIDATE_FOUND,NONE,,4b9e636eb1e4278d958bf7e5b2b2ac002a6c6df7191862c5268427c7bdfa7428,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001157523-17-000513,0000051253,2017-02-15,NO_CANDIDATE_FOUND,NONE,,1ff083e21623a5a6c870b17ed5486ba5afbeaddb52f1ca71999e61d554f4ba54,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001104659-17-010115,0001001250,2017-02-17,NO_CANDIDATE_FOUND,NONE,,5241f6909a09217c973117adc0d160907f7eb4543f988b4e328684ad96dec4c7,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001628280-17-001659,0000310158,2017-02-23,NO_CANDIDATE_FOUND,NONE,,475cad9713f641bef2da69db7b247223cf326240e1eb5c5feeceaaefc0d4592e,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-17-059310,0000277948,2017-02-27,NO_CANDIDATE_FOUND,NONE,,3b343931ac7ae8fc451bb52683d92f118380fece21a405f2e434f8d272a76697,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000047111-17-000015,0000047111,2017-02-28,NO_CANDIDATE_FOUND,NONE,,dc7c03c139785648520bf24ee3cffca12f357748400dfffef200977bf3aa0420,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001467858-17-000060,0001467858,2017-03-06,NO_CANDIDATE_FOUND,NONE,,872bae1e34252754c7114595ffd4d28d47c296fc748e510cf5eb71aed65b9541,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-17-077510,0001137789,2017-03-10,NO_CANDIDATE_FOUND,NONE,,5333941d4aeaa162101c7a6928407b40c6990f66852f45ef85ea0ccba9c87b77,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001193125-17-083635,0000898293,2017-03-15,NO_CANDIDATE_FOUND,NONE,,e7ad3b51177792702cecda0ba00462719ade9d8d54527524d9b75de5490dd4bf,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000950142-17-000715,0001037038,2017-04-04,NO_CANDIDATE_FOUND,NONE,,88833dfa4a5fad75086fbf02ae15ddb50410b33739d15fb5545dda6aafdf3b06,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001381197-17-000009,0001381197,2017-04-18,NO_CANDIDATE_FOUND,NONE,,c0eb0de6fd01919f72ab85e06e83832990ec5a76296a9daf3367e323e8d8da62,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000920148-17-000040,0000920148,2017-04-25,NO_CANDIDATE_FOUND,NONE,,f3976d4edb37c2afe1b668dbc5a0050efd7fef6ad264aedacb1b87ffd9e1d78e,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000822416-17-000027,0000822416,2017-05-08,NO_CANDIDATE_FOUND,NONE,,6f746aab677ac7db581825fde9e063b2b0a597a4ad7be83bd9845140b9c4d0e3,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0001628280-17-006007,0001109357,2017-05-30,NO_CANDIDATE_FOUND,NONE,,427df6202f314be267f9a9853fde025aac538710e18da094c425e206b38279da,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
0000106535-17-000025,0000106535,2017-06-05,NO_CANDIDATE_FOUND,NONE,,13599c6b889138497ab7254bca483240241429e21943b68749fcc3989dca0ee5,UNSEEN_HUMAN_REVIEW,NOT_REVIEWED
