ticker,episode_id,signal_date,target_label,RESIDUAL_RETURN_20D,RESIDUAL_VOLATILITY_RATIO_20_63
AEP,AEP-V61-001,2016-03-14,HOLD_WINNER,-0.004357893770675684,0.8605481321026861
AEP,AEP-V61-002,2017-05-30,REENTRY_WORTHWHILE,0.012849849752545594,0.814364114849605
AEP,AEP-V61-003,2017-08-28,REENTRY_WORTHWHILE,0.011830792159623446,0.7955418340941078
AEP,AEP-V61-004,2017-12-12,REENTRY_WORTHWHILE,0.013933563159322131,1.0969269076017285
AEP,AEP-V61-005,2018-12-13,REENTRY_WORTHWHILE,0.0002463096539429355,1.628580830754065
AEP,AEP-V61-006,2019-03-04,HOLD_WINNER,-0.017248304321142563,0.5827972599665958
AEP,AEP-V61-008,2022-04-04,REENTRY_WORTHWHILE,-0.013705780910894078,0.9017676320849474
AEP,AEP-V61-009,2022-06-03,REENTRY_WORTHWHILE,-0.02507620453258684,0.8594903043046155
AEP,AEP-V61-010,2024-09-13,REENTRY_WORTHWHILE,0.013075833135888008,0.587516614645513
AEP,AEP-V61-011,2025-08-12,REENTRY_WORTHWHILE,0.02769966365118327,1.561123819960289
AEP,AEP-V61-012,2025-10-10,HOLD_WINNER,0.0012524575149909182,1.2756542094482068
AES,AES-V61-001,2016-07-06,REENTRY_WORTHWHILE,0.007266691892908135,1.23945988001737
AES,AES-V61-002,2018-05-01,HOLD_WINNER,0.025860999318475218,0.38956808433234535
AES,AES-V61-003,2019-01-31,HOLD_WINNER,0.04095070947765247,0.4252639380354442
AES,AES-V61-005,2020-10-08,HOLD_WINNER,-0.005365469322356747,1.2000257375656556
AES,AES-V61-006,2022-11-30,REENTRY_WORTHWHILE,-0.03440149324140352,0.6795818963674785
AFL,AFL-V61-001,2016-05-02,HOLD_WINNER,0.04292372917267588,0.7522296034875006
AFL,AFL-V61-002,2017-06-02,HOLD_WINNER,0.012831293324728987,1.0840424763231418
AFL,AFL-V61-003,2018-08-27,REENTRY_WORTHWHILE,-0.002908447720662905,0.5185221679831921
AFL,AFL-V61-004,2019-02-20,HOLD_WINNER,-0.006368983638838382,0.32771295387562743
AFL,AFL-V61-006,2021-04-22,HOLD_WINNER,0.014090478501163628,0.6052969375572839
AFL,AFL-V61-007,2022-01-12,REENTRY_WORTHWHILE,0.03154717613772446,0.7545049263770427
AFL,AFL-V61-008,2022-04-18,REENTRY_WORTHWHILE,0.045962033293861115,1.083046068646205
AFL,AFL-V61-009,2022-11-30,REENTRY_WORTHWHILE,0.003931310590490981,1.157201222565413
AFL,AFL-V61-010,2023-09-19,HOLD_WINNER,-2.797010565607199e-05,0.5894414638870803
AFL,AFL-V61-011,2024-03-20,REENTRY_WORTHWHILE,0.03942744970804594,0.4084033852193536
AFL,AFL-V61-012,2024-05-20,HOLD_WINNER,0.0646599689728307,0.46966322905814
AIG,AIG-V61-001,2021-05-24,REENTRY_WORTHWHILE,0.0215757775646994,0.8835902258939935
AIG,AIG-V61-003,2022-02-25,REENTRY_WORTHWHILE,0.06747744944900008,1.2529725541135612
AIG,AIG-V61-004,2023-01-17,REENTRY_WORTHWHILE,-0.05802737297061422,0.8813857303315155
AIG,AIG-V61-005,2023-12-15,HOLD_WINNER,-0.041364266152289386,0.8538993435362091
AIG,AIG-V61-006,2025-03-28,REENTRY_WORTHWHILE,0.02903155044494137,0.7891356118943748
AIZ,AIZ-V61-002,2020-02-11,REENTRY_WORTHWHILE,0.03532976989260334,1.1149678175563622
AIZ,AIZ-V61-003,2021-04-21,HOLD_WINNER,0.06975363883820732,0.4095995591673319
AIZ,AIZ-V61-004,2024-11-15,REENTRY_WORTHWHILE,0.045674733365523475,0.6121432852942116
AJG,AJG-V61-002,2017-06-21,HOLD_WINNER,0.0010882418310078756,1.4574972339716925
AJG,AJG-V61-003,2017-09-20,HOLD_WINNER,0.017777330765185805,1.2432442574444977
AJG,AJG-V61-004,2018-02-21,REENTRY_WORTHWHILE,0.07644315389589922,2.2990439097268056
