signal_date,ticker,state,horizon_months,outcome_end,forward_return,forward_trough_return,fold_id,group
2022-01-31,SHW,BREAKING_RUSH,1,2022-02-28,-0.079469780467,-0.0962270157642,F02,TREATMENT
2021-11-30,AAPL,HEALTHY_RUSH,3,2022-02-28,0.000183743648853,-0.0367813095289,F02,CONTROL
2022-04-30,AAPL,BREAKING_RUSH,3,2022-07-31,0.0323422849859,-0.173795636111,F02,TREATMENT
2021-11-30,NEE,HEALTHY_RUSH,3,2022-02-28,-0.0930687396795,-0.166628425662,F02,CONTROL
2021-11-30,SHW,EXTENDING_RUSH,3,2022-02-28,-0.203776328454,-0.218270700426,F02,CONTROL
2021-12-31,PEP,EXTENDING_RUSH,3,2022-03-31,-0.0301025759911,-0.109198399357,F02,CONTROL
2022-04-30,PEP,HEALTHY_RUSH,3,2022-07-31,0.0260142262692,-0.0844688682294,F02,CONTROL
2021-12-31,PG,EXTENDING_RUSH,3,2022-03-31,-0.0608567481492,-0.119737843602,F02,CONTROL
2022-04-30,PG,HEALTHY_RUSH,3,2022-07-31,-0.129169827789,-0.175583977976,F02,CONTROL
2021-12-31,PEP,EXTENDING_RUSH,1,2022-01-31,-0.00109361665695,-0.0249841422201,F02,CONTROL
2022-04-30,PEP,HEALTHY_RUSH,1,2022-05-31,-0.02306244478,-0.0612081682162,F02,CONTROL
2022-06-30,PEP,HEALTHY_RUSH,1,2022-07-31,0.0498020085901,0.00960051099756,F02,CONTROL
2021-12-31,PG,EXTENDING_RUSH,1,2022-01-31,-0.0138381512609,-0.0418754325043,F02,CONTROL
2022-03-31,PG,BREAKING_RUSH,1,2022-04-30,0.056614752652,0.00837693530164,F02,TREATMENT
2021-12-31,PEP,EXTENDING_RUSH,6,2022-06-30,-0.0275575725952,-0.109198399357,F02,CONTROL
2021-12-31,PG,EXTENDING_RUSH,6,2022-06-30,-0.111276080188,-0.181921581536,F02,CONTROL
2022-01-31,CVX,EXTENDING_RUSH,1,2022-02-28,0.107985981782,0.0187319436654,F02,CONTROL
2022-04-30,CVX,HEALTHY_RUSH,1,2022-05-31,0.123998769255,0.0164678784389,F02,CONTROL
2022-01-31,EOG,EXHAUSTED_RUSH,1,2022-02-28,0.0308574060378,-0.0376749646225,F02,TREATMENT
2022-03-31,EOG,EXTENDING_RUSH,1,2022-04-30,-0.0147844082744,-0.0584089018504,F02,CONTROL
2022-05-31,EOG,HEALTHY_RUSH,1,2022-06-30,-0.182547508544,-0.206751291405,F02,CONTROL
2022-01-31,XOM,HEALTHY_RUSH,1,2022-02-28,0.0438304370815,0.00895588732232,F02,CONTROL
2022-04-30,XOM,HEALTHY_RUSH,1,2022-05-31,0.137634564268,-0.00926695492098,F02,CONTROL
2022-01-31,SO,EXTENDING_RUSH,1,2022-02-28,-0.0583310210028,-0.0863904224162,F02,CONTROL
2022-03-31,SO,HEALTHY_RUSH,1,2022-04-30,0.0121360277967,0.00841277212291,F02,CONTROL
2022-01-31,KO,HEALTHY_RUSH,1,2022-02-28,0.0201606673374,-0.0118012338914,F02,CONTROL
2022-04-30,KO,HEALTHY_RUSH,1,2022-05-31,-0.0190372319488,-0.0713512328432,F02,CONTROL
2022-06-30,KO,HEALTHY_RUSH,1,2022-07-31,0.0200287592614,-0.0246382541895,F02,CONTROL
2022-01-31,SLB,EXTENDING_RUSH,1,2022-02-28,0.00747839529,-0.0161420867695,F02,CONTROL
2022-05-31,SLB,HEALTHY_RUSH,1,2022-06-30,-0.221932240034,-0.23890336526,F02,CONTROL
2022-01-31,SLB,EXTENDING_RUSH,3,2022-04-30,0.0015731937188,-0.032831075704,F02,CONTROL
2022-01-31,XOM,HEALTHY_RUSH,3,2022-04-30,0.134742877308,0.00895588732232,F02,CONTROL
2022-01-31,CVX,EXTENDING_RUSH,3,2022-04-30,0.205473542963,0.0187319436654,F02,CONTROL
2022-01-31,EOG,EXHAUSTED_RUSH,3,2022-04-30,0.0628157951466,-0.0376749646225,F02,TREATMENT
2022-01-31,KO,HEALTHY_RUSH,3,2022-04-30,0.0671132884524,-0.0513030106674,F02,CONTROL
2022-01-31,SO,EXTENDING_RUSH,3,2022-04-30,0.0669921318018,-0.0863904224162,F02,CONTROL
2022-01-31,XOM,HEALTHY_RUSH,6,2022-07-31,0.303428553269,0.00895588732232,F02,CONTROL
2022-01-31,SO,EXTENDING_RUSH,6,2022-07-31,0.128234034729,-0.0863904224162,F02,CONTROL
2022-01-31,SLB,EXTENDING_RUSH,6,2022-07-31,-0.04579933821,-0.192678589125,F02,CONTROL
2022-01-31,KO,HEALTHY_RUSH,6,2022-07-31,0.0675034691117,-0.0513030106674,F02,CONTROL
2022-01-31,EOG,EXHAUSTED_RUSH,6,2022-07-31,0.0341088840595,-0.115586824427,F02,TREATMENT
2022-01-31,CVX,EXTENDING_RUSH,6,2022-07-31,0.270547528005,0.0187319436654,F02,CONTROL
2022-02-28,FCX,EXTENDING_RUSH,3,2022-05-31,-0.165015759277,-0.266290837912,F02,CONTROL
2022-02-28,UNP,HEALTHY_RUSH,3,2022-05-31,-0.101123109433,-0.131612064394,F02,CONTROL
2022-02-28,COST,EXHAUSTED_RUSH,3,2022-05-31,-0.100667395976,-0.19671166602,F02,TREATMENT
2022-02-28,UNP,HEALTHY_RUSH,1,2022-03-31,0.110835420351,-0.0143119929261,F02,CONTROL
2022-05-31,UNP,BREAKING_RUSH,1,2022-06-30,-0.0295749581703,-0.0606517558056,F02,TREATMENT
2022-02-28,COST,EXHAUSTED_RUSH,1,2022-03-31,0.109003194823,0.00708721284467,F02,TREATMENT
2022-05-31,COST,BREAKING_RUSH,1,2022-06-30,0.0280125892513,-0.0418900219259,F02,TREATMENT
2022-02-28,FCX,EXTENDING_RUSH,1,2022-03-31,0.0594247876844,-0.0568689853358,F02,CONTROL
2022-05-31,FCX,BREAKING_RUSH,1,2022-06-30,-0.251279505294,-0.251279505294,F02,TREATMENT
2022-03-31,DUK,HEALTHY_RUSH,1,2022-04-30,-0.013433864493,-0.013433864493,F02,CONTROL
2022-05-31,DUK,HEALTHY_RUSH,1,2022-06-30,-0.0471914372591,-0.130643300198,F02,CONTROL
2022-03-31,LLY,EXHAUSTED_RUSH,1,2022-04-30,0.0201140708663,-0.0266784571052,F02,TREATMENT
2022-03-31,LLY,EXHAUSTED_RUSH,3,2022-06-30,0.136022327715,-0.0266784571052,F02,TREATMENT
2022-03-31,NEM,HEALTHY_RUSH,1,2022-04-30,-0.0830711380411,-0.0921333633746,F02,CONTROL
