ticker,cik,accession_number,form,filing_date,accepted_at,items,primary_document,archive_dir,index_json_url,classification_status
WSM,0000719955,0001193125-18-082351,8-K,2018-03-14,2018-03-14T20:19:02.000Z,2.02,d507732d8k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312518082351,https://www.sec.gov/Archives/edgar/data/719955/000119312518082351/index.json,NOT_CLASSIFIED
RHI,0000315213,0001628280-18-004948,8-K,2018-04-24,2018-04-24T20:24:34.000Z,2.02,rhiq120188-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828018004948,https://www.sec.gov/Archives/edgar/data/315213/000162828018004948/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-18-000024,8-K,2018-04-26,2018-04-26T20:21:21.000Z,2.02,erie8-k03312018.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262118000024,https://www.sec.gov/Archives/edgar/data/922621/000092262118000024/index.json,NOT_CLASSIFIED
WSM,0000719955,0001193125-18-172061,8-K,2018-05-23,2018-05-23T20:20:33.000Z,2.02,d584381d8k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312518172061,https://www.sec.gov/Archives/edgar/data/719955/000119312518172061/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-18-000032,8-K,2018-07-26,2018-07-26T20:25:41.000Z,2.02,erie8-k06302018.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262118000032,https://www.sec.gov/Archives/edgar/data/922621/000092262118000032/index.json,NOT_CLASSIFIED
RHI,0000315213,0001628280-18-012804,8-K,2018-10-23,2018-10-23T20:09:37.000Z,2.02,rhiq320188-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828018012804,https://www.sec.gov/Archives/edgar/data/315213/000162828018012804/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-18-000045,8-K,2018-10-25,2018-10-25T20:20:36.000Z,2.02,erie8-k09302018.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262118000045,https://www.sec.gov/Archives/edgar/data/922621/000092262118000045/index.json,NOT_CLASSIFIED
RHI,0000315213,0001628280-19-000632,8-K,2019-01-29,2019-01-29T21:07:29.000Z,2.02,rhi-q420188xk.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828019000632,https://www.sec.gov/Archives/edgar/data/315213/000162828019000632/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-19-000007,8-K,2019-02-21,2019-02-21T21:24:36.000Z,2.02,erie8-k12312018.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262119000007,https://www.sec.gov/Archives/edgar/data/922621/000092262119000007/index.json,NOT_CLASSIFIED
WSM,0000719955,0001193125-19-080820,8-K,2019-03-20,2019-03-20T20:20:34.000Z,2.02,d691834d8k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312519080820,https://www.sec.gov/Archives/edgar/data/719955/000119312519080820/index.json,NOT_CLASSIFIED
RHI,0000315213,0001628280-19-004591,8-K,2019-04-23,2019-04-23T20:12:23.000Z,2.02,rhiq120198-k.htm,https://www.sec.gov/Archives/edgar/data/315213/000162828019004591,https://www.sec.gov/Archives/edgar/data/315213/000162828019004591/index.json,NOT_CLASSIFIED
ERIE,0000922621,0000922621-19-000013,8-K,2019-05-02,2019-05-02T20:21:19.000Z,2.02,erie8-k03312019.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262119000013,https://www.sec.gov/Archives/edgar/data/922621/000092262119000013/index.json,NOT_CLASSIFIED
