event_id,cik,canonical_symbol_at_filing,identity_status,accession_number,form,filing_date,accepted_at,matched_items,filing_index_url,primary_document_url
SEC8K-0001193125-09-150699,0000910606,,UNMAPPED,0001193125-09-150699,8-K,2009-07-17,2009-07-17T16:43:01.000Z,2.06,https://www.sec.gov/Archives/edgar/data/910606/000119312509150699/0001193125-09-150699-index.html,https://www.sec.gov/Archives/edgar/data/910606/000119312509150699/d8k.htm
SEC8K-0001193125-09-163032,0001137789,,UNMAPPED,0001193125-09-163032,8-K,2009-08-04,2009-08-04T12:04:03.000Z,2.05,https://www.sec.gov/Archives/edgar/data/1137789/000119312509163032/0001193125-09-163032-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312509163032/d8k.htm
SEC8K-0000950123-09-035531,0000860730,,UNMAPPED,0000950123-09-035531,8-K/A,2009-08-14,2009-08-14T21:06:46.000Z,4.02,https://www.sec.gov/Archives/edgar/data/860730/000095012309035531/0000950123-09-035531-index.html,https://www.sec.gov/Archives/edgar/data/860730/000095012309035531/g20221e8vkza.htm
SEC8K-0001193125-09-185794,0000313616,,UNMAPPED,0001193125-09-185794,8-K,2009-09-02,2009-09-02T11:00:15.000Z,2.05,https://www.sec.gov/Archives/edgar/data/313616/000119312509185794/0001193125-09-185794-index.html,https://www.sec.gov/Archives/edgar/data/313616/000119312509185794/d8k.htm
SEC8K-0001104659-09-055056,0001001250,,UNMAPPED,0001104659-09-055056,8-K/A,2009-09-18,2009-09-17T21:43:18.000Z,2.05,https://www.sec.gov/Archives/edgar/data/1001250/000110465909055056/0001104659-09-055056-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465909055056/a09-26655_28ka.htm
SEC8K-0001193125-09-196196,0001048286,,UNMAPPED,0001193125-09-196196,8-K,2009-09-23,2009-09-23T12:06:01.000Z,2.06,https://www.sec.gov/Archives/edgar/data/1048286/000119312509196196/0001193125-09-196196-index.html,https://www.sec.gov/Archives/edgar/data/1048286/000119312509196196/d8k.htm
SEC8K-0000723125-09-000077,0000723125,,UNMAPPED,0000723125-09-000077,8-K,2009-09-29,2009-09-29T20:01:13.000Z,2.05,https://www.sec.gov/Archives/edgar/data/723125/000072312509000077/0000723125-09-000077-index.html,https://www.sec.gov/Archives/edgar/data/723125/000072312509000077/fy098-k.htm
SEC8K-0000950123-09-046985,0000898293,,UNMAPPED,0000950123-09-046985,8-K/A,2009-09-29,2009-09-29T20:18:54.000Z,2.05,https://www.sec.gov/Archives/edgar/data/898293/000095012309046985/0000950123-09-046985-index.html,https://www.sec.gov/Archives/edgar/data/898293/000095012309046985/g20668e8vkza.htm
SEC8K-0001104659-09-057311,0001137789,,UNMAPPED,0001104659-09-057311,8-K,2009-10-01,2009-10-01T19:46:46.000Z,2.06,https://www.sec.gov/Archives/edgar/data/1137789/000110465909057311/0001104659-09-057311-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000110465909057311/a09-29304_18k.htm
SEC8K-0001299933-09-004053,0000059478,,UNMAPPED,0001299933-09-004053,8-K,2009-10-14,2009-10-14T13:22:41.000Z,2.05|2.06,https://www.sec.gov/Archives/edgar/data/59478/000129993309004053/0001299933-09-004053-index.html,https://www.sec.gov/Archives/edgar/data/59478/000129993309004053/htm_34649.htm
