ticker,hypothesis_id,threshold,signal_date,fold_id,label,signal_price,signal_volatility,pullback_threshold,continuation_threshold,structural_threshold,mfe,mae,time_to_high_days,time_to_low_days,low_before_high,recovery_after_low,terminal_return,gross_oracle_opportunity,outcome_end,trend_quality,sector_alignment,return_concentration,intraday_return_share,overnight_return_share,capital_gain_overhang_proxy,business_state,business_entity_type,business_deterioration_count,business_unknown,price_business_divergence,market_volatility_percentile,market_drawdown_63d,market_rebound_after_stress,sector_relative_return_63d
META,PROFIT_TREND_DECELERATION_V2,0.8,2023-08-31,F08,CONTINUATION,293.3142395,0.307576075405965,0.1331843474489419,0.2306820565544737,0.3844700942574563,0.6993913740761297,-0.0254824491737639,125,39,True,True,0.6854865217002191,0.0261487842390923,2024-03-04,0.8975736782558684,0.850897304671855,0.28358478680596,-0.0337893131689589,0.0897913570305019,0.1586719287196605,PASS,GENERAL,2.0,0.0,0.07933596435983024,0.2629745733194009,-0.016251943587472173,0.0,0.0038582580278008205
MRK,PROFIT_RELATIVE_BREAK_V2,0.8,2023-11-30,F08,CONTINUATION,94.07331085,0.1528940473583052,0.0662050645498567,0.1146705355187289,0.1911175591978816,0.3051178404443284,0.0095627246651754,81,1,True,True,0.2702025252468298,-0.0094721451491257,2024-06-03,0.0,0.4777578051671804,0.2394947041253048,-0.1260854746201959,0.0425399037774265,-0.0344444671702016,PASS,GENERAL,1.0,0.0,0.0,0.5153374233128835,0.0,0.0,-0.02722890167501768
MSFT,PROFIT_TREND_DECELERATION_V2,0.8,2023-12-31,F08,CONTINUATION,368.8730469,0.2045925562217286,0.0885911755566064,0.1534444171662964,0.2557406952771608,0.2258249034459341,-0.0220457422095265,126,4,True,True,0.2258249034459341,0.022542713050133,2024-07-02,0.4570870760780269,0.7172522148065497,0.202380365003099,0.1095445097834996,0.0910345577672526,0.0925230472567708,PASS,GENERAL,1.0,0.0,0.0231307618141927,0.45362220717670954,-0.0028948546549893983,0.0,0.0603539665818047
MSFT,PROFIT_RELATIVE_BREAK_V2,0.8,2023-12-31,F08,CONTINUATION,368.8730469,0.2045925562217286,0.0885911755566064,0.1534444171662964,0.2557406952771608,0.2258249034459341,-0.0220457422095265,126,4,True,True,0.2258249034459341,0.022542713050133,2024-07-02,0.4570870760780269,0.7172522148065497,0.202380365003099,0.1095445097834996,0.0910345577672526,0.0925230472567708,PASS,GENERAL,1.0,0.0,0.0231307618141927,0.45362220717670954,-0.0028948546549893983,0.0,0.0603539665818047
MSFT,PROFIT_RELATIVE_BREAK_V2,0.9,2023-12-31,F08,CONTINUATION,368.8730469,0.2045925562217286,0.0885911755566064,0.1534444171662964,0.2557406952771608,0.2258249034459341,-0.0220457422095265,126,4,True,True,0.2258249034459341,0.022542713050133,2024-07-02,0.4570870760780269,0.7172522148065497,0.202380365003099,0.1095445097834996,0.0910345577672526,0.0925230472567708,PASS,GENERAL,1.0,0.0,0.0231307618141927,0.45362220717670954,-0.0028948546549893983,0.0,0.0603539665818047
NEE,PROFIT_RELATIVE_BREAK_V2,0.8,2023-09-30,F08,TRADABLE_PULLBACK,52.79983521,0.253053674021349,0.1095754551117372,0.1897902555160117,0.3163170925266862,0.1349240235630651,-0.1391168082397506,124,6,True,True,0.1166331433707519,0.1615977749028856,2024-04-02,0.0,0.8071964319744479,0.2447772763376628,-0.2857942581003038,0.0083927562373879,-0.1922356013146544,PASS,GENERAL,0.0,0.0,0.0,0.2884814942926323,-0.0629155102695862,0.0,-0.05994172652283036
NEE,PROFIT_RELATIVE_BREAK_V2,0.9,2023-09-30,F08,TRADABLE_PULLBACK,52.79983521,0.253053674021349,0.1095754551117372,0.1897902555160117,0.3163170925266862,0.1349240235630651,-0.1391168082397506,124,6,True,True,0.1166331433707519,0.1615977749028856,2024-04-02,0.0,0.8071964319744479,0.2447772763376628,-0.2857942581003038,0.0083927562373879,-0.1922356013146544,PASS,GENERAL,0.0,0.0,0.0,0.2884814942926323,-0.0629155102695862,0.0,-0.05994172652283036
NEE,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2023-09-30,F08,TRADABLE_PULLBACK,52.79983521,0.253053674021349,0.1095754551117372,0.1897902555160117,0.3163170925266862,0.1349240235630651,-0.1391168082397506,124,6,True,True,0.1166331433707519,0.1615977749028856,2024-04-02,0.0,0.8071964319744479,0.2447772763376628,-0.2857942581003038,0.0083927562373879,-0.1922356013146544,PASS,GENERAL,0.0,0.0,0.0,0.2884814942926323,-0.0629155102695862,0.0,-0.05994172652283036
NEE,PROFIT_DOWNSIDE_EXPANSION_V2,0.9,2023-09-30,F08,TRADABLE_PULLBACK,52.79983521,0.253053674021349,0.1095754551117372,0.1897902555160117,0.3163170925266862,0.1349240235630651,-0.1391168082397506,124,6,True,True,0.1166331433707519,0.1615977749028856,2024-04-02,0.0,0.8071964319744479,0.2447772763376628,-0.2857942581003038,0.0083927562373879,-0.1922356013146544,PASS,GENERAL,0.0,0.0,0.0,0.2884814942926323,-0.0629155102695862,0.0,-0.05994172652283036
NEM,PROFIT_RELATIVE_BREAK_V2,0.8,2024-01-31,F08,CONTINUATION,32.96505737,0.3498310845578632,0.1514813031302858,0.2623733134183974,0.4372888556973291,0.455831518244981,-0.1347432855992022,126,18,True,True,0.455831518244981,0.155726368090092,2024-08-01,0.0,0.6532917186655223,0.3026888534707738,-0.1056475873786497,0.0293042817622742,-0.0893898346603093,VETO,GENERAL,4.0,0.0,0.0,0.26554621848739496,-0.017078069547815433,0.0,-0.07332842491177627
NFLX,PROFIT_TREND_DECELERATION_V2,0.8,2023-09-30,F08,CONTINUATION,37.75999832,0.3431837632024528,0.1486029285498336,0.2573878224018396,0.428979704003066,0.6664195601055314,-0.0831832356924745,122,13,True,True,0.6266155763430659,0.0907304915560778,2024-04-02,0.4635118502565243,0.5604790041468601,0.2677888192578218,-0.0937724096314443,-0.035276155093401,-0.0505375700972265,PASS,GENERAL,0.0,0.0,0.0,0.2884814942926323,-0.0629155102695862,0.0,0.04228463153946471
NFLX,PROFIT_TREND_DECELERATION_V2,0.9,2023-09-30,F08,CONTINUATION,37.75999832,0.3431837632024528,0.1486029285498336,0.2573878224018396,0.428979704003066,0.6664195601055314,-0.0831832356924745,122,13,True,True,0.6266155763430659,0.0907304915560778,2024-04-02,0.4635118502565243,0.5604790041468601,0.2677888192578218,-0.0937724096314443,-0.035276155093401,-0.0505375700972265,PASS,GENERAL,0.0,0.0,0.0,0.2884814942926323,-0.0629155102695862,0.0,0.04228463153946471
NFLX,PROFIT_RELATIVE_BREAK_V2,0.8,2023-09-30,F08,CONTINUATION,37.75999832,0.3431837632024528,0.1486029285498336,0.2573878224018396,0.428979704003066,0.6664195601055314,-0.0831832356924745,122,13,True,True,0.6266155763430659,0.0907304915560778,2024-04-02,0.4635118502565243,0.5604790041468601,0.2677888192578218,-0.0937724096314443,-0.035276155093401,-0.0505375700972265,PASS,GENERAL,0.0,0.0,0.0,0.2884814942926323,-0.0629155102695862,0.0,0.04228463153946471
NKE,PROFIT_RELATIVE_BREAK_V2,0.8,2023-12-31,F08,NOISE,102.682663,0.3309959599780373,0.1433254549454988,0.248246969983528,0.4137449499725466,-0.0128026812082191,-0.3005905719449446,29,124,False,False,-0.2943732373789333,0.4297776951346488,2024-07-02,0.0976964884933614,0.349955147162605,0.2734250020322589,0.157898721350815,-0.0263468809776715,0.0403611878390091,PASS,GENERAL,2.0,0.0,0.02018059391950455,0.45362220717670954,-0.0028948546549893983,0.0,-0.003650492770668201
NKE,PROFIT_RELATIVE_BREAK_V2,0.9,2023-12-31,F08,NOISE,102.682663,0.3309959599780373,0.1433254549454988,0.248246969983528,0.4137449499725466,-0.0128026812082191,-0.3005905719449446,29,124,False,False,-0.2943732373789333,0.4297776951346488,2024-07-02,0.0976964884933614,0.349955147162605,0.2734250020322589,0.157898721350815,-0.0263468809776715,0.0403611878390091,PASS,GENERAL,2.0,0.0,0.02018059391950455,0.45362220717670954,-0.0028948546549893983,0.0,-0.003650492770668201
