ticker,hypothesis_id,threshold,signal_date,fold_id,label,signal_price,signal_volatility,pullback_threshold,continuation_threshold,structural_threshold,mfe,mae,time_to_high_days,time_to_low_days,low_before_high,recovery_after_low,terminal_return,gross_oracle_opportunity,outcome_end
KO,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2022-09-30,F07,CONTINUATION,50.1556282,0.16231978899357852,0.07028653040268436,0.12173984174518389,0.20289973624197316,0.15684366226321123,-0.0290967512993886,44,6,True,True,0.13039256100873642,0.029968744402008918,2023-04-03
KO,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2023-01-31,F07,NOISE,55.29017639,0.16528607901165554,0.07157097165800781,0.12396455925874166,0.2066075987645694,0.05664072579385748,-0.04011732309107208,62,20,True,True,0.025941928451858054,0.04179398592780137,2023-08-02
LIN,PROFIT_TREND_DECELERATION_V2,0.8,2022-12-31,F07,NOISE,311.594635,0.2678541856182128,0.11598426462768234,0.20089063921365957,0.334817732022766,0.17693281882083745,-0.06343123173478249,124,3,True,True,0.13418906137456443,0.06772725493748255,2023-07-05
LIN,PROFIT_TREND_DECELERATION_V2,0.9,2022-12-31,F07,NOISE,311.594635,0.2678541856182128,0.11598426462768234,0.20089063921365957,0.334817732022766,0.17693281882083745,-0.06343123173478249,124,3,True,True,0.13418906137456443,0.06772725493748255,2023-07-05
LIN,PROFIT_RELATIVE_BREAK_V2,0.8,2022-08-31,F07,CONTINUATION,268.1583557,0.28672998933412125,0.12415772739509505,0.21504749200059092,0.3584124866676516,0.2909386843320354,-0.06191216513340225,126,17,True,True,0.2909386843320354,0.06599826032517164,2023-03-03
LIN,PROFIT_RELATIVE_BREAK_V2,0.8,2023-01-31,F07,CONTINUATION,316.1418457,0.234942804218246,0.1017332184446774,0.17620710316368451,0.29367850527280753,0.1903227194323931,-0.02846446910586886,120,13,True,True,0.1682233302024403,0.029298433459939544,2023-08-02
LIN,PROFIT_RELATIVE_BREAK_V2,0.9,2022-08-31,F07,CONTINUATION,268.1583557,0.28672998933412125,0.12415772739509505,0.21504749200059092,0.3584124866676516,0.2909386843320354,-0.06191216513340225,126,17,True,True,0.2909386843320354,0.06599826032517164,2023-03-03
LIN,PROFIT_RELATIVE_BREAK_V2,0.9,2023-01-31,F07,CONTINUATION,316.1418457,0.234942804218246,0.1017332184446774,0.17620710316368451,0.29367850527280753,0.1903227194323931,-0.02846446910586886,120,13,True,True,0.1682233302024403,0.029298433459939544,2023-08-02
LIN,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2023-01-31,F07,CONTINUATION,316.1418457,0.234942804218246,0.1017332184446774,0.17620710316368451,0.29367850527280753,0.1903227194323931,-0.02846446910586886,120,13,True,True,0.1682233302024403,0.029298433459939544,2023-08-02
LLY,PROFIT_RELATIVE_BREAK_V2,0.8,2022-11-30,F07,TRADABLE_PULLBACK,361.1445618,0.29788389338760807,0.12898750952594198,0.22341292004070606,0.37235486673451007,0.19910985185988195,-0.1601946428644797,117,65,True,True,0.19897414083115783,0.19075210881112414,2023-06-02
