ticker,cik,accession_number,form,filing_date,accepted_at,items,primary_document,archive_dir,index_json_url,classification_status
KKR,0001404912,0001140361-23-055118,8-K,2023-11-29,2023-11-29T11:50:27.000Z,7.01,ny20015492x1_8k.htm,https://www.sec.gov/Archives/edgar/data/1404912/000114036123055118,https://www.sec.gov/Archives/edgar/data/1404912/000114036123055118/index.json,NOT_CLASSIFIED
SMCI,0001375365,0001375365-23-000044,8-K,2023-12-08,2023-12-08T21:16:18.000Z,7.01,smci-20231206.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000044,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000044/index.json,NOT_CLASSIFIED
KKR,0001404912,0001140361-23-057574,8-K,2023-12-14,2023-12-14T11:50:47.000Z,7.01,ef20016553_8k.htm,https://www.sec.gov/Archives/edgar/data/1404912/000114036123057574,https://www.sec.gov/Archives/edgar/data/1404912/000114036123057574/index.json,NOT_CLASSIFIED
ACGL,0000947484,0000947484-23-000136,8-K,2023-12-21,2023-12-21T21:13:07.000Z,7.01,acgl-20231221.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748423000136,https://www.sec.gov/Archives/edgar/data/947484/000094748423000136/index.json,NOT_CLASSIFIED
KKR,0001404912,0001140361-24-000173,8-K,2024-01-02,2024-01-02T21:35:23.000Z,7.01,ef20017900_8k.htm,https://www.sec.gov/Archives/edgar/data/1404912/000114036124000173,https://www.sec.gov/Archives/edgar/data/1404912/000114036124000173/index.json,NOT_CLASSIFIED
PODD,0001145197,0001145197-24-000004,8-K,2024-01-18,2024-01-18T21:02:48.000Z,7.01,podd-20240118.htm,https://www.sec.gov/Archives/edgar/data/1145197/000114519724000004,https://www.sec.gov/Archives/edgar/data/1145197/000114519724000004/index.json,NOT_CLASSIFIED
SMCI,0001375365,0001375365-24-000002,8-K,2024-01-18,2024-01-18T21:12:08.000Z,2.02,smci-20240118.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000002,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000002/index.json,NOT_CLASSIFIED
STLD,0001022671,0001104659-24-006167,8-K,2024-01-24,2024-01-24T17:14:47.000Z,2.02,tm244011d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1022671/000110465924006167,https://www.sec.gov/Archives/edgar/data/1022671/000110465924006167/index.json,NOT_CLASSIFIED
LUMN,0000018926,0001193125-24-014926,8-K,2024-01-25,2024-01-25T14:06:06.000Z,7.01,d717359d8k.htm,https://www.sec.gov/Archives/edgar/data/18926/000119312524014926,https://www.sec.gov/Archives/edgar/data/18926/000119312524014926/index.json,NOT_CLASSIFIED
KKR,0001404912,0001404912-24-000002,8-K,2024-02-06,2024-02-06T11:50:07.000Z,2.02,kkr-20240206.htm,https://www.sec.gov/Archives/edgar/data/1404912/000140491224000002,https://www.sec.gov/Archives/edgar/data/1404912/000140491224000002/index.json,NOT_CLASSIFIED
LUMN,0000018926,0000018926-24-000008,8-K,2024-02-06,2024-02-06T21:11:13.000Z,"2.02,7.01",lumn-20240206.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892624000008,https://www.sec.gov/Archives/edgar/data/18926/000001892624000008/index.json,NOT_CLASSIFIED
ILMN,0001110803,0001110803-24-000007,8-K,2024-02-08,2024-02-08T21:13:11.000Z,2.02,ilmn-20240208.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080324000007,https://www.sec.gov/Archives/edgar/data/1110803/000111080324000007/index.json,NOT_CLASSIFIED
NWL,0000814453,0000814453-24-000013,8-K,2024-02-09,2024-02-09T12:34:02.000Z,2.02,nwl-20240209.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445324000013,https://www.sec.gov/Archives/edgar/data/814453/000081445324000013/index.json,NOT_CLASSIFIED
ACGL,0000947484,0000947484-24-000007,8-K,2024-02-14,2024-02-14T21:13:46.000Z,2.02,acgl-20240214.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748424000007,https://www.sec.gov/Archives/edgar/data/947484/000094748424000007/index.json,NOT_CLASSIFIED
BLDR,0001316835,0000950170-24-018404,8-K,2024-02-22,2024-02-22T12:00:11.000Z,2.02,bldr-20240222.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017024018404,https://www.sec.gov/Archives/edgar/data/1316835/000095017024018404/index.json,NOT_CLASSIFIED
