ticker,hypothesis_id,threshold,signal_date,fold_id,label,signal_price,signal_volatility,pullback_threshold,continuation_threshold,structural_threshold,mfe,mae,time_to_high_days,time_to_low_days,low_before_high,recovery_after_low,terminal_return,gross_oracle_opportunity,outcome_end,trend_quality,sector_alignment,return_concentration,intraday_return_share,overnight_return_share,capital_gain_overhang_proxy
SLB,PROFIT_RELATIVE_BREAK_V2,0.8,2017-10-31,F02,CONTINUATION,49.92131805,0.1564357845884665,0.0677386817572811,0.1173268384413499,0.1955447307355831,0.2564434359921712,-0.0420313978468764,55,12,True,True,0.0739044459183704,0.0438755484808239,2018-05-03,0.0,0.5876496229619251,0.21815059562476516,-0.06443142560664011,-0.043272253207605305,-0.04069366017184406
SLB,PROFIT_RELATIVE_BREAK_V2,0.9,2017-10-31,F02,CONTINUATION,49.92131805,0.1564357845884665,0.0677386817572811,0.1173268384413499,0.1955447307355831,0.2564434359921712,-0.0420313978468764,55,12,True,True,0.0739044459183704,0.0438755484808239,2018-05-03,0.0,0.5876496229619251,0.21815059562476516,-0.06443142560664011,-0.043272253207605305,-0.04069366017184406
SLB,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2017-10-31,F02,CONTINUATION,49.92131805,0.1564357845884665,0.0677386817572811,0.1173268384413499,0.1955447307355831,0.2564434359921712,-0.0420313978468764,55,12,True,True,0.0739044459183704,0.0438755484808239,2018-05-03,0.0,0.5876496229619251,0.21815059562476516,-0.06443142560664011,-0.043272253207605305,-0.04069366017184406
SLB,PROFIT_DOWNSIDE_EXPANSION_V2,0.9,2017-11-30,F02,CONTINUATION,49.02429199,0.2068780962274686,0.0895808434097747,0.1551585721706015,0.2585976202843358,0.2794333142596803,-0.0047070268765343,34,4,True,True,0.1153543763804592,0.0047292877611329,2018-06-04,0.0,0.7287799267925794,0.2757336548195742,-0.0045125896188827515,0.001246015131448684,-0.040898566646870305
SO,PROFIT_TREND_DECELERATION_V2,0.8,2017-12-31,F02,TRADABLE_PULLBACK,34.06430054,0.1276031105600271,0.0552537676734489,0.0957023329200203,0.1595038882000339,0.0018973649532039,-0.0987731800348894,126,26,True,True,0.0018973649532039,0.1095985803426413,2018-07-02,0.6589659946683971,0.5710058088468125,0.2486850896391466,-0.03203250990869316,0.010966705867566873,-0.022832510352348345
SO,PROFIT_TREND_DECELERATION_V2,0.9,2017-12-31,F02,TRADABLE_PULLBACK,34.06430054,0.1276031105600271,0.0552537676734489,0.0957023329200203,0.1595038882000339,0.0018973649532039,-0.0987731800348894,126,26,True,True,0.0018973649532039,0.1095985803426413,2018-07-02,0.6589659946683971,0.5710058088468125,0.2486850896391466,-0.03203250990869316,0.010966705867566873,-0.022832510352348345
SO,PROFIT_RELATIVE_BREAK_V2,0.8,2017-11-30,F02,NOISE,36.26725006,0.1280238553222659,0.0554359554997529,0.0960178914916994,0.1600298191528325,0.0093749586593276,-0.1535156043204011,7,46,False,False,-0.1185523626105331,0.1813566854911144,2018-06-04,0.4104257814835325,0.6651383537323644,0.25724435179280225,0.16565549631048276,-0.020895113055649638,0.04448366794974734
SO,PROFIT_RELATIVE_BREAK_V2,0.8,2018-01-31,F02,NOISE,31.95343399,0.1480521941972939,0.0641084806304418,0.1110391456479704,0.1850652427466174,0.1067987312746412,-0.0392374960510465,125,5,True,True,0.0949564137910674,0.0408399535678916,2018-08-01,0.0,0.6369669311248283,0.26045537932648855,-0.22990409286025834,0.006418893703407656,-0.07127544634021044
SO,PROFIT_RELATIVE_BREAK_V2,0.9,2017-08-31,F02,NOISE,33.80297852,0.1235776084310922,0.0535106741201259,0.0926832063233192,0.1544720105388653,0.1033983022511471,-0.0918060302929779,44,109,False,False,-0.0479817291556237,0.1010863685018677,2018-03-05,0.0,0.7469354630280061,0.24692001832469337,-0.11312911049225802,0.025258709469202854,-0.009566077725050581
SO,PROFIT_RELATIVE_BREAK_V2,0.9,2017-11-30,F02,NOISE,36.26725006,0.1280238553222659,0.0554359554997529,0.0960178914916994,0.1600298191528325,0.0093749586593276,-0.1535156043204011,7,46,False,False,-0.1185523626105331,0.1813566854911144,2018-06-04,0.4104257814835325,0.6651383537323644,0.25724435179280225,0.16565549631048276,-0.020895113055649638,0.04448366794974734
SO,PROFIT_RELATIVE_BREAK_V2,0.9,2018-01-31,F02,NOISE,31.95343399,0.1480521941972939,0.0641084806304418,0.1110391456479704,0.1850652427466174,0.1067987312746412,-0.0392374960510465,125,5,True,True,0.0949564137910674,0.0408399535678916,2018-08-01,0.0,0.6369669311248283,0.26045537932648855,-0.22990409286025834,0.006418893703407656,-0.07127544634021044
SO,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2017-12-31,F02,TRADABLE_PULLBACK,34.06430054,0.1276031105600271,0.0552537676734489,0.0957023329200203,0.1595038882000339,0.0018973649532039,-0.0987731800348894,126,26,True,True,0.0018973649532039,0.1095985803426413,2018-07-02,0.6589659946683971,0.5710058088468125,0.2486850896391466,-0.03203250990869316,0.010966705867566873,-0.022832510352348345
TSLA,PROFIT_TREND_DECELERATION_V2,0.8,2017-11-30,F02,TRADABLE_PULLBACK,20.59000015,0.341735244291084,0.1479757014622799,0.256301433218313,0.4271690553638551,0.1572607545609949,-0.1825157548626826,58,82,False,True,-0.0392099555181403,0.2232651649843411,2018-06-04,0.0,0.16634692419235567,0.23919999293373195,-0.0640613536775435,-0.03601562934996309,-0.09593522612432737
UNH,PROFIT_RELATIVE_EXTENSION_V2,0.9,2017-08-31,F02,CONTINUATION,171.4378662,0.1069702084033736,0.05,0.0802276563025302,0.15,0.2581950258781278,-0.0322892417101258,101,16,True,True,0.1564639901006888,0.0333666247207864,2018-03-05,0.9269408501503247,0.7069621246159514,0.1890884503820274,0.06731820272013722,0.16695973206614378,0.11997545247008956
UNH,PROFIT_TREND_DECELERATION_V2,0.8,2017-09-30,F02,CONTINUATION,169.449646,0.1090685580880121,0.05,0.081801418566009,0.15,0.2729579293426201,-0.0170029821130461,81,10,True,True,0.154374513712469,0.0172970841250319,2018-04-03,0.9321170105149132,0.6362321880653764,0.1833555799279929,-0.043471637761763805,0.17376416811100334,0.07328762892164531
UNH,PROFIT_TREND_DECELERATION_V2,0.8,2017-12-31,F02,CONTINUATION,191.3862,0.1905421376848385,0.0825071658632312,0.1429066032636289,0.2381776721060481,0.1690827624980275,-0.0326872569704608,115,57,True,True,0.130262847582532,0.0337918188362609,2018-07-02,0.887387455766885,0.6018497740683952,0.2852027186575943,0.07785702082566115,0.09252700909493784,0.090578547535485
UNH,PROFIT_RELATIVE_BREAK_V2,0.8,2017-09-30,F02,CONTINUATION,169.449646,0.1090685580880121,0.05,0.081801418566009,0.15,0.2729579293426201,-0.0170029821130461,81,10,True,True,0.154374513712469,0.0172970841250319,2018-04-03,0.9321170105149132,0.6362321880653764,0.1833555799279929,-0.043471637761763805,0.17376416811100334,0.07328762892164531
UNH,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2017-09-30,F02,CONTINUATION,169.449646,0.1090685580880121,0.05,0.081801418566009,0.15,0.2729579293426201,-0.0170029821130461,81,10,True,True,0.154374513712469,0.0172970841250319,2018-04-03,0.9321170105149132,0.6362321880653764,0.1833555799279929,-0.043471637761763805,0.17376416811100334,0.07328762892164531
