ticker,cik,accession_number,accepted_at,document_name,source_url,source_sha256,metric,fiscal_period,accounting_basis,metric_subtype,unit,lower_bound,upper_bound,midpoint,numeric_role,sign,source_structure,range_offset,range_role,semantic_role,table_index,row_index,column_index,row_header,header_path,source_excerpt,candidate_status,block_path,source_kind,review_priority,v10_candidate_origin
NOVT,0001076930,0001564590-21-026295,2021-05-11T11:57:25.000Z,novt-ex991_16.htm,https://www.sec.gov/Archives/edgar/data/1076930/000156459021026295/novt-ex991_16.htm,5fc98a4dcff7fa40a5578a90f3ff1893eeb53a7d80d096bfbd678f67a38a6fef,REVENUE,FY2021,GAAP,NOT_APPLICABLE,USD,645000000,655000000,650000000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,74,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the full year 2021, the Company expects GAAP revenue of approximately $645 million to $655 million.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[36],HTML_P,6e643681dd55e5838e80bb9908026ce4b135ff73de7bf7c1bd42668f1be000bb,FINAL_EXPANSION
BCHT,0000728385,0001477932-22-001292,2022-03-10T13:00:25.000Z,meec_ex991.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793222001292/meec_ex991.htm,55b4340255524d1a31d1bb0d4dbc3509bd8570d6d337adfee7f56651937bd77a,REVENUE,FY2022,UNSPECIFIED,NOT_APPLICABLE,USD,20000000,22000000,21000000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,575,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"MacPherson will also discuss the Company's previously announced expectations of full-year 2021 preliminary unaudited revenues of approximately $13.0 million compared to approximately $8.2 million for 2020, and full year 2022 preliminary revenue guidance in the range of approximately $20 to $22 million, representing 60% year-over-year revenue growth.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[12],HTML_P,492b894110338ebb86bf7f0422d1a7609e2d3f914214bbc225288edfa5a6ada7,FINAL_EXPANSION
RPAY,0001720592,0001564590-22-019271,2022-05-10T20:07:46.000Z,rpay-ex991_8.htm,https://www.sec.gov/Archives/edgar/data/1720592/000156459022019271/rpay-ex991_8.htm,b6664f7d0223890d9778db2feeb85efcec27b4ac02d930ce0231cef67f8e8b4c,REVENUE,FY2022,UNSPECIFIED,NOT_APPLICABLE,USD,296000000,306000000,301000000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,7,2,1,Total Revenue,Full Year 2022 Outlook | $27 - 28 billion,| Total Revenue | $296 - 306 million,V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,,,310c322cd683a0f1b4682aef268d5859cf8a554f5b237206bc90ede0e5bb3b62,FINAL_EXPANSION
RPAY,0001720592,0000950170-22-016048,2022-08-09T20:09:08.000Z,rpay-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1720592/000095017022016048/rpay-ex99_1.htm,9e96d4088cf5ac39ae1cebfc96fe642bc35f8b162ea8ee981152b62ef76eb441,REVENUE,FY2022,UNSPECIFIED,NOT_APPLICABLE,USD,268000000,286000000,277000000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,0,3,1,Total Revenue,Full Year 2022 Outlook | $25.0 - 26.3 billion,"Gross profit represents total revenue less cost of services. Adjusted EBITDA, Adjusted Net Income, and Adjusted Net Income per share are non-GAAP financial measures. See “Non-GAAP Financial Measures” and the reconciliations of Adjusted EBITDA and Adjusted Net Income to their most comparable GAAP measures provided below for additional information. | 2022 Outlook Update | REPAY now expects the following financial results for full year 2022, which replaces previously provided guidance. | Total Revenue | $268 - 286 million",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,,,8da8b635ef4e297d084e0363acd8836e3e6cccc68335f6a07d2012865cdefebd,FINAL_EXPANSION
RPAY,0001720592,0000950170-22-023847,2022-11-09T21:09:45.000Z,rpay-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1720592/000095017022023847/rpay-ex99_1.htm,4abdb8eae5d92848ff1e53af31d8d6f292efb704d46b7e75c45ea78e9714d40b,REVENUE,FY2022,UNSPECIFIED,NOT_APPLICABLE,USD,268000000,286000000,277000000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,1,3,1,Revenue,Full Year 2022 Outlook | $25.0 - 26.3 billion,"1 Organic gross profit growth is a non-GAAP financial measure. See “Non-GAAP Financial Measures” and the reconciliation to its most comparable GAAP measure provided below for additional information. | 2022 Outlook | REPAY reiterates its previously provided guidance for full year 2022, as shown below. | Revenue | $268 - 286 million",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,,,40125bf888b7b7bdd6852219750102b91f427477c5b22f05bb030752cbacdfc8,FINAL_EXPANSION
RPAY,0001720592,0000950170-23-020536,2023-05-10T20:16:14.000Z,rpay-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1720592/000095017023020536/rpay-ex99_1.htm,0f89a35ef0f480dcb855e6334032633359daeac53f181c77f0b54d21a4bc6f65,REVENUE,FY2023,UNSPECIFIED,NOT_APPLICABLE,USD,272000000,288000000,280000000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,2,3,1,Revenue,Full Year 2023 Outlook | $26.0 - 27.2 billion,"2023 Outlook | “We're off to a strong start in 2023 and feel good about our Q1 results. Based on the current macroeconomic uncertainty, we are reaffirming our 2023 outlook,” said Tim Murphy, CFO of REPAY. “We continue to expect adjusted free cash flow conversion to remain strong in 2023, accelerating throughout the year into 2024 as we realize the benefits from investments we’ve made in sales, product, and technology over the past several years.” | REPAY reiterates its previously provided outlook for full year 2023, as shown below. | Revenue | $272 - 288 million",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,,,25c75d6c2767bb58cbb7b09928cad265cd08c701004cdf7f526dd68422730c4e,FINAL_EXPANSION
NOVT,0001076930,0000950170-23-039378,2023-08-08T12:00:34.000Z,novt-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1076930/000095017023039378/novt-ex99_1.htm,d04986f8c433e7432c4efd515d7774760ce5669e8570304d95a231e2fc045d1a,REVENUE,Q3-2023,GAAP,NOT_APPLICABLE,USD,221000000,224000000,222500000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,81,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the third quarter of 2023, the Company expects GAAP revenue of approximately $221 million to $224 million.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[36],HTML_P,580d8f755db1ee2aa9b2df401119d15045ca8548a04219cc2aad6196c1ca300e,FINAL_EXPANSION
NOVT,0001076930,0000950170-23-039378,2023-08-08T12:00:34.000Z,novt-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1076930/000095017023039378/novt-ex99_1.htm,d04986f8c433e7432c4efd515d7774760ce5669e8570304d95a231e2fc045d1a,REVENUE,FY2023,GAAP,NOT_APPLICABLE,USD,892000000,902000000,897000000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,74,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the full year 2023, the Company expects GAAP revenue of approximately $892 million to $902 million.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[38],HTML_P,6f722b137779622681352fdcd8ab8bace0f1c90ea3d0c8ce39ec74e87a76adc2,FINAL_EXPANSION
RPAY,0001720592,0000950170-23-062030,2023-11-09T21:08:22.000Z,rpay-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1720592/000095017023062030/rpay-ex99_1.htm,057601345e0b387d6a6187f7f3af1e979f7ca09e86846cdd48ba0feacd77785e,REVENUE,FY2023,UNSPECIFIED,NOT_APPLICABLE,USD,286000000,292000000,289000000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,2,3,1,Revenue,Full Year 2023 Outlook | $26.0 - 27.2 billion,"2023 Outlook Update | “We have solid momentum heading into the fourth quarter and are confident in the fundamentals of our business model. Based on the results from the first nine months of the year, as well as current trends, we are raising the midpoint of our 2023 revenue outlook,” said Tim Murphy, CFO of REPAY. “We expect adjusted free cash flow conversion to accelerate into 2024 as we realize the benefits from investments we've made in sales, product and technology over the past several years.” | REPAY now expects the following financial results for full year 2023, which replaces the previously provided outlook. | Revenue | $286 - 292 million",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,,,072b5ec677ea2aa91046ac9a038e2cff85a041047c4ddf1d844681ea3906369a,FINAL_EXPANSION
RPAY,0001720592,0000950170-24-023078,2024-02-29T21:10:51.000Z,rpay-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1720592/000095017024023078/rpay-ex99_1.htm,d7616d956701385275e6028df52fe9be79d43c566a2a5634500ff8a30fb76cfd,REVENUE,FY2024,UNSPECIFIED,NOT_APPLICABLE,USD,314000000,320000000,317000000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,2,2,1,Revenue,Full Year 2024 Outlook,"2024 Outlook | “In 2024, we expect Adjusted EBITDA to grow faster than gross profit, and we also expect to reduce capital expenditures, leading to an acceleration of cash conversion,” said Tim Murphy, CFO of REPAY. “We expect Free Cash Flow Conversion to improve throughout 2024 as we realize the benefits from investments we’ve made in sales, product, and technology over the past several years. We have always focused on profitable growth, refining processes across the business where we can scale through automation while also maintaining investments towards innovation.” | REPAY expects the following financial results for full year 2024. | Revenue | $314 - 320 million",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,,,1507b28d0d7aa7358afa2050a97931ba51643ed9932a1be9b7a9dcf36d5416c2,FINAL_EXPANSION
NOVT,0001076930,0000950170-24-091213,2024-08-06T12:00:09.000Z,novt-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1076930/000095017024091213/novt-ex99_1.htm,04f0a560102f775de9b2ac0f3ddee4f16ea03f2b033405f0edac72bda5f1076d,REVENUE,Q3-2024,GAAP,NOT_APPLICABLE,USD,241000000,244000000,242500000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,81,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the third quarter of 2024, the Company expects GAAP revenue of approximately $241 million to $244 million.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/p[31],HTML_P,dc8a19a09528a8ca7ba17d9c41a4e751740b2fb39c80ccb4ec86000bd6b067ca,FINAL_EXPANSION
RPAY,0001720592,0001193125-26-204004,2026-05-04T20:12:29.000Z,rpay-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1720592/000119312526204004/rpay-ex99_1.htm,76c3fb85f97dfe8895ef2cc1564a098485cf5a9d217365f0d33e9cfc2ebfc3f6,REVENUE,FY2026,UNSPECIFIED,NOT_APPLICABLE,USD,340000000,346000000,343000000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,HTML_TABLE_GRID,0,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,1,2,3,Revenue,Updated Full Year 2026 Outlook,"2026 Outlook Update | “After a strong start to the year and execution on our strategic initiatives, we are raising our 2026 Adjusted EBITDA outlook to reflect approximately 42% Adjusted EBITDA margins,” said Robert Houser, Chief Financial Officer of REPAY. ""We have strong confidence in achieving double-digit Revenue growth with Free Cash Conversion of 45%. We look forward to closing the KUBRA acquisition in the coming weeks. The 2026 outlook does not include any contributions or expenditures related to the pending KUBRA acquisition."" | As we previously provided in the Preliminary Q1 Press Release on April 27th, REPAY updated its outlook for full year 2026. REPAY reiterates the 2026 outlook presented at that time and expects the following financial results for full year 2026. | Revenue | $340 - 346 million | | $340 - 346 million",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,,,917dc8328ed70ea22a5a7cdc2aa28778cf8eb66395397611cbf454f4b6f067b8,FINAL_EXPANSION
NOVT,0001076930,0001193125-26-216984,2026-05-11T20:45:18.000Z,novt-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312526216984/novt-ex99_1.htm,7e745fb45391406ab27b3a25f8324ac3c00f55f1eafdfe6a911ef5fca94b8008,REVENUE,Q2-2026,GAAP,NOT_APPLICABLE,USD,259000000,264000000,261500000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,87,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the second quarter of 2026, the Company expects GAAP revenue to be in the range of $259 million to $264 million.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/div[5]/p[11],HTML_P,99fbcbc3d459a2ccbd3d2723c30c34de7f31ae1557ef894b2a6c623c421c5402,FINAL_EXPANSION
NOVT,0001076930,0001193125-26-216984,2026-05-11T20:45:18.000Z,novt-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1076930/000119312526216984/novt-ex99_1.htm,7e745fb45391406ab27b3a25f8324ac3c00f55f1eafdfe6a911ef5fca94b8008,REVENUE,FY2026,GAAP,NOT_APPLICABLE,USD,1040000000,1055000000,1047500000,CURRENT_GUIDANCE_RANGE,AS_REPORTED,NARRATIVE_CLAUSE,79,CURRENT_CANDIDATE,CURRENT_GUIDANCE_RANGE,,,,,,"For the full year 2026, the Company expects GAAP revenue to be in the range of $1,040 million to $1,055 million.",V10_SIX_GRAMMAR_CORRECTED_NOT_SOURCE_REVIEWED,/html/body/document/type/sequence/filename/description/text/div[5]/p[13],HTML_P,04d2d9d21a1d2efc3471f1253acd55a8e3041871e0db683d9e450003c6a4a9dd,FINAL_EXPANSION
