ticker,signal_date,action,ratio,regime,signal_price,outcome_end,terminal_return_1m,mae_1m,mfe_1m,terminal_return_3m,mae_3m,mfe_3m,terminal_return_6m,mae_6m,mfe_6m,helpful_6m,forward_terminal_return_6m,forward_drawdown_6m,avoided_drawdown_opportunity_6m,foregone_terminal_upside_6m
AAPL,2018-08-14,SELL,0.05,HEALTHY_RUSH,49.59370804,2019-02-14,0.07942807355366277,0.002336183047787932,0.08872488555304248,-0.07104882795128054,-0.07104882795128054,0.1064122504359526,-0.17935120848043784,-0.3197324174109084,0.1064122504359526,True,,,0.3197324174109084,0.0
AAPL,2018-09-13,SELL,0.04,HEALTHY_RUSH,53.53284073,2019-03-18,-0.018992236655773653,-0.05282451839726976,0.024998587255057547,-0.242319472180194,-0.2532225283610501,0.024998587255057547,-0.1630880035683845,-0.3697888731487835,0.024998587255057547,True,,,0.3697888731487835,0.0
AAPL,2018-10-12,SELL,0.03,HEALTHY_RUSH,52.51613235,2019-04-16,-0.12274321911293606,-0.12274321911293606,0.0027914281467453783,-0.3084324165772272,-0.3575880330418125,0.0027914281467453783,-0.09593086666063289,-0.3575880330418125,0.0027914281467453783,True,,,0.3575880330418125,0.0
AAPL,2018-11-19,BUY,0.03,OPPORTUNITY_SCATTER,44.09845352,2019-05-23,-0.15619285054692778,-0.15619285054692778,-0.0055957774094750334,-0.06536215581103677,-0.23496201823269747,-0.0055957774094750334,-0.02547450738812207,-0.23496201823269747,0.14418435075316904,False,-0.02547450738812207,-0.23496201823269747,,
AAPL,2018-12-20,BUY,0.22,OPPORTUNITY_FLEE,37.21059036,2019-06-24,-0.018555373169843903,-0.09334972776282502,0.006949896991637061,0.20863018256074772,-0.09334972776282502,0.24929343125853065,0.2765390204897573,-0.09334972776282502,0.35597849756877675,True,0.2765390204897573,-0.09334972776282502,,
AAPL,2019-01-23,BUY,0.05,NORMAL_FLEE,36.52013397,2019-07-24,0.128585222711876,-0.007926226673697023,0.1320166619312102,0.3516663753355884,-0.007926226673697023,0.3537539010840598,0.36676184569867276,-0.007926226673697023,0.38161487719208376,True,0.36676184569867276,-0.007926226673697023,,
AAPL,2019-03-21,BUY,0.03,OPPORTUNITY_SCATTER,46.48694611,2019-09-19,0.04838780083934413,-0.04254466953626257,0.04838780083934413,0.026337336445007464,-0.10827107610145403,0.08539632374659356,0.14128682801529813,-0.10827107610145403,0.15487129188835413,True,0.14128682801529813,-0.10827107610145403,,
AAPL,2019-05-13,BUY,0.03,OPPORTUNITY_SCATTER,44.42462921,2019-11-08,0.04560655690388815,-0.06687449806179269,0.04894471329679795,0.08357627100158749,-0.06687449806179269,0.1471032532226284,0.4102543869043134,-0.06687449806179269,0.4102543869043134,True,0.4102543869043134,-0.06687449806179269,,
AAPL,2019-06-12,BUY,0.03,OPPORTUNITY_SCATTER,46.45068359,2019-12-10,0.04691269474598503,-0.007466923911420453,0.052628825693456394,0.1557728618994476,-0.007466923911420453,0.1557728618994476,0.39198299600309516,-0.007466923911420453,0.4035448488864748,True,0.39198299600309516,-0.007466923911420453,,
AAPL,2019-08-05,BUY,0.03,OPPORTUNITY_SCATTER,46.2473526,2020-02-04,0.08609089182761132,0.0189304775469461,0.10400309616857939,0.3281889024281144,0.0189304775469461,0.3281889024281144,0.6604033862037759,0.0189304775469461,0.6889924053728429,True,0.6604033862037759,0.0189304775469461,,
