ticker,active_report_periods,nonzero_report_periods,nonzero_fraction,evaluation_eligible
SPGI,52,52,1.0,true
SRE,52,52,1.0,true
STE,52,52,1.0,true
STLD,52,52,1.0,true
STT,52,52,1.0,true
STX,52,52,1.0,true
STZ,52,52,1.0,true
SW,7,7,1.0,true
SWK,52,52,1.0,true
SWKS,52,52,1.0,true
SYK,52,52,1.0,true
SYY,52,52,1.0,true
T,52,52,1.0,true
TAP,52,52,1.0,true
TDG,52,52,1.0,true
TDY,52,52,1.0,true
TECH,49,49,1.0,true
TEL,52,52,1.0,true
TER,52,52,1.0,true
TFC,52,52,1.0,true
TGT,52,52,1.0,true
TJX,52,52,1.0,true
TKO,11,11,1.0,true
TMO,52,52,1.0,true
TMUS,52,52,1.0,true
TPL,22,22,1.0,true
TPR,52,52,1.0,true
TRGP,52,52,1.0,true
TRMB,52,52,1.0,true
TROW,52,52,1.0,true
TRV,31,30,0.9677419355,true
TSCO,52,52,1.0,true
TSLA,52,52,1.0,true
TSN,52,52,1.0,true
TT,52,52,1.0,true
TTWO,52,52,1.0,true
TXN,52,52,1.0,true
TXT,52,52,1.0,true
TYL,52,52,1.0,true
UAL,52,52,1.0,true
UDR,52,52,1.0,true
UHS,52,52,1.0,true
ULTA,36,36,1.0,true
UNH,52,52,1.0,true
UNP,52,52,1.0,true
UPS,52,52,1.0,true
URI,52,52,1.0,true
USB,52,52,1.0,true
V,52,52,1.0,true
VLO,52,52,1.0,true
VMC,52,52,1.0,true
VRSK,52,52,1.0,true
VRSN,52,52,1.0,true
VRTX,52,52,1.0,true
VTR,52,52,1.0,true
VTRS,52,30,0.5769230769,false
VZ,52,52,1.0,true
WAB,52,52,1.0,true
WAT,52,52,1.0,true
WBD,52,52,1.0,true
WDC,52,52,1.0,true
WEC,52,52,1.0,true
WELL,52,52,1.0,true
WFC,52,52,1.0,true
WM,52,52,1.0,true
WMB,52,52,1.0,true
WMT,52,52,1.0,true
WRB,52,52,1.0,true
WSM,52,52,1.0,true
WST,52,52,1.0,true
WTW,50,50,1.0,true
WY,52,52,1.0,true
WYNN,52,52,1.0,true
XEL,52,52,1.0,true
XOM,52,52,1.0,true
XYL,52,52,1.0,true
YUM,52,52,1.0,true
ZBH,52,52,1.0,true
ZBRA,52,52,1.0,true
