issuer_cik,calendar_year,catalogAccessions,reviewSampleAccessions,downloadedAccessions,parsedAccessions,issuerRejectedAccessions,unresolvedSourceAccessions,downloadCoverage,parseCoverage,cellComplete
0000100885,2013,95,2,2,2,0,0,0.021052631578947368,0.021052631578947368,False
0000100885,2014,88,2,2,2,0,0,0.022727272727272728,0.022727272727272728,False
0000100885,2015,71,2,2,2,0,0,0.028169014084507043,0.028169014084507043,False
0000100885,2016,73,2,2,2,0,0,0.0273972602739726,0.0273972602739726,False
0000100885,2017,69,2,2,2,0,0,0.028985507246376812,0.028985507246376812,False
0000100885,2018,63,2,2,2,0,0,0.031746031746031744,0.031746031746031744,False
0000100885,2019,69,2,2,2,0,0,0.028985507246376812,0.028985507246376812,False
0000100885,2020,73,2,2,2,0,0,0.0273972602739726,0.0273972602739726,False
0000100885,2021,104,2,2,2,0,0,0.019230769230769232,0.019230769230769232,False
0000100885,2022,130,2,2,2,0,0,0.015384615384615385,0.015384615384615385,False
0000100885,2023,108,2,2,2,0,0,0.018518518518518517,0.018518518518518517,False
0000100885,2024,120,2,2,2,0,0,0.016666666666666666,0.016666666666666666,False
0000100885,2025,122,2,2,2,0,0,0.01639344262295082,0.01639344262295082,False
0000100885,2026,86,2,2,2,0,0,0.023255813953488372,0.023255813953488372,False
0000104169,2012,107,2,2,2,0,0,0.018691588785046728,0.018691588785046728,False
0000104169,2013,102,2,2,2,0,0,0.0196078431372549,0.0196078431372549,False
0000104169,2014,107,2,2,2,0,0,0.018691588785046728,0.018691588785046728,False
0000104169,2015,109,2,2,2,0,0,0.01834862385321101,0.01834862385321101,False
0000104169,2016,105,2,2,2,0,0,0.01904761904761905,0.01904761904761905,False
0000104169,2017,153,2,2,2,0,0,0.013071895424836602,0.013071895424836602,False
0000104169,2018,176,2,2,2,0,0,0.011363636363636364,0.011363636363636364,False
0000104169,2019,148,2,2,2,0,0,0.013513513513513514,0.013513513513513514,False
0000104169,2020,153,2,2,2,0,0,0.013071895424836602,0.013071895424836602,False
0000104169,2021,193,2,2,2,0,0,0.010362694300518135,0.010362694300518135,False
0000104169,2022,173,2,2,2,0,0,0.011560693641618497,0.011560693641618497,False
0000104169,2023,210,2,2,2,0,0,0.009523809523809525,0.009523809523809525,False
0000104169,2024,204,2,2,2,0,0,0.00980392156862745,0.00980392156862745,False
0000104169,2025,204,2,2,2,0,0,0.00980392156862745,0.00980392156862745,False
0000104169,2026,140,2,2,2,0,0,0.014285714285714285,0.014285714285714285,False
0000200406,2012,53,2,2,2,0,0,0.03773584905660377,0.03773584905660377,False
0000200406,2013,56,2,2,2,0,0,0.03571428571428571,0.03571428571428571,False
0000200406,2014,62,2,2,2,0,0,0.03225806451612903,0.03225806451612903,False
0000200406,2015,53,2,2,2,0,0,0.03773584905660377,0.03773584905660377,False
0000200406,2016,49,2,2,1,1,0,0.04081632653061224,0.02040816326530612,False
0000200406,2017,50,2,2,2,0,0,0.04,0.04,False
0000200406,2018,50,2,2,1,1,0,0.04,0.02,False
0000200406,2019,29,2,2,2,0,0,0.06896551724137931,0.06896551724137931,False
0000200406,2020,58,2,2,2,0,0,0.034482758620689655,0.034482758620689655,False
0000200406,2021,51,2,2,2,0,0,0.0392156862745098,0.0392156862745098,False
0000200406,2022,79,2,2,2,0,0,0.02531645569620253,0.02531645569620253,False
0000200406,2023,54,2,2,2,0,0,0.037037037037037035,0.037037037037037035,False
0000200406,2024,75,2,2,2,0,0,0.02666666666666667,0.02666666666666667,False
0000200406,2025,70,2,2,2,0,0,0.02857142857142857,0.02857142857142857,False
0000200406,2026,48,2,2,2,0,0,0.041666666666666664,0.041666666666666664,False
0000310158,2012,79,2,2,2,0,0,0.02531645569620253,0.02531645569620253,False
0000310158,2013,63,2,2,2,0,0,0.031746031746031744,0.031746031746031744,False
0000310158,2014,96,2,2,2,0,0,0.020833333333333332,0.020833333333333332,False
0000310158,2015,73,2,2,2,0,0,0.0273972602739726,0.0273972602739726,False
0000310158,2016,80,2,2,2,0,0,0.025,0.025,False
0000310158,2017,70,2,2,2,0,0,0.02857142857142857,0.02857142857142857,False
0000310158,2018,84,2,2,1,1,0,0.023809523809523808,0.011904761904761904,False
0000310158,2019,83,2,2,2,0,0,0.024096385542168676,0.024096385542168676,False
0000310158,2020,69,2,2,2,0,0,0.028985507246376812,0.028985507246376812,False
0000310158,2021,71,2,2,2,0,0,0.028169014084507043,0.028169014084507043,False
0000310158,2022,90,2,2,2,0,0,0.022222222222222223,0.022222222222222223,False
0000310158,2023,86,2,2,2,0,0,0.023255813953488372,0.023255813953488372,False
0000310158,2024,64,2,2,2,0,0,0.03125,0.03125,False
0000310158,2025,66,2,2,2,0,0,0.030303030303030304,0.030303030303030304,False
0000310158,2026,69,2,2,2,0,0,0.028985507246376812,0.028985507246376812,False
0000320187,2012,72,2,2,2,0,0,0.027777777777777776,0.027777777777777776,False
0000320187,2013,84,2,2,2,0,0,0.023809523809523808,0.023809523809523808,False
0000320187,2014,59,2,2,2,0,0,0.03389830508474576,0.03389830508474576,False
0000320187,2015,74,2,2,2,0,0,0.02702702702702703,0.02702702702702703,False
0000320187,2016,45,2,2,2,0,0,0.044444444444444446,0.044444444444444446,False
0000320187,2017,64,2,2,2,0,0,0.03125,0.03125,False
0000320187,2018,71,2,2,2,0,0,0.028169014084507043,0.028169014084507043,False
0000320187,2019,67,2,2,2,0,0,0.029850746268656716,0.029850746268656716,False
0000320187,2020,88,2,2,2,0,0,0.022727272727272728,0.022727272727272728,False
0000320187,2021,56,2,2,2,0,0,0.03571428571428571,0.03571428571428571,False
0000320187,2022,39,2,2,2,0,0,0.05128205128205128,0.05128205128205128,False
0000320187,2023,47,2,2,2,0,0,0.0425531914893617,0.0425531914893617,False
0000320187,2024,51,2,2,2,0,0,0.0392156862745098,0.0392156862745098,False
0000320187,2025,58,2,2,2,0,0,0.034482758620689655,0.034482758620689655,False
0000320187,2026,15,2,2,2,0,0,0.13333333333333333,0.13333333333333333,False
0000320193,2012,62,2,2,2,0,0,0.03225806451612903,0.03225806451612903,False
0000320193,2013,59,2,2,2,0,0,0.03389830508474576,0.03389830508474576,False
0000320193,2014,72,2,2,2,0,0,0.027777777777777776,0.027777777777777776,False
0000320193,2015,70,2,2,2,0,0,0.02857142857142857,0.02857142857142857,False
0000320193,2016,82,2,2,2,0,0,0.024390243902439025,0.024390243902439025,False
0000320193,2017,92,2,2,2,0,0,0.021739130434782608,0.021739130434782608,False
0000320193,2018,62,2,2,2,0,0,0.03225806451612903,0.03225806451612903,False
0000320193,2019,41,2,2,2,0,0,0.04878048780487805,0.04878048780487805,False
0000320193,2020,37,2,2,2,0,0,0.05405405405405406,0.05405405405405406,False
0000320193,2021,43,2,2,2,0,0,0.046511627906976744,0.046511627906976744,False
0000320193,2022,43,2,2,2,0,0,0.046511627906976744,0.046511627906976744,False
0000320193,2023,42,2,2,2,0,0,0.047619047619047616,0.047619047619047616,False
0000320193,2024,46,2,2,2,0,0,0.043478260869565216,0.043478260869565216,False
0000320193,2025,38,2,2,2,0,0,0.05263157894736842,0.05263157894736842,False
0000320193,2026,26,2,2,2,0,0,0.07692307692307693,0.07692307692307693,False
0000354950,2012,59,2,2,2,0,0,0.03389830508474576,0.03389830508474576,False
0000354950,2013,59,2,2,2,0,0,0.03389830508474576,0.03389830508474576,False
0000354950,2014,62,2,2,2,0,0,0.03225806451612903,0.03225806451612903,False
0000354950,2015,58,2,2,2,0,0,0.034482758620689655,0.034482758620689655,False
0000354950,2016,71,2,2,2,0,0,0.028169014084507043,0.028169014084507043,False
0000354950,2017,66,2,2,2,0,0,0.030303030303030304,0.030303030303030304,False
0000354950,2018,72,2,2,2,0,0,0.027777777777777776,0.027777777777777776,False
0000354950,2019,73,2,2,2,0,0,0.0273972602739726,0.0273972602739726,False
0000354950,2020,67,2,2,2,0,0,0.029850746268656716,0.029850746268656716,False
0000354950,2021,77,2,2,2,0,0,0.025974025974025976,0.025974025974025976,False
0000354950,2022,76,2,2,2,0,0,0.02631578947368421,0.02631578947368421,False
0000354950,2023,69,2,2,2,0,0,0.028985507246376812,0.028985507246376812,False
0000354950,2024,87,2,2,2,0,0,0.022988505747126436,0.022988505747126436,False
0000354950,2025,87,2,2,2,0,0,0.022988505747126436,0.022988505747126436,False
0000354950,2026,50,2,2,2,0,0,0.04,0.04,False
0000731766,2012,176,2,2,2,0,0,0.011363636363636364,0.011363636363636364,False
0000731766,2013,145,2,2,2,0,0,0.013793103448275862,0.013793103448275862,False
0000731766,2014,131,2,2,2,0,0,0.015267175572519083,0.015267175572519083,False
0000731766,2015,126,2,2,2,0,0,0.015873015873015872,0.015873015873015872,False
0000731766,2016,137,2,2,2,0,0,0.014598540145985401,0.014598540145985401,False
0000731766,2017,167,2,2,2,0,0,0.011976047904191617,0.011976047904191617,False
0000731766,2018,166,2,2,2,0,0,0.012048192771084338,0.012048192771084338,False
0000731766,2019,152,2,2,2,0,0,0.013157894736842105,0.013157894736842105,False
0000731766,2020,136,2,2,2,0,0,0.014705882352941176,0.014705882352941176,False
0000731766,2021,142,2,2,2,0,0,0.014084507042253521,0.014084507042253521,False
0000731766,2022,136,2,2,2,0,0,0.014705882352941176,0.014705882352941176,False
0000731766,2023,132,2,2,2,0,0,0.015151515151515152,0.015151515151515152,False
0000731766,2024,138,2,2,2,0,0,0.014492753623188406,0.014492753623188406,False
0000731766,2025,127,2,2,2,0,0,0.015748031496062992,0.015748031496062992,False
0000731766,2026,77,2,2,2,0,0,0.025974025974025976,0.025974025974025976,False
0000753308,2012,75,2,2,2,0,0,0.02666666666666667,0.02666666666666667,False
0000753308,2013,49,2,2,2,0,0,0.04081632653061224,0.04081632653061224,False
0000753308,2014,54,2,2,2,0,0,0.037037037037037035,0.037037037037037035,False
0000753308,2015,58,2,2,2,0,0,0.034482758620689655,0.034482758620689655,False
0000753308,2016,51,2,2,2,0,0,0.0392156862745098,0.0392156862745098,False
0000753308,2017,49,2,2,2,0,0,0.04081632653061224,0.04081632653061224,False
0000753308,2018,60,2,2,2,0,0,0.03333333333333333,0.03333333333333333,False
0000753308,2019,57,2,2,2,0,0,0.03508771929824561,0.03508771929824561,False
0000753308,2020,70,2,2,2,0,0,0.02857142857142857,0.02857142857142857,False
0000753308,2021,61,2,2,2,0,0,0.03278688524590164,0.03278688524590164,False
0000753308,2022,83,2,2,2,0,0,0.024096385542168676,0.024096385542168676,False
0000753308,2023,65,2,2,2,0,0,0.03076923076923077,0.03076923076923077,False
0000753308,2024,55,2,2,2,0,0,0.03636363636363636,0.03636363636363636,False
0000753308,2025,58,2,2,2,0,0,0.034482758620689655,0.034482758620689655,False
0000753308,2026,45,2,2,2,0,0,0.044444444444444446,0.044444444444444446,False
0000773840,2012,302,2,2,2,0,0,0.006622516556291391,0.006622516556291391,False
0000773840,2013,351,2,2,2,0,0,0.005698005698005698,0.005698005698005698,False
0000773840,2014,378,2,2,2,0,0,0.005291005291005291,0.005291005291005291,False
0000773840,2015,222,2,2,2,0,0,0.009009009009009009,0.009009009009009009,False
0000773840,2016,104,2,2,2,0,0,0.019230769230769232,0.019230769230769232,False
0000773840,2017,86,2,2,2,0,0,0.023255813953488372,0.023255813953488372,False
0000773840,2018,82,2,2,2,0,0,0.024390243902439025,0.024390243902439025,False
0000773840,2019,89,2,2,2,0,0,0.02247191011235955,0.02247191011235955,False
0000773840,2020,117,2,2,2,0,0,0.017094017094017096,0.017094017094017096,False
0000773840,2021,108,2,2,2,0,0,0.018518518518518517,0.018518518518518517,False
0000773840,2022,100,2,2,1,0,1,0.02,0.01,False
0000773840,2023,92,2,2,2,0,0,0.021739130434782608,0.021739130434782608,False
0000773840,2024,99,2,2,2,0,0,0.020202020202020204,0.020202020202020204,False
0000773840,2025,97,2,2,2,0,0,0.020618556701030927,0.020618556701030927,False
0000773840,2026,89,2,2,2,0,0,0.02247191011235955,0.02247191011235955,False
0000789019,2012,125,2,2,2,0,0,0.016,0.016,False
0000789019,2013,107,2,2,2,0,0,0.018691588785046728,0.018691588785046728,False
0000789019,2014,118,2,2,2,0,0,0.01694915254237288,0.01694915254237288,False
0000789019,2015,99,2,2,2,0,0,0.020202020202020204,0.020202020202020204,False
0000789019,2016,120,2,2,2,0,0,0.016666666666666666,0.016666666666666666,False
0000789019,2017,129,2,2,2,0,0,0.015503875968992248,0.015503875968992248,False
0000789019,2018,137,2,2,2,0,0,0.014598540145985401,0.014598540145985401,False
0000789019,2019,135,2,2,2,0,0,0.014814814814814815,0.014814814814814815,False
0000789019,2020,112,2,2,2,0,0,0.017857142857142856,0.017857142857142856,False
0000789019,2021,111,2,2,2,0,0,0.018018018018018018,0.018018018018018018,False
0000789019,2022,115,2,2,2,0,0,0.017391304347826087,0.017391304347826087,False
0000789019,2023,113,2,2,2,0,0,0.017699115044247787,0.017699115044247787,False
0000789019,2024,124,2,2,2,0,0,0.016129032258064516,0.016129032258064516,False
0000789019,2025,119,2,2,2,0,0,0.01680672268907563,0.01680672268907563,False
0000789019,2026,64,2,2,2,0,0,0.03125,0.03125,False
0000821189,2012,114,2,2,2,0,0,0.017543859649122806,0.017543859649122806,False
