ticker,signal_date,fold_id,business_state,business_month_end,common_return_63d,residual_return_63d,systematic_fraction,group,FORWARD_TOTAL_RETURN,FORWARD_TROUGH_RETURN,outcome_end
MRK,2024-07-31,F04,PASS,2024-06-30,0.04689854752172078,-0.17391274200288967,0.0,HEALTHY_FIRM_SPECIFIC,-0.11360848006519086,-0.1429827825680242,2025-01-31
MSFT,2018-12-31,F01,PASS,2018-11-30,-0.21252703783704524,0.09814746238116634,1.0,HEALTHY_SYSTEMATIC,0.35542972716358556,-0.041055789938788445,2019-07-02
MSFT,2020-02-28,F02,PASS,2020-01-31,0.014037235812079944,0.05227014346292534,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.4058411403578739,-0.1641254187140866,2020-08-27
MSFT,2020-10-30,F02,PASS,2020-09-30,-0.023914388336418912,-0.04085466999858465,0.3692255059928007,EXCLUDED_UNKNOWN_OR_MIDDLE,0.22986562316540504,-0.0006913103484359473,2021-05-04
MSFT,2022-02-28,F03,PASS,2022-01-31,-0.0691856829229726,-0.027130113585088413,0.7183212456451232,HEALTHY_SYSTEMATIC,-0.10836353173121915,-0.18730795410301082,2022-08-29
MSFT,2024-07-31,F04,PASS,2024-06-30,0.09324750058672812,-0.019554413801787573,0.0,HEALTHY_FIRM_SPECIFIC,-0.004086427360529332,-0.05545595702728112,2025-01-31
NEE,2020-03-31,F02,PASS,2020-02-29,-0.14092083544569217,0.1433490654776742,1.0,HEALTHY_SYSTEMATIC,0.18907481513838786,-0.09305142669860367,2020-09-29
NEE,2021-02-26,F02,PASS,2021-01-31,-0.07876129616910092,0.06846526170524483,1.0,HEALTHY_SYSTEMATIC,0.1518575397921631,-0.03783373702182369,2021-08-26
NEE,2022-01-31,F03,VETO,2021-12-31,0.04543398377131176,-0.12929428362363832,0.0,DAMAGED_FIRM_SPECIFIC,0.10900077802076624,-0.11815861309264852,2022-08-02
NEE,2022-09-30,F03,PASS,2022-08-31,-0.10041073029057149,0.0781981523387219,1.0,HEALTHY_SYSTEMATIC,-0.010877085867073033,-0.09909477397926236,2023-04-03
NEE,2024-06-28,F04,PASS,2024-05-31,0.0609203711976716,0.04806046053207824,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.03182405852783643,-0.012851239843415074,2024-12-27
NEE,2024-12-31,F04,PASS,2024-11-30,-0.08857384152599646,-0.07821797922388486,0.5310442749996749,EXCLUDED_UNKNOWN_OR_MIDDLE,0.05978161308875074,-0.09836450185870693,2025-07-07
