ticker,episode_id,signal_date,last_observed_session,source_regime,SECTOR_RS_DAMAGE_DELTA_4W,TREND_QUALITY_DELTA_4W,PARTICIPATION_WEAKENING_DELTA_4W,MARKET_STRESS_DELTA_4W,path_label,mae_126d,mfe_126d,terminal_return_126d,low_before_high,recovered_after_low,time_to_low_sessions,time_to_high_sessions,outcome_end,sector_etf,issuerCik,purchaseSupport90d,purchaseSupportOwnerCount90d,purchaseSupportEventCount90d,latestPurchaseSupportFilingDate,adversePath,foldId
IP,IP-V61-004,2021-03-17,2021-03-17,HEALTHY_RUSH,-0.0299301409480918,-0.0751507665116375,0.0308409085385888,0.0312988495443,CONTINUATION,-0.048375322201514,0.2033947806083977,0.0878081737910874,True,True,4,55,2021-09-15,XLB,0000051434,0,0,0,,0,OOS_2019_2021
IP,IP-V61-005,2024-06-18,2024-06-18,HEALTHY_RUSH,-0.0125044526421531,0.3184973635309737,-0.0408004813525954,-0.0390642884687877,TEMPORARY_PULLBACK,-0.0800002043325662,0.3117293993427268,0.2163830710713217,True,True,13,111,2024-12-17,XLB,0000051434,0,0,0,,0,OOS_2024_2026Q2
IP,IP-V61-006,2024-08-19,2024-08-19,HEALTHY_RUSH,-0.0350331283067792,0.0326587762470105,-0.1923890166177589,0.1194265175066495,CONTINUATION,-0.0209950518472264,0.2719443209744725,0.1866401594755697,True,True,42,108,2025-02-20,XLB,0000051434,0,0,0,,0,OOS_2024_2026Q2
IP,IP-V61-007,2024-11-15,2024-11-15,HEALTHY_RUSH,-0.1166171146690571,0.0093115604754864,-0.7953817322169913,-0.0368319871864947,STRUCTURAL_BREAK,-0.231350852992708,0.0435913686998092,-0.1478134519257887,False,False,112,45,2025-05-21,XLB,0000051434,0,0,0,,1,OOS_2024_2026Q2
IRM,IRM-V61-001,2016-05-12,2016-05-12,NORMAL_RUSH,-0.0336086796168255,0.5545751996010267,-0.5620426478012189,-0.0676897529161343,LARGE_PULLBACK,-0.1351461011202153,0.0977729052754778,-0.116825106424464,False,False,122,51,2016-11-09,XLRE,0001020569,0,0,0,,1,OOS_2016_2018
IRM,IRM-V61-002,2017-09-06,2017-09-06,HEALTHY_RUSH,-0.0072546535974031,0.4281131305663778,-0.206185312709963,0.0203198609712569,STRUCTURAL_BREAK,-0.1851043562899813,0.0708977414064639,-0.1415385558317488,False,False,119,56,2018-03-08,XLRE,0001020569,0,0,0,,1,OOS_2016_2018
IRM,IRM-V61-003,2017-11-03,2017-11-03,HEALTHY_RUSH,-0.0416730928676474,0.1845839538100814,-0.1917712027614355,0.0109108081851286,STRUCTURAL_BREAK,-0.2140175480357108,0.0329013771157107,-0.1369770096068434,False,False,77,14,2018-05-08,XLRE,0001020569,0,0,0,,1,OOS_2016_2018
IRM,IRM-V61-004,2021-03-25,2021-03-25,HEALTHY_RUSH,-0.1226121099672434,0.4101536615662196,0.0090333102383044,0.0552224226215715,CONTINUATION,-0.0046123806562909,0.3597491917364956,0.24797768189599,True,True,2,112,2021-09-23,XLRE,0001020569,0,0,0,,0,OOS_2019_2021
IRM,IRM-V61-005,2022-03-28,2022-03-28,HEALTHY_RUSH,0.0,0.206003211687184,-0.186978896652364,-0.4265539229143489,STRUCTURAL_BREAK,-0.1680400904380938,0.0752607220721304,-0.1680400904380938,False,False,126,16,2022-09-27,XLRE,0001020569,0,0,0,,1,OOS_2022_2023
IRM,IRM-V61-006,2023-07-05,2023-07-05,HEALTHY_RUSH,-0.0043815032988852,0.1140901041323473,-0.1242309638622535,-0.0545722555786597,CONTINUATION,-0.0069370403051498,0.2369125468026451,0.160174840318922,True,True,63,123,2024-01-03,XLRE,0001020569,0,0,0,,0,OOS_2022_2023
IRM,IRM-V61-007,2023-12-01,2023-12-01,HEALTHY_RUSH,0.0214832089374641,-0.1120987666578784,-0.2240494064646815,-0.0386055055205747,CONTINUATION,-0.0006106798901592,0.2877674061984743,0.2613436664601447,True,True,5,117,2024-06-04,XLRE,0001020569,0,0,0,,0,OOS_2022_2023
ISRG,ISRG-V61-001,2016-03-14,2016-03-14,NORMAL_RUSH,-0.0105323585071344,0.3115442891483405,-0.6244116735359236,-0.4874011557430716,TEMPORARY_PULLBACK,-0.0517982778269624,0.1854418696318571,0.152292268543714,True,True,3,89,2016-09-12,XLV,0001035267,0,0,0,,0,OOS_2016_2018
ISRG,ISRG-V61-002,2017-03-02,2017-03-02,NORMAL_RUSH,-0.0145963158138875,0.0,-0.4325895327436467,-0.0134995621231638,CONTINUATION,-0.0194729111608863,0.3420957076149757,0.3413416247362391,True,True,4,120,2017-08-30,XLV,0001035267,0,0,0,,0,OOS_2016_2018
ISRG,ISRG-V61-003,2018-01-31,2018-01-31,HEALTHY_RUSH,-0.0782875874307869,-0.0153499608139252,-0.6144281795303111,0.0010744864085198,LARGE_PULLBACK,-0.1153658945668186,0.2462529324327735,0.1960293635250374,True,True,6,121,2018-08-01,XLV,0001035267,0,0,0,,1,OOS_2016_2018
ISRG,ISRG-V61-004,2018-06-01,2018-06-01,HEALTHY_RUSH,0.0024159674062291,0.179172261557828,0.112667875085054,-0.0588822401598073,CONTINUATION,-0.0120396857589984,0.1992488375586854,0.0870526572769954,True,True,16,84,2018-11-29,XLV,0001035267,0,0,0,,0,OOS_2016_2018
ISRG,ISRG-V61-005,2021-07-14,2021-07-14,HEALTHY_RUSH,-0.0362299847024103,0.480079180888459,-0.1985317724439062,-0.0165625493611691,CONTINUATION,-0.0239664994029116,0.1478201726290191,0.0303430206150523,True,True,3,82,2022-01-11,XLV,0001035267,0,0,0,,0,OOS_2019_2021
ISRG,ISRG-V61-006,2024-07-22,2024-07-22,HEALTHY_RUSH,-0.0102897015799878,0.06611404040248,0.3008038182594979,0.0087371324831942,TEMPORARY_PULLBACK,-0.0616542179955448,0.3238419905595631,0.3238419905595631,True,True,6,126,2025-01-22,XLV,0001035267,0,0,0,,0,OOS_2024_2026Q2
