fold_id,family,rows,candidate_brier,candidate_log_loss,candidate_balanced_accuracy,candidate_action_rate,baseline_brier,baseline_log_loss,baseline_balanced_accuracy,baseline_action_rate,universe_role
F08,PARTICIPATION,23,0.29298012161919834,0.782701751464275,0.5,1.0,0.292407462179719,0.781427223752351,0.5,1.0,PRIMARY
F09,PARTICIPATION,23,0.19742501109788788,0.5862631450216411,0.5,1.0,0.1974098307361792,0.5862310569865256,0.5,1.0,PRIMARY
F01,DOWNSIDE_RISK_CONTEXT,24,0.25,0.6931471805599453,0.5,1.0,0.25,0.6931471805599453,0.5,1.0,PRIMARY
F02,DOWNSIDE_RISK_CONTEXT,22,0.30143081486194234,0.8002873665835571,0.5,1.0,0.308080808080808,0.8150520784390409,0.5,1.0,PRIMARY
F03,DOWNSIDE_RISK_CONTEXT,11,0.2320454595787086,0.6570345362105356,0.5,1.0,0.23212751331843962,0.6573164953876517,0.5,1.0,PRIMARY
F04,DOWNSIDE_RISK_CONTEXT,13,0.20714571459228737,0.6063284722797306,0.5,1.0,0.21372256552311958,0.6200330289338857,0.5,1.0,PRIMARY
F05,DOWNSIDE_RISK_CONTEXT,25,0.23449372513169323,0.6619747024313587,0.5,1.0,0.2310612244897959,0.6548258962439206,0.5,1.0,PRIMARY
F06,DOWNSIDE_RISK_CONTEXT,18,0.22705679005565582,0.6467425295219341,0.5,1.0,0.2243028624192059,0.6410122828446911,0.5,1.0,PRIMARY
F07,DOWNSIDE_RISK_CONTEXT,13,0.18139235678668914,0.5534561242104494,0.5,1.0,0.1776297161996903,0.5454787507107094,0.5,1.0,PRIMARY
F08,DOWNSIDE_RISK_CONTEXT,23,0.2954454592139489,0.7882078856935947,0.5,1.0,0.292407462179719,0.781427223752351,0.5,1.0,PRIMARY
F09,DOWNSIDE_RISK_CONTEXT,23,0.19751350744650265,0.5864505611873974,0.5,1.0,0.1974098307361792,0.5862310569865256,0.5,1.0,PRIMARY
F01,PRICE_EXTENSION,250,0.25,0.6931471805599454,0.5,1.0,0.25,0.6931471805599454,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F02,PRICE_EXTENSION,244,0.24082235092357887,0.6747674615596005,0.49737411183194313,0.9836065573770492,0.24318688524590162,0.679513890351483,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F03,PRICE_EXTENSION,118,0.19791521962322625,0.5877084582331331,0.5,1.0,0.1942722538019536,0.5803273211061543,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F04,PRICE_EXTENSION,93,0.17968878005177608,0.5490042196490835,0.5,1.0,0.17945365650652698,0.5485700763396649,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F05,PRICE_EXTENSION,270,0.2503087589195755,0.6948733846532059,0.5,1.0,0.2506172839506173,0.6955600392314006,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F06,PRICE_EXTENSION,107,0.18456473566174442,0.558879061874795,0.5,1.0,0.18622945307747607,0.5625411111021771,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F07,PRICE_EXTENSION,116,0.15895814069459632,0.5051972323974676,0.5,1.0,0.1605336114439764,0.5087747418942723,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F08,PRICE_EXTENSION,156,0.26356275289696457,0.7235008209832069,0.5,1.0,0.2610965731379275,0.717836290937322,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F09,PRICE_EXTENSION,146,0.1905698113904216,0.5708802810762563,0.5,1.0,0.18928809349340697,0.5681211102862354,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F01,TREND_POSITION,250,0.25,0.6931471805599454,0.5,1.0,0.25,0.6931471805599454,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F02,TREND_POSITION,244,0.24178065816073122,0.6766893165222018,0.5023169601482854,0.9262295081967213,0.24318688524590162,0.679513890351483,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F03,TREND_POSITION,118,0.1969734871621912,0.5857208286569909,0.5,1.0,0.1942722538019536,0.5803273211061543,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F04,TREND_POSITION,93,0.17881713363889043,0.5471410987410888,0.5,1.0,0.17945365650652698,0.5485700763396649,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F05,TREND_POSITION,270,0.2502563889468592,0.694763480774926,0.5,1.0,0.2506172839506173,0.6955600392314006,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F06,TREND_POSITION,107,0.1856220645410187,0.561165407704432,0.5,1.0,0.18622945307747607,0.5625411111021771,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F07,TREND_POSITION,116,0.16299173307200085,0.5141141204864433,0.5,1.0,0.1605336114439764,0.5087747418942723,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F08,TREND_POSITION,156,0.26092087612671877,0.7174495821042403,0.5,1.0,0.2610965731379275,0.717836290937322,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F09,TREND_POSITION,146,0.1881428045750204,0.5655448930919258,0.5,1.0,0.18928809349340697,0.5681211102862354,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
F01,RELATIVE_POSITION,250,0.25,0.6931471805599454,0.5,1.0,0.25,0.6931471805599454,0.5,1.0,INDEPENDENT_CURRENT_CONSTITUENTS
