universe_role,event_kind,horizon_sessions,era_id,market_herd_stage,sector_herd_stage,episodes,tickers,signal_weeks,median_total_return,positive_return_fraction,median_maximum_favorable_excursion,median_maximum_adverse_excursion
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2016_2018,DRIFT,DRIFT,5,5,4,-0.0647730592762151,0.4,0.0214813902578518,-0.0647730592762151
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2016_2018,DRIFT,SCATTER,46,35,23,-0.00504155883296775,0.3695652173913043,0.0272819670458732,-0.05195262428769845
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2016_2018,SCATTER,CALM,8,7,4,0.011617415258088704,0.5,0.0502396077600987,-0.019803252581622202
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2016_2018,SCATTER,FLEE,106,96,11,0.05785208130560545,0.6981132075471698,0.08013211400699036,-0.052551555622807195
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2016_2018,SCATTER,SCATTER,291,214,31,0.0119736095696374,0.5601374570446735,0.0553786487329297,-0.0779775447547113
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2019_2021,CALM,CALM,78,71,31,0.0227500900730174,0.6025641025641025,0.06642887093150925,-0.04497553301859075
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2019_2021,CALM,SCATTER,184,142,48,0.04018372138201185,0.6739130434782609,0.0706078079081716,-0.031620293991900444
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2019_2021,DRIFT,CALM,22,20,12,0.0161118166736521,0.6818181818181818,0.054771154538787045,-0.02345613982513595
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2019_2021,DRIFT,DRIFT,1,1,1,0.1586502672231453,1.0,0.1602759148738421,-0.0297575459737983
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2019_2021,DRIFT,SCATTER,28,28,9,0.00349342396642435,0.5714285714285714,0.050075447878848794,-0.0362969409359714
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2019_2021,FLEE,FLEE,60,60,1,0.2438177930773264,0.9666666666666667,0.3553776220712843,-0.0775147863550167
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2019_2021,FLEE,SCATTER,7,7,1,0.3614564617198681,1.0,0.4170270166725101,-0.0724523271131443
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2019_2021,SCATTER,CALM,8,8,5,0.10775985320387366,1.0,0.11040093443892235,-0.013436003439909399
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2019_2021,SCATTER,FLEE,57,57,6,0.1347120117200253,0.8070175438596491,0.2315386686420235,-0.177142819594029
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2019_2021,SCATTER,SCATTER,225,169,21,0.0067681620799966,0.52,0.0825561898475364,-0.0931664910547325
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2022_2024,CALM,CALM,83,69,31,0.0002138308459067,0.5060240963855421,0.0670253989110472,-0.0467468097469494
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2022_2024,CALM,FLEE,1,1,1,-0.0008686855275336,0.0,0.0461449772928468,-0.080825506634399
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2022_2024,CALM,SCATTER,131,102,40,0.0061187289792803,0.549618320610687,0.0444000427312183,-0.050402598959339
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2022_2024,DRIFT,CALM,18,17,12,-0.028829465148659097,0.3888888888888889,0.055768369376796245,-0.0730829941843678
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2022_2024,DRIFT,DRIFT,1,1,1,-0.0655345764610757,0.0,0.0140371536624821,-0.1404238382361444
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2022_2024,DRIFT,SCATTER,13,13,10,0.0233408827805394,0.6923076923076923,0.078450172648949,-0.0235421711369204
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2022_2024,SCATTER,CALM,10,9,7,0.036507597434905545,0.6,0.0601314439725405,-0.06518574579645464
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2022_2024,SCATTER,FLEE,71,64,16,0.0073113007147542,0.5633802816901409,0.0801967423077456,-0.0598647483664672
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2022_2024,SCATTER,SCATTER,518,274,46,0.0289003715216552,0.6138996138996139,0.07603242866695265,-0.0522424150651352
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2025_2026,CALM,CALM,101,83,36,-0.0030118612998488,0.48514851485148514,0.0509259371109001,-0.0508835706273914
INDEPENDENT_CURRENT_CONSTITUENTS,STAGE_ENTRY_FLEE,20,ERA_2025_2026,CALM,DRIFT,1,1,1,-0.049396199278292,0.0,0.0467153015403225,-0.0515898806135709
