queue_id,priority,event_id,cik,accession_number,filing_date,matched_items,prior_identity_status,primary_document_url,collection_status,source_sha256,extracted_symbols,adjudication_status
IDENTITY-0001299933-09-001707,P2_LONG_HISTORY,SEC8K-0001299933-09-001707,0000040704,0001299933-09-001707,2009-04-17,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/40704/000129993309001707/htm_32313.htm,PENDING,,,PENDING
IDENTITY-0001104659-09-025501,P2_LONG_HISTORY,SEC8K-0001104659-09-025501,0001001250,0001104659-09-025501,2009-04-22,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1001250/000110465909025501/a09-10706_18ka.htm,PENDING,,,PENDING
IDENTITY-0001140361-09-010217,P2_LONG_HISTORY,SEC8K-0001140361-09-010217,0000037996,0001140361-09-010217,2009-04-24,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/37996/000114036109010217/form8k.htm,PENDING,,,PENDING
IDENTITY-0001104659-09-031903,P2_LONG_HISTORY,SEC8K-0001104659-09-031903,0001001250,0001104659-09-031903,2009-05-12,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1001250/000110465909031903/a09-13261_28ka.htm,PENDING,,,PENDING
IDENTITY-0001193125-09-109216,P2_LONG_HISTORY,SEC8K-0001193125-09-109216,0001137789,0001193125-09-109216,2009-05-13,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1137789/000119312509109216/d8k.htm,PENDING,,,PENDING
IDENTITY-0000004962-09-000018,P2_LONG_HISTORY,SEC8K-0000004962-09-000018,0000004962,0000004962-09-000018,2009-05-19,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/4962/000000496209000018/wrapmay19.txt,PENDING,,,PENDING
IDENTITY-0001362310-09-007969,P2_LONG_HISTORY,SEC8K-0001362310-09-007969,0000866374,0001362310-09-007969,2009-05-20,2.05|2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/866374/000136231009007969/c85933e8vkza.htm,PENDING,,,PENDING
IDENTITY-0000891618-09-000187,P2_LONG_HISTORY,SEC8K-0000891618-09-000187,0000789570,0000891618-09-000187,2009-05-22,2.04,UNMAPPED,https://www.sec.gov/Archives/edgar/data/789570/000089161809000187/p14988e8vk.htm,PENDING,,,PENDING
IDENTITY-0001104659-09-035857,P2_LONG_HISTORY,SEC8K-0001104659-09-035857,0001001250,0001104659-09-035857,2009-05-29,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1001250/000110465909035857/a09-14580_18ka.htm,PENDING,,,PENDING
IDENTITY-0000950123-09-010497,P2_LONG_HISTORY,SEC8K-0000950123-09-010497,0000202058,0000950123-09-010497,2009-06-02,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/202058/000095012309010497/g19338e8vk.htm,PENDING,,,PENDING
IDENTITY-0000950123-09-012982,P2_LONG_HISTORY,SEC8K-0000950123-09-012982,0000813672,0000950123-09-012982,2009-06-10,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/813672/000095012309012982/f52725e8vk.htm,PENDING,,,PENDING
IDENTITY-0001193125-09-133009,P2_LONG_HISTORY,SEC8K-0001193125-09-133009,0001109357,0001193125-09-133009,2009-06-18,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1109357/000119312509133009/d8k.htm,PENDING,,,PENDING
IDENTITY-0000950123-09-015489,P2_LONG_HISTORY,SEC8K-0000950123-09-015489,0000789570,0000950123-09-015489,2009-06-19,2.04,UNMAPPED,https://www.sec.gov/Archives/edgar/data/789570/000095012309015489/p15152e8vkza.htm,PENDING,,,PENDING
IDENTITY-0001193125-09-135730,P2_LONG_HISTORY,SEC8K-0001193125-09-135730,0000898293,0001193125-09-135730,2009-06-23,2.05|2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/898293/000119312509135730/d8ka.htm,PENDING,,,PENDING
IDENTITY-0000723125-09-000041,P2_LONG_HISTORY,SEC8K-0000723125-09-000041,0000723125,0000723125-09-000041,2009-06-25,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/723125/000072312509000041/q3-09_8k.htm,PENDING,,,PENDING
IDENTITY-0001193125-09-150699,P2_LONG_HISTORY,SEC8K-0001193125-09-150699,0000910606,0001193125-09-150699,2009-07-17,2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/910606/000119312509150699/d8k.htm,PENDING,,,PENDING
IDENTITY-0001193125-09-163032,P2_LONG_HISTORY,SEC8K-0001193125-09-163032,0001137789,0001193125-09-163032,2009-08-04,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1137789/000119312509163032/d8k.htm,PENDING,,,PENDING
IDENTITY-0000950123-09-035531,P2_LONG_HISTORY,SEC8K-0000950123-09-035531,0000860730,0000950123-09-035531,2009-08-14,4.02,UNMAPPED,https://www.sec.gov/Archives/edgar/data/860730/000095012309035531/g20221e8vkza.htm,PENDING,,,PENDING
