family,measurement,direction,fold_id,ticker,signal_date,threshold,measurement_value,execution_date,terminal_return,trim_uplift,drawdown_relief
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,DUK,2020-05-31,-0.0704518290557,-0.08587102537,2020-06-01,-0.0778500982727,0.00381750491364,0.00479118479066
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,EOG,2020-08-31,-0.0704518290557,-0.927503035704,2020-09-01,0.0395597430286,-0.00205298715143,0.0136085603028
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,EOG,2021-11-30,-0.0704518290557,-1.63094377917,2021-12-01,0.40443179932,-0.020296589966,-7.5e-05
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,FCX,2020-05-31,-0.0704518290557,-0.236726739194,2020-06-01,0.675588657131,-0.0338544328565,-7.5e-05
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,FCX,2021-11-30,-0.0704518290557,-0.297778913857,2021-12-01,0.359471168134,-0.0180485584067,2.14229118817e-05
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,GE,2020-04-30,-0.0704518290557,-0.0742107876307,2020-05-01,-0.0647541037847,0.00316270518923,0.007694250009
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,GE,2021-10-31,-0.0704518290557,-0.093108935808,2021-11-01,-0.0771370995905,0.00378185497952,0.00784734811377
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,GOOGL,2020-07-31,-0.0704518290557,-0.149253462521,2020-08-03,0.0899333763101,-0.00457166881551,0.00239911028189
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,GOOGL,2021-10-31,-0.0704518290557,-0.205487636175,2021-11-01,-0.0407882284822,0.00196441142411,0.00569585148994
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,HD,2021-08-31,-0.0704518290557,-0.246418351698,2021-09-01,0.242355745655,-0.0121927872828,-7.5e-05
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,HON,2020-07-31,-0.0704518290557,-0.143674943809,2020-08-03,0.116829211027,-0.00591646055135,0.000328965698292
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,HON,2021-10-31,-0.0704518290557,-0.0913125590617,2021-11-01,-0.0615791437115,0.00300395718557,0.00435669448243
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,JNJ,2020-07-31,-0.0704518290557,-0.141722813456,2020-08-03,-0.0633012281639,0.00309006140819,0.00309006140819
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,JNJ,2021-10-31,-0.0704518290557,-0.164367988506,2021-11-01,0.0550811085186,-0.00282905542593,0.0017863122174
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,KO,2020-04-30,-0.0704518290557,-0.094115835855,2020-05-01,0.0453763549787,-0.00234381774893,0.00249078508037
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,KO,2021-10-31,-0.0704518290557,-0.255986861035,2021-11-01,0.0865163488403,-0.00440081744201,0.00300887106608
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,LIN,2020-03-31,-0.0704518290557,-1.10664843186,2020-04-01,0.34134762959,-0.0171423814795,-7.5e-05
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,LIN,2021-10-31,-0.0704518290557,-0.0706743909063,2021-11-01,-0.00150495940425,2.47970212383e-07,0.00193876251568
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,LLY,2020-07-31,-0.0704518290557,-0.175098571767,2020-08-03,-0.142266724155,0.00703833620775,0.00703833620775
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,MA,2020-07-31,-0.0704518290557,-0.25492238172,2020-08-03,-0.0755426315169,0.00370213157585,0.00370213157585
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,MA,2021-10-31,-0.0704518290557,-0.0988173304258,2021-11-01,0.175196810606,-0.00883484053029,0.00408155323726
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,MCD,2020-05-31,-0.0704518290557,-0.0976684478432,2020-06-01,0.146737213628,-0.0074118606814,0.00197130908144
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,MCD,2021-11-30,-0.0704518290557,-0.420753875315,2021-12-01,-0.0254463568062,0.00119731784031,0.00119731784031
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,META,2020-04-30,-0.0704518290557,-0.109505161815,2020-05-01,0.254115802457,-0.0127807901228,-7.5e-05
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,META,2021-10-31,-0.0704518290557,-0.204813794595,2021-11-01,-0.0332745946485,0.00158872973243,0.00528138883729
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,MRK,2020-08-31,-0.0704518290557,-0.190247630117,2020-09-01,-0.0270860387193,0.00127930193596,0.00506120366072
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,NEE,2020-04-30,-0.0704518290557,-0.0873205741627,2020-05-01,0.243101363645,-0.0122300681822,0.000891734316433
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,NEM,2020-02-29,-0.0704518290557,-0.123111941447,2020-03-02,0.295339987695,-0.0148419993847,0.00763212778063
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,NEM,2020-07-31,-0.0704518290557,-0.383651920653,2020-08-03,-0.074397952974,0.0036448976487,0.00673072678102
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,NEM,2021-10-31,-0.0704518290557,-0.382733875324,2021-11-01,0.140590770156,-0.00710453850781,0.000873433341593
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,NKE,2022-01-31,-0.0704518290557,-0.145986466674,2022-02-01,-0.169205625647,0.00838528128237,0.0101738609971
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,NVDA,2021-08-31,-0.0704518290557,-0.154851989707,2021-09-01,0.400955567597,-0.0201227783798,0.00596082653622
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,PEP,2020-07-31,-0.0704518290557,-0.108022960869,2020-08-03,-0.0179340080237,0.000821700401186,0.00166531384682
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,PEP,2021-10-31,-0.0704518290557,-0.0892361270542,2021-11-01,0.0759305493651,-0.00387152746825,0.000383884795496
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,SHW,2020-07-31,-0.0704518290557,-0.0823141488494,2020-08-03,0.0752236017713,-0.00383618008857,-7.5e-05
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,SHW,2021-10-31,-0.0704518290557,-0.163722546252,2021-11-01,-0.0532595031005,0.00258797515503,0.00419016494893
BUSINESS_DECELERATION,revenue_growth_acceleration,LOWER,F02,SLB,2020-07-31,-0.0704518290557,-0.298465662722,2020-08-03,-0.196640697316,0.00975703486582,0.01180037639
