ticker,signal_date,fold_id,business_state,business_month_end,outcome_end,immediate_entry_date,immediate_entry_price,scheduled_entry_date,scheduled_entry_price,immediate_terminal_base,scheduled_terminal_base,uplift_vs_cash_base,uplift_vs_scheduled_base,immediate_terminal_stress,scheduled_terminal_stress,uplift_vs_cash_stress,uplift_vs_scheduled_stress,immediate_sleeve_trough,immediate_total_position_trough
EOG,2018-10-31,F01,PASS,2018-09-30,2019-05-06,2018-11-01,77.90440849150697,2018-12-03,78.73503751764824,0.04316758741999335,0.042712183419055395,-0.00683241258000665,0.0004554040009379576,0.0431027387658822,0.04264801889714395,-0.006897261234117803,0.00045471986873824727,-0.21815446392048232,-0.010907723196024116
EOG,2022-06-30,F03,PASS,2022-05-31,2022-12-29,2022-07-01,94.10389789367852,2022-08-02,91.47144086818611,0.0596040627905466,0.061319408392973174,0.009604062790546597,-0.001715345602426574,0.059514522385753596,0.06122729110445093,0.009514522385753593,-0.0017127687186973342,-0.14326234720808684,-0.007163117360404342
EOG,2022-12-30,F03,PASS,2022-11-30,2023-07-05,2023-01-03,111.79775661368457,2023-02-02,111.45450460379196,0.04558336061194015,0.04572374596651447,-0.004416639388059855,-0.0001403853545743211,0.0455148828543859,0.0456550573145868,-0.004485117145614101,-0.00014017446020089808,-0.19476764832523719,-0.00973838241626186
EOG,2024-12-31,F04,PASS,2024-11-30,2025-07-07,2025-01-02,116.94082531670871,2025-02-04,118.72239321916739,0.04894402852484579,0.04820956632380242,-0.0010559714751542104,0.0007344622010433746,0.048870502192560096,0.04813714333984077,-0.0011294978074399067,0.0007333588527193291,-0.15037022441978798,-0.007518511220989399
FCX,2018-06-29,F01,PASS,2018-05-31,2018-12-31,2018-07-02,15.371563918066224,2018-08-01,14.600664834798682,0.030444628378577376,0.03205207135278561,-0.019555371621422627,-0.001607442974208232,0.03039889283269068,0.032003921020257634,-0.019601107167309322,-0.001605028187566953,-0.4215406597926301,-0.021077032989631508
FCX,2021-01-29,F02,PASS,2020-12-31,2021-07-30,2021-02-01,26.30807883422728,2021-03-03,32.65510479449562,0.06748116238937613,0.05436515212972909,0.017481162389376123,0.013116010259647037,0.06737978858508563,0.05428348189618418,0.017379788585085626,0.013096306688901452,-0.0060050733929587485,-0.00030025366964793747
FCX,2022-01-31,F03,PASS,2021-12-31,2022-08-02,2022-02-01,35.84656594825155,2022-03-03,45.74659382207192,0.03867202768170227,0.030303007826910696,-0.011327972318297734,0.008369019854791573,0.03861393249740327,0.03025748503097643,-0.011386067502596735,0.008356447466426838,-0.33737559256611127,-0.016868779628305564
FCX,2022-08-31,F03,PASS,2022-07-31,2023-03-03,2022-09-01,26.971601608575583,2022-10-03,26.55504936580626,0.07728756056040863,0.07849992157868876,0.027287560560408625,-0.0012123610182801364,0.0771714550613194,0.07838199480616195,0.02717145506131939,-0.0012105397448425592,-0.06984915860452967,-0.0034924579302264835
FCX,2024-06-28,F04,PASS,2024-05-31,2024-12-27,2024-07-01,47.75184202154192,2024-07-31,44.85967868968042,0.039734709735281794,0.04229645948149606,-0.010265290264718209,-0.002561749746214266,0.03967501813327587,0.042232919482274985,-0.010324981866724134,-0.0025579013489991156,-0.2168101512580689,-0.010840507562903445
GE,2020-03-31,F02,PASS,2020-02-29,2020-09-29,2020-04-01,36.39154723831663,2020-05-01,32.278153128279456,0.04075862739896827,0.045952738016444374,-0.009241372601031736,-0.005194110617476107,0.04069739761319115,0.04588370536043569,-0.009302602386808856,-0.005186307747244545,-0.2699468339167833,-0.013497341695839167
GE,2024-10-31,F04,PASS,2024-09-30,2025-05-06,2024-11-01,171.0390472426686,2024-12-03,179.19694836079935,0.0604927648663776,0.0577388452340598,0.010492764866377596,0.002753919632317796,0.06040188940588729,0.057652106858645594,0.010401889405887287,0.0027497825472416956,-0.07414908202028825,-0.0037074541010144128
GOOGL,2018-03-29,F01,PASS,2018-02-28,2018-09-27,2018-04-02,50.92939799451739,2018-05-01,50.368376461124875,0.05865733743382055,0.059310684468288556,0.00865733743382055,-0.0006533470344680034,0.05856921925039469,0.059221584792071805,0.008569219250394687,-0.0006523655416771149,-0.017195110859383522,-0.0008597555429691762
GOOGL,2018-10-31,F01,PASS,2018-09-30,2019-05-06,2018-11-01,54.09036864581363,2018-12-03,56.110457583042624,0.05459362608688838,0.0526281461237617,0.004593626086888375,0.0019654799631266748,0.05451161262756907,0.052549085313360465,0.004511612627569064,0.001962527314208602,-0.0977917388666758,-0.004889586943333791
GOOGL,2019-05-31,F01,PASS,2019-04-30,2019-11-27,2019-06-03,52.877630166163954,2019-07-02,54.75596667534398,0.06139865651621029,0.0592924506513263,0.01139865651621029,0.0021062058648839907,0.06130642017692705,0.05920337836692271,0.011306420176927047,0.0021030418100043413,-0.026421604405750254,-0.0013210802202875127
GOOGL,2020-02-28,F02,PASS,2020-01-31,2020-08-27,2020-03-02,66.97561656891546,2020-03-31,56.9316748800496,0.06016313532280185,0.07077717441922271,0.010163135322801845,-0.010614039096420863,0.06007275504940755,0.07067084916971961,0.01007275504940755,-0.010598094120312054,-0.21996615087158455,-0.010998307543579229
GOOGL,2022-04-29,F03,PASS,2022-03-31,2022-10-28,2022-05-02,112.40825744972986,2022-06-01,113.845517032335,0.04239035639862107,0.04185519306911851,-0.007609643601378932,0.0005351633295025623,0.04232667534243886,0.041792315963856935,-0.00767332465756114,0.0005343593785819278,-0.1868084356624845,-0.009340421783124225
GOOGL,2024-07-31,F04,PASS,2024-06-30,2025-01-31,2024-08-01,168.9473074966924,2024-08-30,161.37567317869295,0.05997594111737104,0.06278997054989742,0.009975941117371039,-0.0028140294325263784,0.05988584205710459,0.06269564410440434,0.009885842057104584,-0.0028098020472997545,-0.12565483351729656,-0.006282741675864828
GOOGL,2025-02-28,F04,PASS,2025-01-31,2025-08-29,2025-03-03,171.0366458285756,2025-04-01,152.9977840733587,0.061970899348893486,0.06927743972117202,0.011970899348893484,-0.007306540372278535,0.06187780335588063,0.06917336745318829,0.01187780335588063,-0.007295564097307659,-0.15740918443617846,-0.007870459221808923
HD,2018-02-28,F01,PASS,2018-01-31,2018-08-28,2018-03-01,148.3615156939819,2018-04-02,144.63539424995173,0.05580099903253292,0.05723855378993972,0.005800999032532915,-0.0014375547574068046,0.055717171793125006,0.05715256697903846,0.005717171793125003,-0.0014353951859134573,-0.05455694595812355,-0.0027278472979061774
HD,2018-10-31,F01,PASS,2018-09-30,2019-05-06,2018-11-01,145.93490523468762,2018-12-03,152.1624449716818,0.057118316035238724,0.05478063946277145,0.007118316035238721,0.002337676572467272,0.05703250985191088,0.05469834506197611,0.0070325098519108745,0.00233416478993477,-0.1003958553378711,-0.005019792766893555
HD,2020-02-28,F02,PASS,2020-01-31,2020-08-27,2020-03-02,187.59551028795775,2020-03-31,167.23383050628328,0.06633730720438169,0.07441425552748691,0.016337307204381687,-0.008076948323105224,0.06623765176040916,0.07430246646059535,0.016237651760409158,-0.00806481470018619,-0.3037188539347213,-0.015185942696736066
HD,2021-02-26,F02,PASS,2021-01-31,2021-08-26,2021-03-01,225.916267501253,2021-03-30,264.9614841398561,0.06273000936625292,0.053485998624849776,0.012730009366252917,0.009244010741403144,0.06263577299765063,0.053405649102629175,0.012635772997650632,0.00923012389502146,-0.030446860145716848,-0.0015223430072858425
HD,2022-01-31,F03,PASS,2021-12-31,2022-08-02,2022-02-01,329.2493390685974,2022-03-03,293.3542685323851,0.041137121376356355,0.046170693517127936,-0.008862878623643648,-0.005033572140771582,0.04107532299672237,0.04610133343673165,-0.008924677003277634,-0.005026010440009283,-0.26296513126958376,-0.01314825656347919
