ticker,episode_id,signal_date,target_label,feature_week,PEER_HIGH_EXIT_SHARE_DELTA_4W,PEER_ADVANCE_BREADTH_DELTA_4W
AKAM,AKAM-V61-006,2024-02-13,REENTRY_WORTHWHILE,2024-02-09,-0.17647058823529416,0.37254901960784315
ALB,ALB-V61-001,2016-03-14,HOLD_WINNER,2016-03-11,-0.17647058823529416,0.5294117647058824
ALB,ALB-V61-003,2016-12-09,REENTRY_WORTHWHILE,2016-12-09,-0.23529411764705888,0.2941176470588235
ALB,ALB-V61-004,2020-11-16,HOLD_WINNER,2020-11-13,-0.05882352941176472,0.05882352941176461
ALB,ALB-V61-005,2021-05-19,HOLD_WINNER,2021-05-14,-0.05882352941176472,0.0
ALB,ALB-V61-006,2022-09-09,REENTRY_WORTHWHILE,2022-09-09,0.0,-0.7058823529411764
ALB,ALB-V61-007,2022-11-08,REENTRY_WORTHWHILE,2022-11-04,-0.05882352941176472,0.8235294117647058
ALB,ALB-V61-008,2026-01-14,REENTRY_WORTHWHILE,2026-01-09,-0.05882352941176472,-0.05882352941176472
ALGN,ALGN-V61-001,2016-05-12,HOLD_WINNER,2016-05-06,-0.12765957446808507,-0.14893617021276595
ALGN,ALGN-V61-002,2016-12-15,REENTRY_WORTHWHILE,2016-12-09,-0.04255319148936165,0.12765957446808507
ALGN,ALGN-V61-003,2017-03-21,HOLD_WINNER,2017-03-17,0.0,-0.21276595744680848
ALGN,ALGN-V61-006,2021-09-09,REENTRY_WORTHWHILE,2021-09-03,-0.04255319148936165,0.1063829787234043
ALL,ALL-V61-001,2017-02-21,HOLD_WINNER,2017-02-17,-0.1428571428571429,0.46031746031746035
ALL,ALL-V61-002,2017-12-04,REENTRY_WORTHWHILE,2017-12-01,-0.015873015873015928,0.19047619047619047
ALL,ALL-V61-003,2021-05-13,REENTRY_WORTHWHILE,2021-05-07,0.0,0.2222222222222222
ALL,ALL-V61-004,2024-02-01,HOLD_WINNER,2024-01-26,-0.06349206349206349,0.0
ALL,ALL-V61-005,2024-04-03,REENTRY_WORTHWHILE,2024-03-29,-0.15873015873015872,0.07936507936507942
ALL,ALL-V61-006,2024-09-16,HOLD_WINNER,2024-09-13,0.0,0.1428571428571429
AMAT,AMAT-V61-002,2016-11-17,HOLD_WINNER,2016-11-11,-0.1568627450980392,0.21568627450980393
AMAT,AMAT-V61-003,2017-09-20,HOLD_WINNER,2017-09-15,-0.196078431372549,0.6862745098039216
AMAT,AMAT-V61-005,2021-09-16,REENTRY_WORTHWHILE,2021-09-10,0.11764705882352933,-0.196078431372549
AMAT,AMAT-V61-006,2024-03-20,REENTRY_WORTHWHILE,2024-03-15,0.196078431372549,-0.019607843137254832
AMAT,AMAT-V61-008,2025-12-01,HOLD_WINNER,2025-11-28,0.07843137254901955,-0.0980392156862745
