ticker,episode_id,signal_date,path_label,sale_date,sale_reference_open,outcome_end,no_action_terminal_wealth_per_sale_date_share,base_sale_execution_price,base_net_proceeds_per_sold_share,base_days_below_net_discount,base_constrained_pre_reentry_max_advance,base_theoretical_available,base_theoretical_reentry_date,base_theoretical_reentry_equivalent_price,base_theoretical_time_to_reentry_sessions,base_theoretical_sleeve_share_delta_rate,base_theoretical_total_position_terminal_uplift,base_constrained_available,base_constrained_reentry_date,base_constrained_reentry_equivalent_price,base_constrained_time_to_reentry_sessions,base_constrained_sleeve_share_delta_rate,base_constrained_total_position_terminal_uplift,stress_sale_execution_price,stress_net_proceeds_per_sold_share,stress_days_below_net_discount,stress_constrained_pre_reentry_max_advance,stress_theoretical_available,stress_theoretical_reentry_date,stress_theoretical_reentry_equivalent_price,stress_theoretical_time_to_reentry_sessions,stress_theoretical_sleeve_share_delta_rate,stress_theoretical_total_position_terminal_uplift,stress_constrained_available,stress_constrained_reentry_date,stress_constrained_reentry_equivalent_price,stress_constrained_time_to_reentry_sessions,stress_constrained_sleeve_share_delta_rate,stress_constrained_total_position_terminal_uplift
A,A-V61-001,2016-06-21,TEMPORARY_PULLBACK,2016-06-22,46.15000153,2016-12-19,45.43000031,46.126926529235,46.08079960270577,26,0.0075839319262531735,True,2016-06-28,42.66999817,4.0,0.0783164033678867,0.003915820168394335,True,2016-06-28,42.66999817,4.0,0.0783164033678867,0.003915820168394335,46.080776527705,45.988614974649586,21,0.0075839319262531735,True,2016-06-28,42.66999817,4.0,0.07401174545599609,0.003700587272799805,True,2016-06-28,42.66999817,4.0,0.07401174545599609,0.003700587272799805
A,A-V61-002,2017-03-10,CONTINUATION,2017-03-13,52.13999939,2017-09-08,65.01999664,52.113929390305,52.0618154609147,0,,False,,,,0.0,0.0,False,,,,0.0,0.0,52.061789390915,51.95766581213317,0,,False,,,,0.0,0.0,False,,,,0.0,0.0
A,A-V61-003,2019-03-01,STRUCTURAL_BREAK,2019-03-04,81.5,2019-08-29,70.69999695,81.45925000000001,81.37779075000002,97,0.004662542944785297,True,2019-05-31,66.23999786,62.0,0.22668884280943713,0.011334442140471856,True,2019-05-31,66.23999786,62.0,0.22668884280943713,0.011334442140471856,81.37775,81.2149945,94,0.004662542944785297,True,2019-05-31,66.23999786,62.0,0.22179187952840462,0.011089593976420231,True,2019-05-31,66.23999786,62.0,0.22179187952840462,0.011089593976420231
A,A-V61-004,2020-08-07,CONTINUATION,2020-08-10,97.83999634,2021-02-08,123.4100037,97.79107634183,97.69328526548817,0,,True,2020-08-19,95.23000336,7.0,0.024329651119455287,0.0012164825559727644,False,,,,0.0,0.0,97.69323634549,97.49784987279902,0,,True,2020-08-19,95.23000336,7.0,0.020240509265261553,0.0010120254632630776,False,,,,0.0,0.0
A,A-V61-005,2020-10-07,CONTINUATION,2020-10-08,104.1999969,2021-04-09,131.9100037,104.14789690155001,104.04374900464846,0,,True,2020-10-30,101.7699966,16.0,0.020810344242672585,0.0010405172121336294,False,,,,0.0,0.0,104.04369690465,103.83560951084071,0,,True,2020-10-30,101.7699966,16.0,0.016735251522985273,0.0008367625761492637,False,,,,0.0,0.0
A,A-V61-006,2021-04-09,CONTINUATION,2021-04-12,131.4400024,2021-10-07,155.3200073,131.3742823988,131.2429081164012,0,,True,2021-05-19,127.5999985,27.0,0.02700842260189673,0.0013504211300948367,False,,,,0.0,0.0,131.2428423964,130.9803567116072,0,,True,2021-05-19,127.5999985,27.0,0.02290858704516796,0.0011454293522583981,False,,,,0.0,0.0
ABT,ABT-V61-001,2017-06-29,CONTINUATION,2017-06-30,48.77999878,2017-12-28,57.45999908,48.755608780610004,48.706853171829394,0,,True,2017-07-07,48.16999817,4.0,0.009630057825547933,0.0004815028912773967,False,,,,0.0,0.0,48.706828781830005,48.60941512426634,0,,True,2017-07-07,48.16999817,4.0,0.005599597004468659,0.00027997985022343297,False,,,,0.0,0.0
ABT,ABT-V61-002,2017-09-28,CONTINUATION,2017-09-29,53.63999939,2018-04-02,58.20999908,53.613179390305,53.559566210914696,0,,False,,,,0.0,0.0,False,,,,0.0,0.0,53.559539390915006,53.45242031213318,0,,False,,,,0.0,0.0,False,,,,0.0,0.0
ABT,ABT-V61-003,2018-09-12,CONTINUATION,2018-09-13,67.23000336,2019-03-15,79.86000061,67.19638835832001,67.12919196996168,0,,True,2018-12-26,65.90000153,71.0,0.01712616048789628,0.000856308024394814,False,,,,0.0,0.0,67.12915835496,66.99490003825008,0,,True,2018-12-26,65.90000153,71.0,0.01306577509409168,0.0006532887547045841,False,,,,0.0,0.0
ABT,ABT-V61-004,2019-03-04,TEMPORARY_PULLBACK,2019-03-05,78.55999756,2019-08-30,85.31999969,78.52071756122001,78.44219684365879,12,0.026858460737457346,True,2019-04-22,73.12999725,33.0,0.0710334147497933,0.003551670737489665,True,2019-04-18,73.63999939,32.0,0.0636158517669223,0.0031807925883461153,78.44215756366,78.28527324853269,9,0.026858460737457346,True,2019-04-22,73.12999725,33.0,0.06675783065564245,0.0033378915327821226,True,2019-04-18,73.63999939,32.0,0.05936987871372512,0.0029684939356862563
